actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-03-12T23:10:26.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-12T23:10:26Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-03-12T23:10:28.4Z,1,REGULAR,jumpball,recovered,[],203924,,,1610612757,0,0,2023-03-12T23:10:28Z,40000,False,,,0,,Jump Ball J. Nurkic vs. J. Valanciunas: Tip to J. Grant,"[203924, 203994, 202685]",1610612757.0,POR,startperiod,J. Grant,203924.0,Grant,J. Grant,Nurkic,203994.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2023-03-12T23:10:47.0Z,1,REGULAR,foul,offensive,[],203994,,,1610612757,0,0,2023-03-12T23:11:00Z,70000,False,,,0,,J. Nurkic charge offensive FOUL (1 PF),"[203994, 1630529]",1610612757.0,POR,charge,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,202037.0,1.0,0.0,Jones,1630529.0,,,,,,,,,,,,,,,
9,PT11M42.00S,2023-03-12T23:10:47.0Z,1,REGULAR,turnover,offensive foul,[],203994,,,1610612757,0,0,2023-03-12T23:10:47Z,90000,False,,,0,,J. Nurkic offensive foul TURNOVER (1 TO),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,In The Paint (Non-RA),0-8 Center,202037.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M30.00S,2023-03-12T23:11:14.0Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover']",202685,93.64323258869908,49.754901960784316,1610612740,2,0,2023-03-12T23:11:31Z,100000,False,-1.0,7.0,1,right,J. Valanciunas cutting DUNK (2 PTS) (C. McCollum 1 AST),"[202685, 203468]",1610612740.0,NOP,cutting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,0.74,Made,2.0,C. McCollum,203468.0,1.0,,,,,,,,
12,PT11M11.00S,2023-03-12T23:11:37.6Z,1,REGULAR,foul,personal,['2freethrow'],202685,,,1610612757,2,0,2023-03-12T23:11:54Z,120000,False,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Reddish 2 FT),"[202685, 1629629]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,204059.0,1.0,0.0,Reddish,1629629.0,,,,,,,,,,,,,,,
14,PT11M11.00S,2023-03-12T23:11:56.3Z,1,REGULAR,freethrow,1 of 2,[],1629629,,,1610612757,2,1,2023-03-12T23:11:56Z,140000,False,,,0,,C. Reddish Free Throw 1 of 2 (1 PTS),[1629629],1610612757.0,POR,,,,Reddish,C. Reddish,,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,
15,PT11M11.00S,2023-03-12T23:12:11.1Z,1,REGULAR,freethrow,2 of 2,[],1629629,,,1610612757,2,2,2023-03-12T23:12:11Z,150000,False,,,0,,C. Reddish Free Throw 2 of 2 (2 PTS),[1629629],1610612757.0,POR,,,,Reddish,C. Reddish,,,,,,,,,,,,,,Made,2.0,,,,,,,,,,,
16,PT10M54.00S,2023-03-12T23:12:34.2Z,1,REGULAR,3pt,Jump Shot,[],1630530,74.19513797634691,12.990196078431374,1610612740,2,2,2023-03-12T23:12:40Z,160000,False,-185.0,190.0,1,right,MISS T. Murphy III 26' 3PT,[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Above the Break 3,24+ Left Center,,,,,,,26.53,Missed,,,,,,,,,,,,
17,PT10M50.00S,2023-03-12T23:12:38.2Z,1,REGULAR,rebound,offensive,[],202685,,,1610612740,2,2,2023-03-12T23:12:40Z,170000,False,,,0,,J. Valanciunas REBOUND (Off:1 Def:0),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,16.0,1.0,0.0,1.0,,,,
18,PT10M46.00S,2023-03-12T23:12:42.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630230,75.50919842312747,88.72549019607843,1610612740,2,2,2023-03-12T23:12:50Z,180000,False,194.0,178.0,1,right,MISS N. Marshall 26' 3PT,[1630230],1610612740.0,NOP,,,,Marshall,N. Marshall,,,,,Above the Break 3,24+ Right Center,,,,,,,26.28,Missed,,,,,,,,,,,,
19,PT10M39.00S,2023-03-12T23:12:49.5Z,1,REGULAR,rebound,defensive,[],203994,,,1610612757,2,2,2023-03-12T23:12:50Z,190000,False,,,0,,J. Nurkic REBOUND (Off:0 Def:1),[203994],1610612757.0,POR,,,,Nurkic,J. Nurkic,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,18.0,1.0,1.0,0.0,,,,
