actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-19T01:40:38.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-19T01:40:38Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-19T01:40:40.7Z,1,REGULAR,jumpball,recovered,[],1630530,,,1610612740,0,0,2022-11-19T01:40:40Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. A. Horford: Tip to T. Murphy III,"[1630530, 202685, 201143]",1610612740.0,NOP,startperiod,T. Murphy III,1630530.0,Murphy III,T. Murphy III,Valanciunas,202685.0,Horford,201143.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2022-11-19T01:40:56.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,93.64323258869908,47.549019607843135,1610612740,2,0,2022-11-19T01:41:29Z,70000,False,-12.0,7.0,1,right,H. Jones Layup (2 PTS) (B. Ingram 1 AST),"[1630529, 1627742]",1610612740.0,NOP,,,,Jones,H. Jones,,,,,Restricted Area,0-8 Center,1.43,Made,2.0,B. Ingram,1627742.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2022-11-19T01:41:14.0Z,1,REGULAR,3pt,Jump Shot,[],201143,28.597240473061763,18.872549019607842,1610612738,2,3,2022-11-19T01:41:19Z,90000,False,156.0,216.0,1,left,A. Horford 26' 3PT  (3 PTS) (J. Brown 1 AST),"[201143, 1627759]",1610612738.0,BOS,,,,Horford,A. Horford,,,,,Above the Break 3,24+ Right Center,26.65,Made,3.0,J. Brown,1627759.0,1.0,,,,,,,,,,,,,,
11,PT11M05.00S,2022-11-19T01:41:32.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202685,92.19776609724047,37.254901960784316,1610612740,4,3,2022-11-19T01:41:40Z,110000,False,-64.0,21.0,1,right,J. Valanciunas 6' turnaround Jump Shot (2 PTS),[202685],1610612740.0,NOP,turnaround,,,Valanciunas,J. Valanciunas,,,,,In The Paint (Non-RA),0-8 Center,6.7,Made,2.0,,,,,,,,,,,,,,,,,
12,PT10M53.00S,2022-11-19T01:41:44.6Z,1,REGULAR,3pt,Jump Shot,[],1627759,26.62614980289093,14.705882352941178,1610612738,4,3,2022-11-19T01:41:50Z,120000,False,176.0,198.0,1,left,MISS J. Brown 26' 3PT,[1627759],1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Right Center,26.51,Missed,,,,,,,,,,,,,,,,,,
13,PT10M51.00S,2022-11-19T01:41:46.6Z,1,REGULAR,rebound,defensive,[],202685,,,1610612740,4,3,2022-11-19T01:41:50Z,130000,False,,,0,,J. Valanciunas REBOUND (Off:0 Def:1),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Right Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M49.00S,2022-11-19T01:41:53.0Z,1,REGULAR,turnover,out-of-bounds,[],1630529,,,1610612740,4,3,2022-11-19T01:42:10Z,140000,False,,,0,,H. Jones bad pass out-of-bounds TURNOVER (1 TO),[1630529],1610612740.0,NOP,bad pass,,,Jones,H. Jones,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1627519.0,1.0,,,,,,,,
15,PT10M30.00S,2022-11-19T01:42:13.0Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1627759,11.383048620236531,41.17647058823529,1610612738,4,5,2022-11-19T01:43:04Z,150000,False,44.0,55.0,1,left,J. Brown 7' driving floating Jump Shot (2 PTS) (J. Tatum 1 AST),"[1627759, 1628369]",1610612738.0,BOS,driving floating,,,Brown,J. Brown,,,,,In The Paint (Non-RA),0-8 Center,7.01,Made,2.0,J. Tatum,1628369.0,1.0,,,,,,,,,,,,,,
17,PT10M14.00S,2022-11-19T01:42:28.9Z,1,REGULAR,3pt,Jump Shot,[],203468,77.08607095926413,90.19607843137256,1610612740,4,5,2022-11-19T01:42:32Z,170000,False,201.0,163.0,1,right,MISS C. McCollum 25' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,25.87,Missed,,,,,,,,,,,,,,,,,,
18,PT10M11.00S,2022-11-19T01:42:31.9Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,4,5,2022-11-19T01:42:32Z,180000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Above the Break 3,24+ Right Center,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
19,PT10M04.00S,2022-11-19T01:42:39.1Z,1,REGULAR,3pt,Jump Shot,[],1629684,32.14520367936925,36.51960784313725,1610612738,4,5,2022-11-19T01:42:43Z,190000,False,67.0,250.0,1,left,MISS G. Williams 25' 3PT,[1629684],1610612738.0,BOS,,,,Williams,G. Williams,,,,,Above the Break 3,24+ Center,25.86,Missed,,,,,,,,,,,,,,,,,,
