actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-29T01:10:12.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-29T01:10:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-29T01:10:15.3Z,1,REGULAR,jumpball,recovered,[],1630631,,,1610612740,0,0,2022-11-29T01:10:15Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. A. Pokusevski: Tip to J. Alvarado,"[1630631, 202685, 1630197]",1610612740.0,NOP,startperiod,J. Alvarado,1630631.0,Alvarado,J. Alvarado,Valanciunas,202685.0,Pokusevski,1630197.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2022-11-29T01:10:26.5Z,1,REGULAR,foul,offensive,[],202685,,,1610612740,0,0,2022-11-29T01:10:39Z,70000,False,,,0,,J. Valanciunas offensive FOUL (1 PF),"[202685, 1630197]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,204058.0,1.0,0.0,Pokusevski,1630197.0,,,,,,,,,,,,,,,
9,PT11M50.00S,2022-11-29T01:10:26.5Z,1,REGULAR,turnover,offensive foul,[],202685,,,1610612740,0,0,2022-11-29T01:10:26Z,90000,False,,,0,,J. Valanciunas offensive foul TURNOVER (1 TO),[202685],1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Center,204058.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M40.00S,2022-11-29T01:10:54.3Z,1,REGULAR,turnover,bad pass,[],1629652,,,1610612760,0,0,2022-11-29T01:10:59Z,100000,False,,,0,,L. Dort bad pass TURNOVER (1 TO),"[1629652, 1630530]",1610612760.0,OKC,,,,Dort,L. Dort,,,,,Restricted Area,0-8 Center,,,,,,1.0,Murphy III,1630530.0,,,,,,,,,,,,
11,PT11M40.00S,2022-11-29T01:10:54.3Z,1,REGULAR,steal,,[],1630530,,,1610612740,0,0,2022-11-29T01:10:56Z,110000,False,,,0,,T. Murphy III STEAL (1 STL),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M24.00S,2022-11-29T01:11:09.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630529,11.251642575558476,49.01960784313725,1610612740,0,0,2022-11-29T01:11:15Z,120000,False,5.0,53.0,1,left,MISS H. Jones driving finger roll Layup,[1630529],1610612740.0,NOP,driving finger roll,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,5.35,Missed,,,,,,,,,,
13,PT11M20.00S,2022-11-29T01:11:13.9Z,1,REGULAR,rebound,offensive,[],1630529,,,1610612740,0,0,2022-11-29T01:11:15Z,130000,False,,,0,,H. Jones REBOUND (Off:1 Def:0),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,12.0,1.0,0.0,1.0,,,,,,
14,PT11M20.00S,2022-11-29T01:11:13.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', '2ndchance']",1630529,5.590000152587891,50.0,1610612740,2,0,2022-11-29T01:11:13Z,140000,False,0.0,0.0,1,left,H. Jones tip Layup (2 PTS),[1630529],1610612740.0,NOP,tip,,,Jones,H. Jones,,,,,Mid-Range,8-16 Left,,,,,,,,,0.0,Made,,,,,2.0,,,,,
15,PT11M07.00S,2022-11-29T01:11:26.6Z,1,REGULAR,3pt,Jump Shot,[],1630197,69.33311432325887,71.32352941176471,1610612760,2,3,2022-11-29T01:11:30Z,150000,False,107.0,236.0,1,right,A. Pokusevski 25' 3PT  (3 PTS) (L. Dort 1 AST),"[1630197, 1629652]",1610612760.0,OKC,,,,Pokusevski,A. Pokusevski,,,,,Above the Break 3,24+ Right Center,,,,,,,,,25.88,Made,,,,,3.0,L. Dort,1629652.0,1.0,,
17,PT10M46.00S,2022-11-29T01:11:47.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1629627,5.338370565045992,49.50980392156863,1610612740,4,3,2022-11-29T01:11:54Z,170000,False,2.0,-2.0,1,left,Z. Williamson alley-oop DUNK (2 PTS) (J. Alvarado 1 AST),"[1629627, 1630631]",1610612740.0,NOP,alley-oop,,,Williamson,Z. Williamson,,,,,Restricted Area,0-8 Center,,,,,,,,,0.34,Made,,,,,2.0,J. Alvarado,1630631.0,1.0,,
19,PT10M29.00S,2022-11-29T01:12:05.4Z,1,REGULAR,turnover,lost ball,[],1628983,,,1610612760,4,3,2022-11-29T01:13:51Z,190000,False,,,0,,S. Gilgeous-Alexander lost ball TURNOVER (1 TO),"[1628983, 1630631]",1610612760.0,OKC,,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),8-16 Center,,,,,,1.0,Alvarado,1630631.0,,,,,,,,,,,,
20,PT10M29.00S,2022-11-29T01:12:05.4Z,1,REGULAR,steal,,[],1630631,,,1610612740,4,3,2022-11-29T01:13:23Z,200000,False,,,0,,J. Alvarado STEAL (1 STL),[1630631],1610612740.0,NOP,,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M10.00S,2022-11-29T01:12:25.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630631,15.982260183968464,48.03921568627451,1610612740,4,3,2022-11-29T01:12:37Z,210000,False,10.0,98.0,1,left,MISS J. Alvarado 9' driving floating Shot,[1630631],1610612740.0,NOP,driving floating,,,Alvarado,J. Alvarado,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,9.82,Missed,,,,,,,,,,
22,PT10M05.00S,2022-11-29T01:12:30.1Z,1,REGULAR,rebound,defensive,[],1630526,,,1610612760,4,3,2022-11-29T01:12:37Z,220000,False,,,0,,J. Robinson-Earl REBOUND (Off:0 Def:1),[1630526],1610612760.0,OKC,,,,Robinson-Earl,J. Robinson-Earl,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,
23,PT10M01.00S,2022-11-29T01:12:33.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630581,93.38042049934296,52.94117647058824,1610612760,4,5,2022-11-29T01:12:45Z,230000,False,15.0,10.0,1,right,J. Giddey driving Layup (2 PTS),[1630581],1610612760.0,OKC,driving,,,Giddey,J. Giddey,,,,,Restricted Area,0-8 Center,,,,,,,,,1.76,Made,,,,,2.0,,,,,
24,PT09M35.00S,2022-11-29T01:12:59.2Z,1,REGULAR,2pt,Jump Shot,[],1630530,19.398817345597898,24.509803921568626,1610612740,4,5,2022-11-29T01:15:16Z,240000,False,127.0,130.0,1,left,MISS T. Murphy III 18' turnaround fadeaway Shot,[1630530],1610612740.0,NOP,turnaround fadeaway,,,Murphy III,T. Murphy III,,,,,Mid-Range,16-24 Right Center,,,,,,,,,18.19,Missed,,,,,,,,,,
25,PT09M35.00S,2022-11-29T01:12:59.2Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612760,4,5,2022-11-29T01:13:09Z,250000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612760.0,OKC,,,,Giddey,J. Giddey,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,24.0,1.0,1.0,0.0,,,,,,
