actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2022-11-22T01:10:36.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-22T01:10:36Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-22T01:10:38.2Z,1,REGULAR,jumpball,recovered,[],1630237,,,1610612744,0,0,2022-11-22T01:10:38Z,40000,False,,,0,,Jump Ball K. Looney vs. J. Valanciunas: Tip to A. Lamb,"[1630237, 1626172, 202685]",1610612744.0,GSW,startperiod,A. Lamb,1630237.0,Lamb,A. Lamb,Looney,1626172.0,Valanciunas,202685.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-11-22T01:10:48.1Z,1,REGULAR,turnover,bad pass,[],1628978,,,1610612744,0,0,2022-11-22T01:10:53Z,70000,False,,,0,,D. DiVincenzo bad pass TURNOVER (1 TO),"[1628978, 1630529]",1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,Mid-Range,16-24 Right Center,1.0,Jones,1630529.0,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2022-11-22T01:10:48.1Z,1,REGULAR,steal,,[],1630529,,,1610612740,0,0,2022-11-22T01:10:50Z,80000,False,,,0,,H. Jones STEAL (1 STL),[1630529],1610612740.0,NOP,,,,Jones,H. Jones,,,,,Mid-Range,16-24 Right Center,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2022-11-22T01:10:59.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],203468,69.85873850197109,73.52941176470588,1610612740,0,0,2022-11-22T01:11:03Z,90000,False,118.0,231.0,1,right,MISS C. McCollum 25' 3PT,[203468],1610612740.0,NOP,,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Right Center,,,,25.9,Missed,,,,,,,,,,,,,,,
10,PT11M33.00S,2022-11-22T01:11:02.1Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612744,0,0,2022-11-22T01:11:03Z,100000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M21.00S,2022-11-22T01:11:18.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,6.258212877792378,46.568627450980394,1610612744,0,2,2022-11-22T01:12:09Z,110000,False,17.0,6.0,1,left,J. Poole driving Layup (2 PTS),[1629673],1610612744.0,GSW,driving,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,,,,1.83,Made,,,,,2.0,,,,,,,,,,
12,PT11M21.00S,2022-11-22T01:11:21.6Z,1,REGULAR,foul,personal,['1freethrow'],202685,,,1610612744,0,2,2022-11-22T01:11:35Z,120000,False,,,0,,J. Valanciunas shooting personal FOUL (1 PF) (Poole 1 FT),"[202685, 1629673]",1610612740.0,NOP,shooting,,,Valanciunas,J. Valanciunas,,,,,Restricted Area,0-8 Center,,,,,,,,,,,1628480.0,1.0,0.0,Poole,1629673.0,,,,,
14,PT11M21.00S,2022-11-22T01:11:39.8Z,1,REGULAR,freethrow,1 of 1,[],1629673,,,1610612744,0,3,2022-11-22T01:11:39Z,140000,False,,,0,,J. Poole Free Throw 1 of 1 (3 PTS),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,Made,,,,,3.0,,,,,,,,,,
15,PT11M01.00S,2022-11-22T01:12:00.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627742,91.93495400788436,50.245098039215684,1610612740,2,3,2022-11-22T01:12:06Z,150000,False,1.0,23.0,1,right,B. Ingram driving finger roll Layup (2 PTS),[1627742],1610612740.0,NOP,driving finger roll,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,,2.33,Made,,,,,2.0,,,,,,,,,,
