actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-25T01:12:05.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-25T01:12:05Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-02-25T01:12:07.8Z,1,REGULAR,jumpball,recovered,[],1641706,,,1610612766,0,0,2026-02-25T01:12:07Z,40000,False,,,0,,Jump Ball M. Diabaté vs. G. Yabusele: Tip to B. Miller,"[1641706, 1631217, 1627824]",1610612766.0,CHA,startperiod,B. Miller,1641706.0,Miller,B. Miller,Diabaté,1631217.0,Yabusele,1627824.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-02-25T01:12:22.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1641706,16.113666228646515,42.8921568627451,1610612766,0,2,2026-02-25T01:12:28Z,70000,False,36.0,99.0,1,left,B. Miller 10' driving floating Jump Shot (2 PTS) (L. Ball 1 AST),"[1641706, 1630163]",1610612766.0,CHA,driving floating,,,Miller,B. Miller,,,,,In The Paint (Non-RA),8-16 Center,10.52,Made,2.0,L. Ball,1630163.0,1.0,,,,,,,,,,,,,,
9,PT11M20.00S,2026-02-25T01:12:43.8Z,1,REGULAR,3pt,Jump Shot,[],1630172,68.80749014454665,22.794117647058822,1610612741,3,2,2026-02-25T01:12:48Z,90000,False,-136.0,241.0,1,right,P. Williams 27' 3PT  (3 PTS) (J. Giddey 1 AST),"[1630172, 1630581]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,27.65,Made,3.0,J. Giddey,1630581.0,1.0,,,,,,,,,,,,,,
12,PT10M53.00S,2026-02-25T01:13:24.2Z,1,REGULAR,turnover,bad pass,[],1630163,,,1610612766,3,2,2026-02-25T01:13:28Z,120000,False,,,0,,L. Ball bad pass TURNOVER (1 TO),"[1630163, 1630581]",1610612766.0,CHA,,,,Ball,L. Ball,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,Giddey,1630581.0,,,,,,,,,,,
13,PT10M53.00S,2026-02-25T01:13:24.2Z,1,REGULAR,steal,,[],1630581,,,1610612741,3,2,2026-02-25T01:13:26Z,130000,False,,,0,,J. Giddey STEAL (1 STL),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
14,PT10M47.00S,2026-02-25T01:13:30.2Z,1,REGULAR,turnover,lost ball,[],1630172,,,1610612741,3,2,2026-02-25T01:14:13Z,140000,False,,,0,,P. Williams lost ball TURNOVER (1 TO),"[1630172, 1628970]",1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Right Center,,,,,,,1.0,Bridges,1628970.0,,,,,,,,,,,
15,PT10M47.00S,2026-02-25T01:13:30.2Z,1,REGULAR,steal,,[],1628970,,,1610612766,3,2,2026-02-25T01:14:13Z,150000,False,,,0,,M. Bridges STEAL (1 STL),[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
16,PT10M38.00S,2026-02-25T01:13:38.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630163,31.750985545335087,64.4607843137255,1610612766,3,2,2026-02-25T01:13:48Z,160000,False,-72.0,246.0,1,left,MISS L. Ball 25' step back 3PT,[1630163],1610612766.0,CHA,step back,,,Ball,L. Ball,,,,,Above the Break 3,24+ Center,25.64,Missed,,,,,,,,,,,,,,,,,,
17,PT10M36.00S,2026-02-25T01:13:40.8Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,3,2,2026-02-25T01:13:48Z,170000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Center,,,,,,,,,,16.0,,,,,,,,,,
