actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,officialId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-01T00:10:13.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-01T00:10:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-01T00:10:15.5Z,1,REGULAR,jumpball,recovered,[],1642847,,,1610612740,0,0,2026-01-01T00:10:15Z,40000,False,,,0,,Jump Ball D. Queen vs. N. Vučević: Tip to J. Fears,"[1642847, 1642852, 202696]",1610612740.0,NOP,startperiod,J. Fears,1642847.0,Fears,J. Fears,Queen,1642852.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M50.00S,2026-01-01T00:10:26.1Z,1,REGULAR,violation,kicked ball,[],1630200,,,1610612740,0,0,2026-01-01T00:10:32Z,70000,False,,,0,,T. Jones kicked ball VIOLATION,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,2003.0,,,,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2026-01-01T00:10:39.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,93.64323258869908,47.549019607843135,1610612740,0,2,2026-01-01T00:10:44Z,80000,False,-12.0,7.0,1,right,Z. Williamson cutting Layup (2 PTS) (J. Fears 1 AST),"[1629627, 1642847]",1610612740.0,NOP,cutting,,,Williamson,Z. Williamson,,,,,,Restricted Area,0-8 Center,1.43,Made,2.0,J. Fears,1642847.0,1.0,,,,,,,,,,,,,
10,PT11M25.00S,2026-01-01T00:10:57.9Z,1,REGULAR,3pt,Jump Shot,[],1630188,28.728646517739815,79.65686274509804,1610612741,0,2,2026-01-01T00:11:03Z,100000,False,-148.0,218.0,1,left,MISS J. Smith 26' 3PT,[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,,Above the Break 3,24+ Left Center,26.32,Missed,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2026-01-01T00:10:59.9Z,1,REGULAR,rebound,defensive,[],1630530,,,1610612740,0,2,2026-01-01T00:11:03Z,110000,False,,,0,,T. Murphy III REBOUND (Off:0 Def:1),[1630530],1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,Above the Break 3,24+ Left Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M16.00S,2026-01-01T00:11:06.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,93.51182654402102,50.73529411764706,1610612740,0,2,2026-01-01T00:11:11Z,120000,False,4.0,8.0,1,right,MISS Z. Williamson driving finger roll Layup,[1629627],1610612740.0,NOP,driving finger roll,,,Williamson,Z. Williamson,,,,,,Restricted Area,0-8 Center,0.93,Missed,,,,,,,,,,,,,,,,,
13,PT11M13.00S,2026-01-01T00:11:09.7Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612741,0,2,2026-01-01T00:11:11Z,130000,False,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,,Restricted Area,0-8 Center,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M09.00S,2026-01-01T00:11:13.3Z,1,REGULAR,2pt,DUNK,"['fastbreak', 'pointsinthepaint']",1641824,6.783837056504599,49.26470588235294,1610612741,2,2,2026-01-01T00:11:38Z,140000,False,4.0,11.0,1,left,M. Buzelis running DUNK (2 PTS),[1641824],1610612741.0,CHI,running,,,Buzelis,M. Buzelis,,,,,,Restricted Area,0-8 Center,1.19,Made,2.0,,,,,,,,,,,,,,,,
15,PT10M54.00S,2026-01-01T00:11:28.0Z,1,REGULAR,3pt,Jump Shot,[],1630180,78.66294349540078,90.93137254901961,1610612740,2,2,2026-01-01T00:12:06Z,150000,False,205.0,148.0,1,right,MISS S. Bey 25' pullup 3PT,[1630180],1610612740.0,NOP,pullup,,,Bey,S. Bey,,,,,,Above the Break 3,24+ Right Center,25.27,Missed,,,,,,,,,,,,,,,,,
16,PT10M52.00S,2026-01-01T00:11:30.0Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,2,2,2026-01-01T00:11:33Z,160000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,Above the Break 3,24+ Right Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
17,PT10M46.00S,2026-01-01T00:11:36.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1630188,6.783837056504599,50.49019607843137,1610612741,4,2,2026-01-01T00:13:09Z,170000,False,-2.0,11.0,1,left,J. Smith running Layup (2 PTS) (M. Buzelis 1 AST),"[1630188, 1641824]",1610612741.0,CHI,running,,,Smith,J. Smith,,,,,,Restricted Area,0-8 Center,1.16,Made,2.0,M. Buzelis,1641824.0,1.0,,,,,,,,,,,,,
19,PT10M32.00S,2026-01-01T00:11:51.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642847,92.9862023653088,51.470588235294116,1610612740,4,2,2026-01-01T00:11:58Z,190000,False,7.0,13.0,1,right,MISS J. Fears driving Layup - blocked,"[1642847, 1630171]",1610612740.0,NOP,driving,,,Fears,J. Fears,,,,,,Restricted Area,0-8 Center,1.53,Missed,,,,,,,,,Okoro,1630171.0,,,,,,,
20,PT10M32.00S,2026-01-01T00:11:51.0Z,1,REGULAR,block,,[],1630171,,,1610612740,4,2,2026-01-01T00:11:53Z,200000,False,,,0,,I. Okoro BLOCK (1 BLK),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,
21,PT10M29.00S,2026-01-01T00:11:54.0Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612741,4,2,2026-01-01T00:11:58Z,210000,False,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,Restricted Area,0-8 Center,,,,,,,19.0,1.0,1.0,0.0,,,,,,,,,
22,PT10M21.00S,2026-01-01T00:12:01.7Z,1,REGULAR,3pt,Jump Shot,[],1630188,4.28712220762155,3.6764705882352944,1610612741,7,2,2026-01-01T00:12:06Z,220000,False,232.0,-12.0,1,left,J. Smith 3PT  (5 PTS) (N. Vučević 1 AST),"[1630188, 202696]",1610612741.0,CHI,,,,Smith,J. Smith,,,,,,Right Corner 3,24+ Right,23.19,Made,5.0,N. Vučević,202696.0,1.0,,,,,,,,,,,,,
24,PT10M03.00S,2026-01-01T00:12:19.1Z,1,REGULAR,turnover,lost ball,[],1630530,,,1610612740,7,2,2026-01-01T00:12:26Z,240000,False,,,0,,T. Murphy III lost ball TURNOVER (1 TO),"[1630530, 1630188]",1610612740.0,NOP,,,,Murphy III,T. Murphy III,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,1.0,Smith,1630188.0,,,,
25,PT10M03.00S,2026-01-01T00:12:19.1Z,1,REGULAR,steal,,[],1630188,,,1610612741,7,2,2026-01-01T00:12:26Z,250000,False,,,0,,J. Smith STEAL (1 STL),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,
26,PT09M59.00S,2026-01-01T00:12:24.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630171,6.783837056504599,51.225490196078425,1610612741,9,2,2026-01-01T00:12:36Z,260000,False,-6.0,11.0,1,left,I. Okoro running Layup (2 PTS) (T. Jones 1 AST),"[1630171, 1630200]",1610612741.0,CHI,running,,,Okoro,I. Okoro,,,,,,Restricted Area,0-8 Center,1.28,Made,2.0,T. Jones,1630200.0,1.0,,,,,,,,,,,,,
28,PT09M59.00S,2026-01-01T00:12:30.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612740,9,2,2026-01-01T00:12:30Z,280000,False,,,0,,NOP Timeout,[],1610612740.0,NOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PT09M46.00S,2026-01-01T00:15:34.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629627,93.11760840998686,48.77450980392157,1610612740,9,4,2026-01-01T00:15:40Z,290000,False,-6.0,12.0,1,right,Z. Williamson alley-oop Layup (4 PTS) (D. Queen 1 AST),"[1629627, 1642852]",1610612740.0,NOP,alley-oop,,,Williamson,Z. Williamson,,,,,,Restricted Area,0-8 Center,1.36,Made,4.0,D. Queen,1642852.0,1.0,,,,,,,,,,,,,
31,PT09M36.00S,2026-01-01T00:15:44.5Z,1,REGULAR,3pt,Jump Shot,[],202696,31.750985545335087,69.85294117647058,1610612741,9,4,2026-01-01T00:15:49Z,310000,False,-99.0,246.0,1,left,MISS N. Vučević 26' 3PT,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,,Above the Break 3,24+ Left Center,26.53,Missed,,,,,,,,,,,,,,,,,
32,PT09M33.00S,2026-01-01T00:15:47.8Z,1,REGULAR,rebound,offensive,[],1641824,,,1610612741,9,4,2026-01-01T00:15:47Z,320000,False,,,0,,M. Buzelis REBOUND (Off:1 Def:1),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,Above the Break 3,24+ Left Center,,,,,,,31.0,2.0,1.0,1.0,,,,,,,,,
