actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-11-23T01:10:11.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-23T01:10:11Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-11-23T01:10:14.2Z,1,REGULAR,jumpball,recovered,[],203468,,,1610612764,0,0,2025-11-23T01:10:14Z,40000,False,,,0,,Jump Ball A. Sarr vs. N. Vučević: Tip to C. McCollum,"[203468, 1642259, 202696]",1610612764.0,WAS,startperiod,C. McCollum,203468.0,McCollum,C. McCollum,Sarr,1642259.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-11-23T01:10:26.2Z,1,REGULAR,foul,personal,['2freethrow'],202696,,,1610612764,0,0,2025-11-23T01:10:35Z,70000,False,,,0,,N. Vučević shooting personal FOUL (1 PF) (George 2 FT),"[202696, 1642273]",1610612741.0,CHI,shooting,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,1628487.0,1.0,0.0,George,1642273.0,,,,,,,,,,,,,,,
9,PT11M46.00S,2025-11-23T01:10:58.2Z,1,REGULAR,freethrow,1 of 2,[],1642273,,,1610612764,0,1,2025-11-23T01:10:58Z,90000,False,,,0,,K. George Free Throw 1 of 2 (1 PTS),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M46.00S,2025-11-23T01:10:59.1Z,1,REGULAR,freethrow,2 of 2,[],1642273,,,1610612764,0,2,2025-11-23T01:10:59Z,100000,False,,,0,,K. George Free Throw 2 of 2 (2 PTS),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M30.00S,2025-11-23T01:11:15.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641824,9.280551905387648,43.627450980392155,1610612741,2,2,2025-11-23T01:11:25Z,110000,False,32.0,35.0,1,left,M. Buzelis cutting Layup (2 PTS) (N. Vučević 1 AST),"[1641824, 202696]",1610612741.0,CHI,cutting,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Made,2.0,4.71,N. Vučević,202696.0,1.0,,,,,,,,,
13,PT11M18.00S,2025-11-23T01:11:27.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642259,93.51182654402102,51.9607843137255,1610612764,2,4,2025-11-23T01:11:31Z,130000,False,10.0,8.0,1,right,A. Sarr cutting Layup (2 PTS) (B. Coulibaly 1 AST),"[1642259, 1641731]",1610612764.0,WAS,cutting,,,Sarr,A. Sarr,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,1.3,B. Coulibaly,1641731.0,1.0,,,,,,,,,
15,PT11M11.00S,2025-11-23T01:11:36.0Z,1,REGULAR,3pt,Jump Shot,[],202696,32.933639947437584,48.03921568627451,1610612741,2,4,2025-11-23T01:11:40Z,150000,False,10.0,257.0,1,left,MISS N. Vučević 25' 3PT,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Center,,,,,,Missed,,25.73,,,,,,,,,,,,
16,PT11M07.00S,2025-11-23T01:11:40.0Z,1,REGULAR,rebound,defensive,[],1642273,,,1610612764,2,4,2025-11-23T01:11:40Z,160000,False,,,0,,K. George REBOUND (Off:0 Def:1),[1642273],1610612764.0,WAS,,,,George,K. George,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,
17,PT10M57.00S,2025-11-23T01:11:49.1Z,1,REGULAR,2pt,Jump Shot,[],1642259,95.22010512483574,33.82352941176471,1610612764,2,4,2025-11-23T01:11:53Z,170000,False,-81.0,-8.0,1,right,MISS A. Sarr 8' driving floating Shot,[1642259],1610612764.0,WAS,driving floating,,,Sarr,A. Sarr,,,,,Mid-Range,0-8 Center,,,,,,Missed,,8.13,,,,,,,,,,,,
