actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-10-23T00:13:55.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-10-23T00:13:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-10-23T00:13:59.4Z,1,REGULAR,jumpball,recovered,[],1630200,,,1610612741,0,0,2025-10-23T00:13:59Z,40000,False,,,0,,Jump Ball N. Vučević vs. J. Duren: Tip to T. Jones,"[1630200, 202696, 1631105]",1610612741.0,CHI,startperiod,T. Jones,1630200.0,Jones,T. Jones,Vučević,202696.0,Duren,1631105.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-10-23T00:14:15.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,6.915243101182654,60.5392156862745,1610612741,2,0,2025-10-23T00:14:19Z,70000,False,-53.0,13.0,1,left,N. Vučević cutting Layup (2 PTS) (T. Jones 1 AST),"[202696, 1630200]",1610612741.0,CHI,cutting,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),0-8 Center,5.42,Made,2.0,T. Jones,1630200.0,1.0,,,,,,,,,,,,,,
9,PT11M24.00S,2025-10-23T00:14:30.6Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631105,94.69448094612353,48.529411764705884,1610612765,2,2,2025-10-23T00:14:36Z,90000,False,-7.0,-3.0,1,right,J. Duren alley-oop DUNK (2 PTS) (C. Cunningham 1 AST),"[1631105, 1630595]",1610612765.0,DET,alley-oop,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,0.78,Made,2.0,C. Cunningham,1630595.0,1.0,,,,,,,,,,,,,,
11,PT11M06.00S,2025-10-23T00:14:48.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641824,6.915243101182654,50.245098039215684,1610612741,4,2,2025-10-23T00:14:52Z,110000,False,-1.0,13.0,1,left,M. Buzelis cutting finger roll Layup (2 PTS) (I. Okoro 1 AST),"[1641824, 1630171]",1610612741.0,CHI,cutting finger roll,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,1.26,Made,2.0,I. Okoro,1630171.0,1.0,,,,,,,,,,,,,,
13,PT10M57.00S,2025-10-23T00:15:02.6Z,1,REGULAR,foul,offensive,[],1631105,,,1610612765,4,2,2025-10-23T00:15:10Z,130000,False,,,0,,J. Duren off-the-ball offensive FOUL (1 PF),"[1631105, 1630581]",1610612765.0,DET,off-the-ball,,,Duren,J. Duren,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,203592.0,1.0,0.0,Giddey,1630581.0,,,,,,,,,
15,PT10M57.00S,2025-10-23T00:15:02.6Z,1,REGULAR,turnover,offensive foul,[],1631105,,,1610612765,4,2,2025-10-23T00:15:02Z,150000,False,,,0,,J. Duren offensive foul TURNOVER (1 TO),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,203592.0,,,,,1.0,,,,,,,,
16,PT10M46.00S,2025-10-23T00:15:23.4Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",202696,13.354139290407357,47.549019607843135,1610612741,6,2,2025-10-23T00:15:59Z,160000,False,12.0,73.0,1,left,N. Vučević 7' driving floating Jump Shot (4 PTS) (T. Jones 2 AST),"[202696, 1630200]",1610612741.0,CHI,driving floating,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),0-8 Center,7.4,Made,4.0,T. Jones,1630200.0,2.0,,,,,,,,,,,,,,
18,PT10M32.00S,2025-10-23T00:15:35.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1631105,94.69448094612353,48.28431372549019,1610612765,6,4,2025-10-23T00:15:39Z,180000,False,-9.0,-3.0,1,right,J. Duren alley-oop DUNK (4 PTS) (C. Cunningham 2 AST),"[1631105, 1630595]",1610612765.0,DET,alley-oop,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,0.9,Made,4.0,C. Cunningham,1630595.0,2.0,,,,,,,,,,,,,,
20,PT10M20.00S,2025-10-23T00:15:47.9Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612741,6,4,2025-10-23T00:15:51Z,200000,False,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 1630595]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,1.0,Cunningham,1630595.0,,,,,,
