actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-12-06T01:10:13.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-06T01:10:13Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-12-06T01:10:23.9Z,1,REGULAR,jumpball,recovered,[],1629632,,,1610612741,0,0,2025-12-06T01:10:23Z,40000,False,,,0,,Jump Ball N. Vučević vs. J. Huff: Tip to C. White,"[1629632, 202696, 1630643]",1610612741.0,CHI,startperiod,C. White,1629632.0,White,C. White,Vučević,202696.0,Huff,1630643.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2025-12-06T01:10:50.8Z,1,REGULAR,turnover,traveling,[],1630581,,,1610612741,0,0,2025-12-06T01:10:57Z,80000,False,,,0,,J. Giddey traveling TURNOVER (1 TO),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,201246.0,1.0,,,,,,,,,,,,,,,,,,
9,PT11M26.00S,2025-12-06T01:11:09.1Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1627783,4.5499342969776615,31.127450980392158,1610612754,0,0,2025-12-06T01:11:29Z,90000,False,94.0,-10.0,1,left,MISS P. Siakam 9' Jump Shot,[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Right,,,9.49,Missed,,,,,,,,,,,,,,,,
10,PT11M24.00S,2025-12-06T01:11:11.1Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,0,0,2025-12-06T01:11:45Z,100000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Right,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,
11,PT11M11.00S,2025-12-06T01:11:23.5Z,1,REGULAR,3pt,Jump Shot,[],1641824,68.28186596583443,69.36274509803921,1610612741,0,0,2025-12-06T01:11:28Z,110000,False,97.0,246.0,1,right,MISS M. Buzelis 26' 3PT - blocked,"[1641824, 1630643]",1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Right Center,,,26.41,Missed,,,,,Huff,1630643.0,,,,,,,,,,
12,PT11M11.00S,2025-12-06T01:11:23.5Z,1,REGULAR,block,,[],1630643,,,1610612741,0,0,2025-12-06T01:11:26Z,120000,False,,,0,,J. Huff BLOCK (1 BLK),[1630643],1610612754.0,IND,,,,Huff,J. Huff,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
13,PT11M09.00S,2025-12-06T01:11:25.5Z,1,REGULAR,rebound,defensive,[],1629726,,,1610612754,0,0,2025-12-06T01:13:09Z,130000,False,,,0,,G. Mathews REBOUND (Off:0 Def:1),[1629726],1610612754.0,IND,,,,Mathews,G. Mathews,,,,,Above the Break 3,24+ Right Center,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT11M00.00S,2025-12-06T01:11:35.7Z,1,REGULAR,3pt,Jump Shot,[],1629726,32.95622536136663,56.885723039215684,1610612754,0,0,2025-12-06T01:11:43Z,140000,False,-34.0,257.0,1,left,MISS G. Mathews 25' 3PT,[1629726],1610612754.0,IND,,,,Mathews,G. Mathews,,,,,Above the Break 3,24+ Center,,,25.96,Missed,,,,,,,,,,,,,,,,
15,PT10M57.00S,2025-12-06T01:11:38.7Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,0,0,2025-12-06T01:11:43Z,150000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:1),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Center,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,
16,PT10M53.00S,2025-12-06T01:11:43.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629632,74.19513797634691,11.029411764705882,1610612741,3,0,2025-12-06T01:14:21Z,160000,False,-195.0,190.0,1,right,C. White 27' 3PT running pullup (3 PTS) (J. Giddey 1 AST),"[1629632, 1630581]",1610612741.0,CHI,running pullup,,,White,C. White,,,,,Above the Break 3,24+ Left Center,,,27.23,Made,,,,,,,3.0,J. Giddey,1630581.0,1.0,,,,,,
18,PT10M33.00S,2025-12-06T01:12:01.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630643,5.601182654402102,49.50980392156863,1610612754,3,2,2025-12-06T01:14:44Z,180000,False,2.0,0.0,1,left,J. Huff driving finger roll Layup (2 PTS) (A. Nembhard 1 AST),"[1630643, 1629614]",1610612754.0,IND,driving finger roll,,,Huff,J. Huff,,,,,Restricted Area,0-8 Center,,,0.25,Made,,,,,,,2.0,A. Nembhard,1629614.0,1.0,,,,,,
20,PT10M22.00S,2025-12-06T01:12:13.2Z,1,REGULAR,3pt,Jump Shot,[],1629632,66.04796320630749,59.31372549019608,1610612741,3,2,2025-12-06T01:15:06Z,200000,False,47.0,267.0,1,right,MISS C. White 27' pullup 3PT,[1629632],1610612741.0,CHI,pullup,,,White,C. White,,,,,Above the Break 3,24+ Center,,,27.06,Missed,,,,,,,,,,,,,,,,
21,PT10M19.00S,2025-12-06T01:12:16.2Z,1,REGULAR,rebound,defensive,[],1627783,,,1610612754,3,2,2025-12-06T01:15:06Z,210000,False,,,0,,P. Siakam REBOUND (Off:0 Def:1),[1627783],1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Center,,,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,
22,PT10M15.00S,2025-12-06T01:12:19.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1631097,25.969119579500656,78.67647058823529,1610612754,3,2,2025-12-06T01:16:30Z,220000,False,-143.0,192.0,1,left,MISS B. Mathurin running pullup 3PT,[1631097],1610612754.0,IND,running pullup,,,Mathurin,B. Mathurin,,,,,Above the Break 3,24+ Left Center,,,23.93,Missed,,,,,,,,,,,,,,,,
23,PT10M13.00S,2025-12-06T01:12:21.9Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,3,2,2025-12-06T01:12:27Z,230000,False,,,0,,N. Vučević REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Left Center,,,,,22.0,1.0,1.0,0.0,,,,,,,,,,,,
24,PT10M04.00S,2025-12-06T01:12:29.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641824,91.80354796320631,49.754901960784316,1610612741,5,2,2025-12-06T01:16:27Z,240000,False,-1.0,25.0,1,right,M. Buzelis driving finger roll Layup (2 PTS),[1641824],1610612741.0,CHI,driving finger roll,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,2.45,Made,,,,,,,2.0,,,,,,,,,
25,PT09M52.00S,2025-12-06T01:12:46.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627783,5.863994743758213,49.26470588235294,1610612754,5,2,2025-12-06T01:12:58Z,250000,False,4.0,3.0,1,left,MISS P. Siakam driving Layup - blocked,"[1627783, 1641824]",1610612754.0,IND,driving,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,0.45,Missed,,,,,Buzelis,1641824.0,,,,,,,,,,
26,PT09M52.00S,2025-12-06T01:12:46.2Z,1,REGULAR,block,,[],1641824,,,1610612754,5,2,2025-12-06T01:12:49Z,260000,False,,,0,,M. Buzelis BLOCK (1 BLK),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
27,PT09M50.00S,2025-12-06T01:12:48.2Z,1,REGULAR,rebound,defensive,[],1641824,,,1610612741,5,2,2025-12-06T01:12:58Z,270000,False,,,0,,M. Buzelis REBOUND (Off:0 Def:2),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,,,,,25.0,2.0,2.0,0.0,,,,,,,,,,,,
28,PT09M50.00S,2025-12-06T01:12:52.1Z,1,REGULAR,foul,personal,[],1627783,,,1610612741,5,2,2025-12-06T01:12:58Z,280000,False,,,0,,P. Siakam personal FOUL (1 PF),"[1627783, 1641824]",1610612754.0,IND,,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,201246.0,,,,,,,,,,,,,,1.0,0.0,Buzelis,1641824.0,,
