actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-12-18T01:10:12.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-18T01:10:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-12-18T01:10:14.4Z,1,REGULAR,jumpball,recovered,[],1629636,,,1610612739,0,0,2025-12-18T01:10:14Z,40000,False,,,0,,Jump Ball J. Allen vs. N. Vučević: Tip to D. Garland,"[1629636, 1628386, 202696]",1610612739.0,CLE,startperiod,D. Garland,1629636.0,Garland,D. Garland,Allen,1628386.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-12-18T01:10:28.6Z,1,REGULAR,3pt,Jump Shot,[],1628378,31.488173455978973,28.676470588235293,1610612739,0,0,2025-12-18T01:10:34Z,70000,False,107.0,243.0,1,left,MISS D. Mitchell 26' 3PT,[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Right Center,26.58,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2025-12-18T01:10:31.6Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,0,0,2025-12-18T01:10:34Z,80000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2025-12-18T01:10:47.2Z,1,REGULAR,turnover,out-of-bounds,[],1641824,,,1610612741,0,0,2025-12-18T01:10:54Z,90000,False,,,0,,M. Buzelis bad pass out-of-bounds TURNOVER (1 TO),[1641824],1610612741.0,CHI,bad pass,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Center,,,,,,,204059.0,1.0,,,,,,,,,,,,
10,PT11M17.00S,2025-12-18T01:11:01.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628386,6.258212877792378,50.98039215686274,1610612739,0,2,2025-12-18T01:11:08Z,100000,False,-5.0,6.0,1,left,J. Allen cutting finger roll Layup (2 PTS) (D. Mitchell 1 AST),"[1628386, 1628378]",1610612739.0,CLE,cutting finger roll,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,0.8,Made,,,,,,,2.0,D. Mitchell,1628378.0,1.0,,,,,,,,
12,PT11M01.00S,2025-12-18T01:11:17.4Z,1,REGULAR,2pt,Jump Shot,[],1629632,94.03745072273325,29.65686274509804,1610612741,2,2,2025-12-18T01:11:22Z,120000,False,-102.0,4.0,1,right,C. White 10' driving floating Jump Shot (2 PTS) (N. Vučević 1 AST),"[1629632, 202696]",1610612741.0,CHI,driving floating,,,White,C. White,,,,,Mid-Range,8-16 Left,10.18,Made,,,,,,,2.0,N. Vučević,202696.0,1.0,,,,,,,,
13,PT10M48.00S,2025-12-18T01:11:29.9Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628378,11.12023653088042,56.372549019607845,1610612739,2,4,2025-12-18T01:12:15Z,130000,False,-32.0,52.0,1,left,D. Mitchell 6' turnaround Hook (2 PTS),[1628378],1610612739.0,CLE,turnaround,,,Mitchell,D. Mitchell,,,,,In The Paint (Non-RA),0-8 Center,6.1,Made,,,,,,,2.0,,,,,,,,,,,
14,PT10M40.00S,2025-12-18T01:11:44.0Z,1,REGULAR,foul,offensive,[],1629632,,,1610612741,2,4,2025-12-18T01:11:56Z,140000,False,,,0,,C. White charge offensive FOUL (1 PF),"[1629632, 1629636]",1610612741.0,CHI,charge,,,White,C. White,,,,,Above the Break 3,24+ Left Center,,,,,,,204059.0,,,,,,1.0,0.0,Garland,1629636.0,,,,
16,PT10M40.00S,2025-12-18T01:11:44.0Z,1,REGULAR,turnover,offensive foul,[],1629632,,,1610612741,2,4,2025-12-18T01:11:44Z,160000,False,,,0,,C. White offensive foul TURNOVER (1 TO),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Left Center,,,,,,,204059.0,1.0,,,,,,,,,,,,
18,PT10M30.00S,2025-12-18T01:12:04.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628378,29.911300919842315,75.24509803921569,1610612739,2,4,2025-12-18T01:12:16Z,170000,False,-126.0,229.0,1,left,MISS D. Mitchell 26' step back 3PT,[1628378],1610612739.0,CLE,step back,,,Mitchell,D. Mitchell,,,,,Above the Break 3,24+ Left Center,26.12,Missed,,,,,,,,,,,,,,,,,,
19,PT10M25.00S,2025-12-18T01:12:09.1Z,1,REGULAR,rebound,offensive,[],1629731,,,1610612739,2,4,2025-12-18T01:12:09Z,180000,False,,,0,,D. Wade REBOUND (Off:1 Def:0),[1629731],1610612739.0,CLE,,,,Wade,D. Wade,,,,,Above the Break 3,24+ Left Center,,,18.0,1.0,0.0,1.0,,,,,,,,,,,,,,
20,PT10M24.00S,2025-12-18T01:12:10.4Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', '2ndchance']",1629636,32.276609724047304,42.15686274509804,1610612739,2,4,2025-12-18T01:12:58Z,190000,False,39.0,251.0,1,left,MISS D. Garland 25' 3PT,[1629636],1610612739.0,CLE,,,,Garland,D. Garland,,,,,Above the Break 3,24+ Center,25.39,Missed,,,,,,,,,,,,,,,,,,
21,PT10M21.00S,2025-12-18T01:12:13.4Z,1,REGULAR,rebound,defensive,[],1629632,,,1610612741,2,4,2025-12-18T01:12:18Z,200000,False,,,0,,C. White REBOUND (Off:0 Def:1),[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Center,,,20.0,1.0,1.0,0.0,,,,,,,,,,,,,,
22,PT10M11.00S,2025-12-18T01:12:23.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,93.11760840998686,49.50980392156863,1610612741,4,4,2025-12-18T01:13:31Z,210000,False,-2.0,12.0,1,right,C. White driving Layup (4 PTS),[1629632],1610612741.0,CHI,driving,,,White,C. White,,,,,Restricted Area,0-8 Center,1.25,Made,,,,,,,4.0,,,,,,,,,,,
23,PT09M59.00S,2025-12-18T01:12:34.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628386,6.258212877792378,46.07843137254902,1610612739,4,6,2025-12-18T01:12:37Z,220000,False,20.0,6.0,1,left,J. Allen alley-oop Layup (4 PTS) (D. Garland 1 AST),"[1628386, 1629636]",1610612739.0,CLE,alley-oop,,,Allen,J. Allen,,,,,Restricted Area,0-8 Center,2.06,Made,,,,,,,4.0,D. Garland,1629636.0,1.0,,,,,,,,
25,PT09M50.00S,2025-12-18T01:12:44.2Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612741,4,6,2025-12-18T01:12:47Z,240000,False,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 1628386]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Mid-Range,8-16 Right,,,,,,,,1.0,,,,,,,,,Allen,1628386.0,,
26,PT09M50.00S,2025-12-18T01:12:44.2Z,1,REGULAR,steal,,[],1628386,,,1610612739,4,6,2025-12-18T01:12:45Z,250000,False,,,0,,J. Allen STEAL (1 STL),[1628386],1610612739.0,CLE,,,,Allen,J. Allen,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
27,PT09M44.00S,2025-12-18T01:12:50.1Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1629636,31.750985545335087,57.35294117647059,1610612739,4,9,2025-12-18T01:14:54Z,260000,False,-37.0,246.0,1,left,D. Garland 24' 3PT running (3 PTS) (J. Tyson 1 AST),"[1629636, 1642281]",1610612739.0,CLE,running,,,Garland,D. Garland,,,,,Above the Break 3,24+ Center,24.87,Made,,,,,,,3.0,J. Tyson,1642281.0,1.0,,,,,,,,
29,PT09M36.00S,2025-12-18T01:13:01.1Z,1,REGULAR,foul,personal,[],1629731,,,1610612741,4,9,2025-12-18T01:19:19Z,280000,False,,,0,,D. Wade personal FOUL (1 PF),"[1629731, 1641824]",1610612739.0,CLE,,,,Wade,D. Wade,,,,,Mid-Range,8-16 Center,,,,,,,204059.0,,,,,,1.0,0.0,Buzelis,1641824.0,,,,
31,PT09M29.00S,2025-12-18T01:13:26.7Z,1,REGULAR,foul,personal,['2freethrow'],1642281,,,1610612741,4,9,2025-12-18T01:13:47Z,300000,False,,,0,,J. Tyson shooting personal FOUL (1 PF) (Giddey 2 FT),"[1642281, 1630581]",1610612739.0,CLE,shooting,,,Tyson,J. Tyson,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1629177.0,,,,,,1.0,0.0,Giddey,1630581.0,,,,
33,PT09M29.00S,2025-12-18T01:13:48.4Z,1,REGULAR,freethrow,1 of 2,[],1630581,,,1610612741,5,9,2025-12-18T01:13:48Z,320000,False,,,0,,J. Giddey Free Throw 1 of 2 (1 PTS),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
34,PT09M29.00S,2025-12-18T01:14:04.5Z,1,REGULAR,freethrow,2 of 2,[],1630581,,,1610612741,6,9,2025-12-18T01:14:04Z,330000,False,,,0,,J. Giddey Free Throw 2 of 2 (2 PTS),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
35,PT09M15.00S,2025-12-18T01:14:20.6Z,1,REGULAR,3pt,Jump Shot,[],1642281,6.258212877792378,3.431372549019608,1610612739,6,12,2025-12-18T01:14:25Z,340000,False,233.0,6.0,1,left,J. Tyson 3PT  (3 PTS) (J. Allen 1 AST),"[1642281, 1628386]",1610612739.0,CLE,,,,Tyson,J. Tyson,,,,,Right Corner 3,24+ Right,23.29,Made,,,,,,,3.0,J. Allen,1628386.0,1.0,,,,,,,,
37,PT08M57.00S,2025-12-18T01:14:38.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,92.85479632063075,47.30392156862745,1610612741,8,12,2025-12-18T01:14:41Z,360000,False,-13.0,15.0,1,right,I. Okoro driving finger roll Layup (2 PTS),[1630171],1610612741.0,CHI,driving finger roll,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,2.0,Made,,,,,,,2.0,,,,,,,,,,,
38,PT08M52.00S,2025-12-18T01:14:46.9Z,1,REGULAR,2pt,Jump Shot,[],1628378,5.469776609724048,29.411764705882355,1610612739,8,14,2025-12-18T01:15:06Z,370000,False,103.0,-1.0,1,left,D. Mitchell 10' driving floating Jump Shot (4 PTS),[1628378],1610612739.0,CLE,driving floating,,,Mitchell,D. Mitchell,,,,,Mid-Range,8-16 Right,10.29,Made,,,,,,,4.0,,,,,,,,,,,
39,PT08M52.00S,2025-12-18T01:14:49.4Z,1,REGULAR,foul,personal,['1freethrow'],1641824,,,1610612739,8,14,2025-12-18T01:14:57Z,380000,False,,,0,,M. Buzelis shooting personal FOUL (1 PF) (Mitchell 1 FT),"[1641824, 1628378]",1610612741.0,CHI,shooting,,,Buzelis,M. Buzelis,,,,,Mid-Range,8-16 Right,,,,,,,1628951.0,,,,,,1.0,0.0,Mitchell,1628378.0,,,,
41,PT08M52.00S,2025-12-18T01:15:15.1Z,1,REGULAR,freethrow,1 of 1,[],1628378,,,1610612739,8,15,2025-12-18T01:15:15Z,400000,False,,,0,,D. Mitchell Free Throw 1 of 1 (5 PTS),[1628378],1610612739.0,CLE,,,,Mitchell,D. Mitchell,,,,,,,,Made,,,,,,,5.0,,,,,,,,,,,
