actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-12-15T00:10:39.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-15T00:10:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-12-15T00:10:40.2Z,1,REGULAR,jumpball,recovered,[],1629632,,,1610612741,0,0,2025-12-15T00:10:40Z,40000,False,,,0,,Jump Ball N. Vučević vs. D. Queen: Tip to C. White,"[1629632, 202696, 1642852]",1610612741.0,CHI,startperiod,C. White,1629632.0,White,C. White,Vučević,202696.0,Queen,1642852.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-12-15T00:10:59.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202696,9.149145860709593,50.0,1610612741,0,0,2025-12-15T00:17:01Z,155000,False,0.0,34.0,1,left,MISS N. Vučević driving Layup - blocked,"[202696, 1642852]",1610612741.0,CHI,driving,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,3.35,Missed,Queen,1642852.0,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-12-15T00:10:59.9Z,1,REGULAR,block,,[],1642852,,,1610612741,0,0,2025-12-15T00:11:02Z,157500,False,,,0,,D. Queen BLOCK (1 BLK),[1642852],1610612740.0,NOP,,,,Queen,D. Queen,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M40.00S,2025-12-15T00:11:00.9Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,0,0,2025-12-15T00:12:36Z,158750,False,,,0,,N. Vučević REBOUND (Off:1 Def:0),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,
10,PT11M39.00S,2025-12-15T00:11:04.1Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",202696,5.590000152587891,50.0,1610612741,0,0,2025-12-15T00:17:21Z,159375,False,0.0,0.0,1,left,MISS N. Vučević putback Layup,[202696],1610612741.0,CHI,putback,,,Vučević,N. Vučević,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
11,PT11M38.00S,2025-12-15T00:11:05.1Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612741,0,0,2025-12-15T00:13:10Z,159687,False,,,0,,I. Okoro REBOUND (Off:1 Def:0),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,
12,PT11M38.00S,2025-12-15T00:11:05.7Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630171,5.590000152587891,50.0,1610612741,0,0,2025-12-15T00:17:12Z,159765,False,0.0,0.0,1,left,MISS I. Okoro tip Layup,[1630171],1610612741.0,CHI,tip,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
13,PT11M37.00S,2025-12-15T00:11:06.7Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612741,0,0,2025-12-15T00:25:36Z,159804,False,,,0,,I. Okoro REBOUND (Off:2 Def:0),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,,,12.0,2.0,0.0,2.0,,,,,,,,,,,,
14,PT11M28.00S,2025-12-15T00:11:10.6Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1629632,29.25427069645204,22.794117647058822,1610612741,0,0,2025-12-15T00:14:10Z,159843,False,136.0,222.0,1,left,MISS C. White 26' 3PT,[1629632],1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Right Center,26.08,Missed,,,,,,,,,,,,,,,,,,
