actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,playerName,playerNameI,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-21T01:10:18.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-21T01:10:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-21T01:10:23.7Z,1,REGULAR,jumpball,recovered,[],0,,,1610612741,0,0,2026-01-21T01:10:23Z,40000,False,,,0,,Jump Ball N. Vučević vs. I. Zubac: Tip to Team (CHI),"[202696, 1627826]",1610612741.0,CHI,startperiod,Team (CHI),Vučević,202696.0,Zubac,1627826.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-01-21T01:10:53.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641824,92.46057818659659,56.61764705882353,1610612741,0,0,2026-01-21T01:11:31Z,70000,False,33.0,18.0,1,right,MISS M. Buzelis driving Layup,[1641824],1610612741.0,CHI,driving,,,,,,Restricted Area,0-8 Center,3.79,Missed,Buzelis,M. Buzelis,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2026-01-21T01:10:55.8Z,1,REGULAR,rebound,defensive,[],1627826,,,1610612746,0,0,2026-01-21T01:11:31Z,80000,False,,,0,,I. Zubac REBOUND (Off:0 Def:1),[1627826],1610612746.0,LAC,,,,,,,Restricted Area,0-8 Center,,,Zubac,I. Zubac,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M32.00S,2026-01-21T01:11:05.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201935,6.652431011826544,48.77450980392157,1610612746,0,2,2026-01-21T01:12:08Z,90000,False,6.0,10.0,1,left,J. Harden driving finger roll Layup (2 PTS),[201935],1610612746.0,LAC,driving finger roll,,,,,,Restricted Area,0-8 Center,1.17,Made,Harden,J. Harden,,,,,2.0,,,,,,,,,,,,,
11,PT11M12.00S,2026-01-21T01:11:25.9Z,1,REGULAR,3pt,Jump Shot,[],1629632,72.88107752956637,18.627450980392158,1610612741,0,2,2026-01-21T01:11:34Z,100000,False,-157.0,202.0,1,right,MISS C. White 25' 3PT,[1629632],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,25.61,Missed,White,C. White,,,,,,,,,,,,,,,,,,
12,PT11M09.00S,2026-01-21T01:11:28.9Z,1,REGULAR,rebound,offensive,[],1630188,,,1610612741,0,2,2026-01-21T01:11:34Z,110000,False,,,0,,J. Smith REBOUND (Off:1 Def:0),[1630188],1610612741.0,CHI,,,,,,,Above the Break 3,24+ Left Center,,,Smith,J. Smith,11.0,1.0,0.0,1.0,,,,,,,,,,,,,,
13,PT11M09.00S,2026-01-21T01:11:33.3Z,1,REGULAR,turnover,out-of-bounds,[],1630188,,,1610612741,0,2,2026-01-21T01:13:05Z,120000,False,,,0,,J. Smith step out-of-bounds TURNOVER (1 TO),[1630188],1610612741.0,CHI,step,,,,,,Mid-Range,8-16 Right,,,Smith,J. Smith,,,,,,201638.0,1.0,,,,,,,,,,,
14,PT10M54.00S,2026-01-21T01:11:51.0Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628381,4.944152431011826,2.450980392156863,1610612746,0,5,2026-01-21T01:11:55Z,130000,False,238.0,-6.0,1,left,J. Collins 3PT  (3 PTS) (K. Dunn 1 AST),"[1628381, 1627739]",1610612746.0,LAC,,,,,,,Right Corner 3,24+ Right,23.78,Made,Collins,J. Collins,,,,,3.0,,,K. Dunn,1627739.0,1.0,,,,,,,,
16,PT10M37.00S,2026-01-21T01:12:11.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629632,93.38042049934296,45.34313725490196,1610612741,0,5,2026-01-21T02:41:16Z,150000,False,-23.0,10.0,1,right,MISS C. White driving finger roll Layup,[1629632],1610612741.0,CHI,driving finger roll,,,,,,Restricted Area,0-8 Center,2.52,Missed,White,C. White,,,,,,,,,,,,,,,,,,
