actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-02-20T01:13:22.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-20T01:13:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-20T01:13:25.0Z,1,REGULAR,jumpball,recovered,[],1629014,,,1610612741,0,0,2026-02-20T01:13:25Z,40000,False,,,0,,Jump Ball J. Smith vs. S. Barnes: Tip to A. Simons,"[1629014, 1630188, 1630567]",1610612741.0,CHI,startperiod,A. Simons,1629014.0,Simons,A. Simons,Smith,1630188.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2026-02-20T01:13:40.1Z,1,REGULAR,turnover,lost ball,[],1630171,,,1610612741,0,0,2026-02-20T01:13:43Z,70000,False,,,0,,I. Okoro lost ball TURNOVER (1 TO),"[1630171, 1630567]",1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Mid-Range,8-16 Left,1.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2026-02-20T01:13:40.1Z,1,REGULAR,steal,,[],1630567,,,1610612761,0,0,2026-02-20T01:14:43Z,80000,False,,,0,,S. Barnes STEAL (1 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,,,,,,,,
9,PT11M36.00S,2026-02-20T01:13:46.1Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1627742,6.258212877792378,51.225490196078425,1610612761,0,2,2026-02-20T01:14:03Z,90000,False,-6.0,6.0,1,left,B. Ingram running Layup (2 PTS),[1627742],1610612761.0,TOR,running,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,,0.88,Made,2.0,,,,,,,,,,,,,,
10,PT11M11.00S,2026-02-20T01:14:10.3Z,1,REGULAR,3pt,Jump Shot,[],1629014,72.88107752956637,82.59803921568627,1610612741,0,2,2026-02-20T01:14:15Z,100000,False,163.0,202.0,1,right,MISS A. Simons 25' 3PT,[1629014],1610612741.0,CHI,,,,Simons,A. Simons,,,,,Above the Break 3,24+ Right Center,,,,25.99,Missed,,,,,,,,,,,,,,,
11,PT11M08.00S,2026-02-20T01:14:13.3Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,0,2,2026-02-20T01:14:15Z,110000,False,,,0,,R. Barrett REBOUND (Off:0 Def:1),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Right Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M05.00S,2026-02-20T01:14:19.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1629628,6.783837056504599,60.78431372549019,1610612761,0,2,2026-02-20T01:17:22Z,120000,False,-54.0,11.0,1,left,MISS R. Barrett running Layup,[1629628],1610612761.0,TOR,running,,,Barrett,R. Barrett,,,,,In The Paint (Non-RA),0-8 Center,,,,5.51,Missed,,,,,,,,,,,,,,,
14,PT11M05.00S,2026-02-20T01:14:19.2Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612761,0,2,2026-02-20T01:14:26Z,140000,False,,,0,,TEAM offensive REBOUND,[],1610612761.0,TOR,,,,,,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,12.0,,,,,,,,,,,,,
17,PT10M54.00S,2026-02-20T01:14:56.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627742,7.178055190538765,50.98039215686274,1610612761,0,2,2026-02-20T01:15:00Z,170000,False,-5.0,15.0,1,left,MISS B. Ingram driving Layup,[1627742],1610612761.0,TOR,driving,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,,1.58,Missed,,,,,,,,,,,,,,,
18,PT10M50.00S,2026-02-20T01:15:00.0Z,1,REGULAR,rebound,offensive,[],1627742,,,1610612761,0,2,2026-02-20T01:15:00Z,180000,False,,,0,,B. Ingram REBOUND (Off:1 Def:0),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,
19,PT10M50.00S,2026-02-20T01:15:00.0Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1627742,5.590000152587891,50.0,1610612761,0,2,2026-02-20T01:15:02Z,190000,False,0.0,0.0,1,left,MISS B. Ingram tip Layup,[1627742],1610612761.0,TOR,tip,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,,0.0,Missed,,,,,,,,,,,,,,,
20,PT10M50.00S,2026-02-20T01:15:00.0Z,1,REGULAR,rebound,offensive,[],1627742,,,1610612761,0,2,2026-02-20T01:15:02Z,200000,False,,,0,,B. Ingram REBOUND (Off:2 Def:0),[1627742],1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,,,,,,,19.0,2.0,0.0,2.0,,,,,,,,,,
21,PT10M49.00S,2026-02-20T01:15:01.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1627742,5.590000152587891,50.0,1610612761,0,4,2026-02-20T01:15:01Z,210000,False,0.0,0.0,1,left,B. Ingram tip Layup (4 PTS),[1627742],1610612761.0,TOR,tip,,,Ingram,B. Ingram,,,,,Mid-Range,8-16 Left,,,,0.0,Made,4.0,,,,,,,,,,,,,,
22,PT10M32.00S,2026-02-20T01:15:20.9Z,1,REGULAR,turnover,out-of-bounds,[],1641824,,,1610612741,0,4,2026-02-20T01:15:27Z,220000,False,,,0,,M. Buzelis bad pass out-of-bounds TURNOVER (1 TO),[1641824],1610612741.0,CHI,bad pass,,,Buzelis,M. Buzelis,,,,,Mid-Range,8-16 Left,1.0,,,,,,,,,,1628168.0,,,,,,,,,
74,PT10M18.00S,2026-02-20T01:15:40.7Z,1,REGULAR,turnover,lost ball,[],1627742,,,1610612761,0,4,2026-02-20T01:27:12Z,240000,False,,,0,,B. Ingram lost ball TURNOVER (1 TO),"[1627742, 1630188]",1610612761.0,TOR,,,,Ingram,B. Ingram,,,,,Restricted Area,0-8 Center,1.0,Smith,1630188.0,,,,,,,,,,,,,,,,,
75,PT10M18.00S,2026-02-20T01:15:40.7Z,1,REGULAR,steal,,[],1630188,,,1610612741,0,4,2026-02-20T01:27:12Z,250000,False,,,0,,J. Smith STEAL (1 STL),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
26,PT09M59.00S,2026-02-20T01:16:00.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630581,69.33311432325887,23.52941176470588,1610612741,0,4,2026-02-20T01:27:12Z,260000,False,-132.0,236.0,1,right,MISS J. Giddey 27' step back 3PT,[1630581],1610612741.0,CHI,step back,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,,,,27.04,Missed,,,,,,,,,,,,,,,
27,PT09M56.00S,2026-02-20T01:16:03.5Z,1,REGULAR,rebound,defensive,[],1642867,,,1610612761,0,4,2026-02-20T01:16:05Z,270000,False,,,0,,C. Murray-Boyles REBOUND (Off:0 Def:1),[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,Above the Break 3,24+ Left Center,,,,,,,26.0,1.0,1.0,0.0,,,,,,,,,,
28,PT09M49.00S,2026-02-20T01:16:11.6Z,1,REGULAR,2pt,Jump Shot,[],1630567,12.565703022339028,66.66666666666666,1610612761,0,4,2026-02-20T01:16:18Z,280000,False,-83.0,66.0,1,left,MISS S. Barnes 10' step back Shot,[1630567],1610612761.0,TOR,step back,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Left,,,,10.6,Missed,,,,,,,,,,,,,,,
29,PT09M43.00S,2026-02-20T01:16:17.6Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612741,0,4,2026-02-20T01:16:18Z,290000,False,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,Mid-Range,8-16 Left,,,,,,,28.0,1.0,1.0,0.0,,,,,,,,,,
30,PT09M38.00S,2026-02-20T01:16:21.0Z,1,REGULAR,turnover,lost ball,[],1641824,,,1610612741,0,4,2026-02-20T01:16:24Z,300000,False,,,0,,M. Buzelis lost ball TURNOVER (2 TO),"[1641824, 1630567]",1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),8-16 Right,2.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,
31,PT09M38.00S,2026-02-20T01:16:21.0Z,1,REGULAR,steal,,[],1630567,,,1610612761,0,4,2026-02-20T01:16:22Z,310000,False,,,0,,S. Barnes STEAL (2 STL),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
32,PT09M34.00S,2026-02-20T01:16:25.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630567,6.1268068331143235,50.49019607843137,1610612761,0,6,2026-02-20T01:16:30Z,320000,False,-2.0,5.0,1,left,S. Barnes running DUNK (2 PTS) (I. Quickley 1 AST),"[1630567, 1630193]",1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,0.57,Made,2.0,,,,,,I. Quickley,1630193.0,1.0,,,,,,
34,PT09M13.00S,2026-02-20T01:16:46.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629014,81.553876478318,43.13725490196079,1610612741,2,6,2026-02-20T01:16:50Z,340000,False,-34.0,121.0,1,right,A. Simons 12' pullup Jump Shot (2 PTS),[1629014],1610612741.0,CHI,pullup,,,Simons,A. Simons,,,,,In The Paint (Non-RA),8-16 Center,,,,12.57,Made,2.0,,,,,,,,,,,,,,
35,PT08M52.00S,2026-02-20T01:17:07.4Z,1,REGULAR,3pt,Jump Shot,[],1629628,33.327858081471746,40.931372549019606,1610612761,2,6,2026-02-20T01:17:12Z,350000,False,45.0,261.0,1,left,MISS R. Barrett 26' 3PT,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Center,,,,26.47,Missed,,,,,,,,,,,,,,,
36,PT08M52.00S,2026-02-20T01:17:07.4Z,1,REGULAR,rebound,offensive,[],1642867,,,1610612761,2,6,2026-02-20T01:17:12Z,360000,False,,,0,,C. Murray-Boyles REBOUND (Off:1 Def:1),[1642867],1610612761.0,TOR,,,,Murray-Boyles,C. Murray-Boyles,,,,,Above the Break 3,24+ Center,,,,,,,35.0,2.0,1.0,1.0,,,,,,,,,,
37,PT08M46.00S,2026-02-20T01:17:14.0Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630193,23.99802890932983,87.5,1610612761,2,6,2026-02-20T01:24:13Z,370000,False,-188.0,173.0,1,left,MISS I. Quickley 25' pullup 3PT,[1630193],1610612761.0,TOR,pullup,,,Quickley,I. Quickley,,,,,Above the Break 3,24+ Left Center,,,,25.52,Missed,,,,,,,,,,,,,,,
38,PT08M42.00S,2026-02-20T01:17:18.0Z,1,REGULAR,rebound,defensive,[],1630171,,,1610612741,2,6,2026-02-20T01:26:59Z,380000,False,,,0,,I. Okoro REBOUND (Off:0 Def:1),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Left Center,,,,,,,37.0,1.0,1.0,0.0,,,,,,,,,,
39,PT08M35.00S,2026-02-20T01:17:24.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630581,93.9060446780552,63.48039215686274,1610612741,2,6,2026-02-20T01:17:28Z,390000,False,67.0,5.0,1,right,MISS J. Giddey 6' driving floating bank Shot,[1630581],1610612741.0,CHI,driving floating bank,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,6.76,Missed,,,,,,,,,,,,,,,
40,PT08M33.00S,2026-02-20T01:17:26.7Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,2,6,2026-02-20T01:17:28Z,400000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,39.0,1.0,1.0,0.0,,,,,,,,,,
41,PT08M26.00S,2026-02-20T01:17:33.8Z,1,REGULAR,3pt,Jump Shot,[],1629628,10.5946123521682,5.392156862745098,1610612761,2,6,2026-02-20T01:17:38Z,410000,False,223.0,47.0,1,left,MISS R. Barrett 3PT,[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Right Corner 3,24+ Right,,,,22.79,Missed,,,,,,,,,,,,,,,
42,PT08M23.00S,2026-02-20T01:17:36.8Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612741,2,6,2026-02-20T01:17:38Z,420000,False,,,0,,J. Smith REBOUND (Off:0 Def:2),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,Right Corner 3,24+ Right,,,,,,,41.0,2.0,2.0,0.0,,,,,,,,,,
43,PT08M05.00S,2026-02-20T01:17:54.4Z,1,REGULAR,3pt,Jump Shot,[],1629014,70.12155059132719,21.568627450980394,1610612741,2,6,2026-02-20T01:17:59Z,430000,False,-142.0,228.0,1,right,MISS A. Simons 26' pullup 3PT,[1629014],1610612741.0,CHI,pullup,,,Simons,A. Simons,,,,,Above the Break 3,24+ Left Center,,,,26.9,Missed,,,,,,,,,,,,,,,
44,PT08M02.00S,2026-02-20T01:17:57.4Z,1,REGULAR,rebound,defensive,[],1629628,,,1610612761,2,6,2026-02-20T01:17:59Z,440000,False,,,0,,R. Barrett REBOUND (Off:0 Def:2),[1629628],1610612761.0,TOR,,,,Barrett,R. Barrett,,,,,Above the Break 3,24+ Left Center,,,,,,,43.0,2.0,2.0,0.0,,,,,,,,,,
