actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-11T00:11:12.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-11T00:11:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-04-11T00:11:15.6Z,1,REGULAR,jumpball,recovered,[],1629012,,,1610612741,0,0,2026-04-11T00:11:15Z,40000,False,,,0,,Jump Ball M. Buzelis vs. W. Carter Jr.: Tip to C. Sexton,"[1629012, 1641824, 1628976]",1610612741.0,CHI,startperiod,C. Sexton,1629012.0,Sexton,C. Sexton,Buzelis,1641824.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2026-04-11T00:11:34.4Z,1,REGULAR,turnover,lost ball,[],1631159,,,1610612741,0,0,2026-04-11T00:11:38Z,70000,False,,,0,,L. Miller lost ball TURNOVER (1 TO),"[1631159, 1631094]",1610612741.0,CHI,,,,Miller,L. Miller,,,,,In The Paint (Non-RA),8-16 Center,1.0,Banchero,1631094.0,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2026-04-11T00:11:34.4Z,1,REGULAR,steal,,[],1631094,,,1610612753,0,0,2026-04-11T00:11:36Z,80000,False,,,0,,P. Banchero STEAL (1 STL),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M31.00S,2026-04-11T00:11:40.4Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628976,94.1688567674113,50.245098039215684,1610612753,0,2,2026-04-11T00:11:47Z,90000,False,1.0,2.0,1,right,W. Carter Jr. running DUNK (2 PTS) (P. Banchero 1 AST),"[1628976, 1631094]",1610612753.0,ORL,running,,,Carter Jr.,W. Carter Jr.,,,,,Restricted Area,0-8 Center,,,,0.26,Made,2.0,P. Banchero,1631094.0,1.0,,,,,,,,,,,
11,PT11M17.00S,2026-04-11T00:11:54.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630200,18.74178712220762,50.245098039215684,1610612741,0,2,2026-04-11T00:11:58Z,110000,False,-1.0,124.0,1,left,MISS T. Jones 12' pullup Shot,[1630200],1610612741.0,CHI,pullup,,,Jones,T. Jones,,,,,In The Paint (Non-RA),8-16 Center,,,,12.37,Missed,,,,,,,,,,,,,,,
12,PT11M15.00S,2026-04-11T00:11:56.4Z,1,REGULAR,rebound,defensive,[],1631094,,,1610612753,0,2,2026-04-11T00:11:58Z,120000,False,,,0,,P. Banchero REBOUND (Off:0 Def:1),[1631094],1610612753.0,ORL,,,,Banchero,P. Banchero,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,
13,PT11M01.00S,2026-04-11T00:12:10.9Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1631094,92.85479632063075,49.26470588235294,1610612753,0,4,2026-04-11T00:12:15Z,130000,False,-4.0,15.0,1,right,P. Banchero driving Layup (2 PTS),[1631094],1610612753.0,ORL,driving,,,Banchero,P. Banchero,,,,,Restricted Area,0-8 Center,,,,1.52,Made,2.0,,,,,,,,,,,,,,
14,PT10M46.00S,2026-04-11T00:12:26.3Z,1,REGULAR,turnover,lost ball,[],1641824,,,1610612741,0,4,2026-04-11T00:12:29Z,140000,False,,,0,,M. Buzelis lost ball TURNOVER (1 TO),"[1641824, 1630217]",1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,In The Paint (Non-RA),0-8 Center,1.0,Bane,1630217.0,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2026-04-11T00:12:26.3Z,1,REGULAR,steal,,[],1630217,,,1610612753,0,4,2026-04-11T00:12:28Z,150000,False,,,0,,D. Bane STEAL (1 STL),[1630217],1610612753.0,ORL,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
16,PT10M34.00S,2026-04-11T00:12:40.4Z,1,REGULAR,foul,personal,['2freethrow'],1630200,,,1610612753,0,4,2026-04-11T00:12:50Z,160000,False,,,0,,T. Jones shooting personal FOUL (1 PF) (Wagner 2 FT),"[1630200, 1630532]",1610612741.0,CHI,shooting,,,Jones,T. Jones,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,202058.0,1.0,0.0,Wagner,1630532.0,,
