actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-01-19T00:12:12.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-19T00:12:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-19T00:12:14.9Z,1,REGULAR,jumpball,recovered,[],1641730,,,1610612751,0,0,2026-01-19T00:12:14Z,40000,False,,,0,,Jump Ball N. Claxton vs. J. Smith: Tip to N. Clowney,"[1641730, 1629651, 1630188]",1610612751.0,BKN,startperiod,N. Clowney,1641730.0,Clowney,N. Clowney,Claxton,1629651.0,Smith,1630188.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-01-19T00:12:32.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629651,89.56964520367937,43.627450980392155,1610612751,0,0,2026-01-19T00:13:22Z,70000,False,-32.0,46.0,1,right,MISS N. Claxton driving Hook,[1629651],1610612751.0,BKN,driving,,,Claxton,N. Claxton,,,,,In The Paint (Non-RA),0-8 Center,5.56,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2026-01-19T00:12:34.1Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612741,0,0,2026-01-19T00:12:35Z,80000,False,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2026-01-19T00:12:38.5Z,1,REGULAR,foul,personal,['2freethrow'],1642856,,,1610612741,0,0,2026-01-19T00:12:45Z,90000,False,,,0,,E. Dëmin shooting personal FOUL (1 PF) (Okoro 2 FT),"[1642856, 1630171]",1610612751.0,BKN,shooting,,,Dëmin,E. Dëmin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,2534.0,1.0,0.0,Okoro,1630171.0,,,,,,,,,
11,PT11M35.00S,2026-01-19T00:13:02.3Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1630171,,,1610612741,1,0,2026-01-19T00:13:20Z,110000,False,,,0,,I. Okoro Free Throw 1 of 2 (1 PTS),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
12,PT11M35.00S,2026-01-19T00:13:02.3Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1630171,,,1610612741,1,0,2026-01-19T00:13:20Z,120000,False,,,0,,MISS I. Okoro Free Throw 2 of 2,[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
13,PT11M33.00S,2026-01-19T00:13:04.3Z,1,REGULAR,rebound,defensive,[],1641730,,,1610612751,1,0,2026-01-19T00:13:20Z,130000,False,,,0,,N. Clowney REBOUND (Off:0 Def:1),[1641730],1610612751.0,BKN,,,,Clowney,N. Clowney,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M22.00S,2026-01-19T00:13:28.3Z,1,REGULAR,3pt,Jump Shot,[],1642856,95.87713534822602,3.1862745098039214,1610612751,1,3,2026-01-19T00:13:33Z,140000,False,-234.0,-14.0,1,right,E. Dëmin 3PT  (3 PTS) (N. Clowney 1 AST),"[1642856, 1641730]",1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,Left Corner 3,24+ Left,23.45,Made,,,,,,,,,,3.0,N. Clowney,1641730.0,1.0,,,,,
16,PT10M57.00S,2026-01-19T00:13:56.5Z,1,REGULAR,2pt,Jump Shot,[],1641824,27.020367936925098,37.254901960784316,1610612741,1,3,2026-01-19T00:14:09Z,160000,False,64.0,201.0,1,left,MISS M. Buzelis 21' turnaround fadeaway Shot,[1641824],1610612741.0,CHI,turnaround fadeaway,,,Buzelis,M. Buzelis,,,,,Mid-Range,16-24 Center,21.13,Missed,,,,,,,,,,,,,,,,,,
