actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-01-30T01:10:25.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-30T01:10:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2026-01-30T01:10:29.1Z,1,REGULAR,jumpball,recovered,[],1626181,,,1610612748,0,0,2026-01-30T01:10:29Z,40000,False,,,0,,Jump Ball B. Adebayo vs. N. Vučević: Tip to N. Powell,"[1626181, 1628389, 202696]",1610612748.0,MIA,startperiod,N. Powell,1626181.0,Powell,N. Powell,Adebayo,1628389.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-01-30T01:10:41.5Z,1,REGULAR,3pt,Jump Shot,[],1628389,69.85873850197109,75.98039215686273,1610612748,0,3,2026-01-30T01:10:46Z,70000,False,130.0,231.0,1,right,B. Adebayo 26' 3PT  (3 PTS) (N. Powell 1 AST),"[1628389, 1626181]",1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Above the Break 3,24+ Right Center,26.48,Made,3.0,N. Powell,1626181.0,1.0,,,,,,,,,,,,,,
9,PT11M17.00S,2026-01-30T01:11:07.6Z,1,REGULAR,2pt,Jump Shot,[],1630188,10.068988173455978,13.23529411764706,1610612741,2,3,2026-01-30T01:11:11Z,90000,False,184.0,42.0,1,left,J. Smith 18' Jump Shot (2 PTS),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,Mid-Range,16-24 Right,18.86,Made,2.0,,,,,,,,,,,,,,,,,
10,PT11M07.00S,2026-01-30T01:11:17.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,94.30026281208936,48.77450980392157,1610612748,2,5,2026-01-30T01:11:24Z,100000,False,-6.0,1.0,1,right,A. Wiggins driving Layup (2 PTS) (K. Jakučionis 1 AST),"[203952, 1642857]",1610612748.0,MIA,driving,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,0.62,Made,2.0,K. Jakučionis,1642857.0,1.0,,,,,,,,,,,,,,
12,PT10M58.00S,2026-01-30T01:11:30.0Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630188,6.521024967148489,49.754901960784316,1610612741,4,5,2026-01-30T01:12:10Z,120000,False,1.0,9.0,1,left,J. Smith cutting DUNK (4 PTS) (M. Buzelis 1 AST),"[1630188, 1641824]",1610612741.0,CHI,cutting,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,0.89,Made,4.0,M. Buzelis,1641824.0,1.0,,,,,,,,,,,,,,
14,PT10M50.00S,2026-01-30T01:11:37.7Z,1,REGULAR,turnover,out-of-bounds,[],203952,,,1610612748,4,5,2026-01-30T01:11:43Z,140000,False,,,0,,A. Wiggins lost ball out-of-bounds TURNOVER (1 TO),[203952],1610612748.0,MIA,lost ball,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1626301.0,1.0,,,,,,,,,,,,
15,PT10M25.00S,2026-01-30T01:12:11.4Z,1,REGULAR,turnover,bad pass,[],202696,,,1610612741,4,5,2026-01-30T01:12:16Z,150000,False,,,0,,N. Vučević bad pass TURNOVER (1 TO),"[202696, 1642857]",1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,Jakučionis,1642857.0,,,,,,,,,,
16,PT10M25.00S,2026-01-30T01:12:11.4Z,1,REGULAR,steal,,[],1642857,,,1610612748,4,5,2026-01-30T01:12:13Z,160000,False,,,0,,K. Jakučionis STEAL (1 STL),[1642857],1610612748.0,MIA,,,,Jakučionis,K. Jakučionis,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
17,PT10M22.00S,2026-01-30T01:12:18.9Z,1,REGULAR,turnover,out-of-bounds,[],1642857,,,1610612748,4,5,2026-01-30T01:12:24Z,170000,False,,,0,,K. Jakučionis bad pass out-of-bounds TURNOVER (1 TO),[1642857],1610612748.0,MIA,bad pass,,,Jakučionis,K. Jakučionis,,,,,Mid-Range,16-24 Left Center,,,,,,,1629178.0,1.0,,,,,,,,,,,,
18,PT10M13.00S,2026-01-30T01:12:35.5Z,1,REGULAR,turnover,bad pass,[],1629632,,,1610612741,4,5,2026-01-30T01:12:39Z,180000,False,,,0,,C. White bad pass TURNOVER (1 TO),"[1629632, 1641796]",1610612741.0,CHI,,,,White,C. White,,,,,Above the Break 3,24+ Right Center,,,,,,,,1.0,Larsson,1641796.0,,,,,,,,,,
19,PT10M13.00S,2026-01-30T01:12:35.5Z,1,REGULAR,steal,,[],1641796,,,1610612748,4,5,2026-01-30T01:12:37Z,190000,False,,,0,,P. Larsson STEAL (1 STL),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,,,,,,
20,PT10M11.00S,2026-01-30T01:12:38.1Z,1,REGULAR,foul,personal,['2freethrow'],1630188,,,1610612748,4,5,2026-01-30T01:12:50Z,200000,False,,,0,,J. Smith shooting personal FOUL (1 PF) (Larsson 2 FT),"[1630188, 1641796]",1610612741.0,CHI,shooting,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,,,,,,,1629178.0,,,,1.0,0.0,Larsson,1641796.0,,,,,,
22,PT10M11.00S,2026-01-30T01:13:11.0Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1641796,,,1610612748,4,6,2026-01-30T01:13:11Z,220000,False,,,0,,P. Larsson Free Throw 1 of 2 (1 PTS),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
23,PT10M11.00S,2026-01-30T01:13:26.3Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1641796,,,1610612748,4,7,2026-01-30T01:13:26Z,230000,False,,,0,,P. Larsson Free Throw 2 of 2 (2 PTS),[1641796],1610612748.0,MIA,,,,Larsson,P. Larsson,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
24,PT09M56.00S,2026-01-30T01:13:42.2Z,1,REGULAR,3pt,Jump Shot,[],1641824,32.802233902759525,31.127450980392158,1610612741,4,7,2026-01-30T01:13:47Z,240000,False,94.0,256.0,1,left,MISS M. Buzelis 27' step back 3PT,[1641824],1610612741.0,CHI,step back,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Right Center,27.27,Missed,,,,,,,,,,,,,,,,,,
25,PT09M53.00S,2026-01-30T01:13:45.2Z,1,REGULAR,rebound,offensive,[],202696,,,1610612741,4,7,2026-01-30T01:13:47Z,250000,False,,,0,,N. Vučević REBOUND (Off:1 Def:0),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,,,,24.0,1.0,0.0,1.0,,
26,PT09M52.00S,2026-01-30T01:13:47.0Z,1,REGULAR,turnover,lost ball,[],202696,,,1610612741,4,7,2026-01-30T01:14:03Z,260000,False,,,0,,N. Vučević lost ball TURNOVER (2 TO),"[202696, 203952]",1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,2.0,Wiggins,203952.0,,,,,,,,,,
27,PT09M52.00S,2026-01-30T01:13:47.0Z,1,REGULAR,steal,,[],203952,,,1610612748,4,7,2026-01-30T01:13:49Z,270000,False,,,0,,A. Wiggins STEAL (1 STL),[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
28,PT09M43.00S,2026-01-30T01:13:55.0Z,1,REGULAR,2pt,Hook,"['pointsinthepaint', 'fromturnover']",1628389,90.48948751642575,51.71568627450981,1610612748,4,9,2026-01-30T01:14:00Z,280000,False,9.0,37.0,1,right,B. Adebayo turnaround Hook (5 PTS) (P. Larsson 1 AST),"[1628389, 1641796]",1610612748.0,MIA,turnaround,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,3.79,Made,5.0,P. Larsson,1641796.0,1.0,,,,,,,,,,,,,,
30,PT09M30.00S,2026-01-30T01:14:08.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630188,7.046649145860711,50.0,1610612741,6,9,2026-01-30T01:14:11Z,300000,False,0.0,14.0,1,left,J. Smith cutting Layup (6 PTS) (M. Buzelis 2 AST),"[1630188, 1641824]",1610612741.0,CHI,cutting,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,1.37,Made,6.0,M. Buzelis,1641824.0,2.0,,,,,,,,,,,,,,
32,PT09M17.00S,2026-01-30T01:14:20.7Z,1,REGULAR,3pt,Jump Shot,[],1626181,64.73390275952694,50.245098039215684,1610612748,6,12,2026-01-30T01:14:24Z,320000,False,1.0,279.0,1,right,N. Powell 27' 3PT  (3 PTS) (K. Jakučionis 2 AST),"[1626181, 1642857]",1610612748.0,MIA,,,,Powell,N. Powell,,,,,Above the Break 3,24+ Center,27.9,Made,3.0,K. Jakučionis,1642857.0,2.0,,,,,,,,,,,,,,
34,PT09M05.00S,2026-01-30T01:14:33.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641824,7.440867279894875,49.26470588235294,1610612741,6,12,2026-01-30T01:14:39Z,340000,False,4.0,17.0,1,left,MISS M. Buzelis driving Layup,[1641824],1610612741.0,CHI,driving,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,1.78,Missed,,,,,,,,,,,,,,,,,,
35,PT09M02.00S,2026-01-30T01:14:36.0Z,1,REGULAR,rebound,defensive,[],1628389,,,1610612748,6,12,2026-01-30T01:14:36Z,350000,False,,,0,,B. Adebayo REBOUND (Off:0 Def:1),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,34.0,1.0,1.0,0.0,,
36,PT08M56.00S,2026-01-30T01:14:42.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628389,84.05059132720105,51.9607843137255,1610612748,6,14,2026-01-30T01:18:06Z,360000,False,10.0,97.0,1,right,B. Adebayo 9' pullup Jump Shot (7 PTS),[1628389],1610612748.0,MIA,pullup,,,Adebayo,B. Adebayo,,,,,In The Paint (Non-RA),8-16 Center,9.79,Made,7.0,,,,,,,,,,,,,,,,,
37,PT08M36.00S,2026-01-30T01:15:02.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630171,6.652431011826544,50.245098039215684,1610612741,8,14,2026-01-30T01:15:05Z,370000,False,-1.0,10.0,1,left,I. Okoro driving Layup (2 PTS) (C. White 1 AST),"[1630171, 1629632]",1610612741.0,CHI,driving,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,1.01,Made,2.0,C. White,1629632.0,1.0,,,,,,,,,,,,,,
38,PT08M23.00S,2026-01-30T01:15:15.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626181,92.9862023653088,48.77450980392157,1610612748,8,16,2026-01-30T01:15:19Z,380000,False,-6.0,13.0,1,right,N. Powell driving Layup (5 PTS) (B. Adebayo 1 AST),"[1626181, 1628389]",1610612748.0,MIA,driving,,,Powell,N. Powell,,,,,Restricted Area,0-8 Center,1.47,Made,5.0,B. Adebayo,1628389.0,1.0,,,,,,,,,,,,,,
41,PT08M02.00S,2026-01-30T01:15:36.2Z,1,REGULAR,3pt,Jump Shot,[],1629632,31.750985545335087,61.51960784313726,1610612741,8,16,2026-01-30T01:15:40Z,400000,False,-58.0,246.0,1,left,MISS C. White 25' pullup 3PT,[1629632],1610612741.0,CHI,pullup,,,White,C. White,,,,,Above the Break 3,24+ Center,25.27,Missed,,,,,,,,,,,,,,,,,,
42,PT08M00.00S,2026-01-30T01:15:38.2Z,1,REGULAR,rebound,offensive,[],1641824,,,1610612741,8,16,2026-01-30T01:15:40Z,410000,False,,,0,,M. Buzelis REBOUND (Off:1 Def:0),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,41.0,1.0,0.0,1.0,,
43,PT07M58.00S,2026-01-30T01:15:43.9Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', '2ndchance']",1641824,5.206964520367937,57.35294117647059,1610612741,8,16,2026-01-30T01:21:37Z,420000,False,-37.0,-4.0,1,left,MISS M. Buzelis driving floating Shot,[1641824],1610612741.0,CHI,driving floating,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,3.7,Missed,,,,,,,,,,,,,,,,,,
44,PT07M55.00S,2026-01-30T01:15:46.9Z,1,REGULAR,rebound,offensive,[],1630171,,,1610612741,8,16,2026-01-30T01:21:37Z,430000,False,,,0,,I. Okoro REBOUND (Off:1 Def:0),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,43.0,1.0,0.0,1.0,,
45,PT07M53.00S,2026-01-30T01:15:49.8Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630171,8.09789750328515,4.901960784313726,1610612741,11,16,2026-01-30T01:21:53Z,440000,False,225.0,24.0,1,left,I. Okoro 3PT  (5 PTS),[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Right Corner 3,24+ Right,22.67,Made,5.0,,,,,,,,,,,,,,,,,
46,PT07M41.00S,2026-01-30T01:15:57.3Z,1,REGULAR,3pt,Jump Shot,[],203952,69.99014454664915,17.15686274509804,1610612748,11,16,2026-01-30T01:16:02Z,450000,False,-164.0,230.0,1,right,MISS A. Wiggins 28' 3PT,[203952],1610612748.0,MIA,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,28.23,Missed,,,,,,,,,,,,,,,,,,
