actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-04-05T19:40:22.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-04-05T19:40:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-04-05T19:40:24.2Z,1,REGULAR,jumpball,recovered,[],1630224,,,1610612756,0,0,2026-04-05T19:40:24Z,40000,False,,,0,,Jump Ball M. Williams vs. G. Yabusele: Tip to J. Green,"[1630224, 1631109, 1627824]",1610612756.0,PHX,startperiod,J. Green,1630224.0,Green,J. Green,Williams,1631109.0,Yabusele,1627824.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2026-04-05T19:40:38.5Z,1,REGULAR,turnover,lost ball,[],1630224,,,1610612756,0,0,2026-04-05T19:40:49Z,70000,False,,,0,,J. Green lost ball TURNOVER (1 TO),"[1630224, 1630200]",1610612756.0,PHX,,,,Green,J. Green,,,,,Mid-Range,16-24 Center,1.0,Jones,1630200.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2026-04-05T19:40:38.5Z,1,REGULAR,steal,,[],1630200,,,1610612741,0,0,2026-04-05T19:40:40Z,80000,False,,,0,,T. Jones STEAL (1 STL),[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,Mid-Range,16-24 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M26.00S,2026-04-05T19:40:56.5Z,1,REGULAR,turnover,out-of-bounds,[],1630171,,,1610612741,0,0,2026-04-05T19:41:08Z,90000,False,,,0,,I. Okoro bad pass out-of-bounds TURNOVER (1 TO),[1630171],1610612741.0,CHI,bad pass,,,Okoro,I. Okoro,,,,,Mid-Range,8-16 Center,1.0,,,2882.0,,,,,,,,,,,,,,,,
10,PT11M11.00S,2026-04-05T19:41:18.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628415,82.07950065703022,47.549019607843135,1610612756,0,0,2026-04-05T19:41:32Z,100000,False,-12.0,116.0,1,right,MISS D. Brooks 11' turnaround fadeaway Shot,[1628415],1610612756.0,PHX,turnaround fadeaway,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,,,,,11.67,Missed,,,,,,,,,,,,,,
11,PT11M08.00S,2026-04-05T19:41:21.6Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612741,0,0,2026-04-05T19:41:32Z,110000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:1),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M05.00S,2026-04-05T19:41:24.7Z,1,REGULAR,turnover,out-of-bounds,[],1627824,,,1610612741,0,0,2026-04-05T19:41:39Z,120000,False,,,0,,G. Yabusele bad pass out-of-bounds TURNOVER (1 TO),[1627824],1610612741.0,CHI,bad pass,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Left Center,1.0,,,2882.0,,,,,,,,,,,,,,,,
13,PT10M53.00S,2026-04-05T19:41:48.8Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1626164,91.40932982917214,63.23529411764706,1610612756,0,0,2026-04-05T19:41:55Z,130000,False,66.0,28.0,1,right,MISS D. Booker 7' pullup bank Shot,[1626164],1610612756.0,PHX,pullup bank,,,Booker,D. Booker,,,,,In The Paint (Non-RA),0-8 Center,,,,,7.2,Missed,,,,,,,,,,,,,,
14,PT10M50.00S,2026-04-05T19:41:51.8Z,1,REGULAR,rebound,defensive,[],1631159,,,1610612741,0,0,2026-04-05T19:41:55Z,140000,False,,,0,,L. Miller REBOUND (Off:0 Def:1),[1631159],1610612741.0,CHI,,,,Miller,L. Miller,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M44.00S,2026-04-05T19:41:57.9Z,1,REGULAR,3pt,Jump Shot,[],1630200,3.3672798948751645,96.32352941176471,1610612741,0,0,2026-04-05T19:42:02Z,150000,False,-232.0,-21.0,1,left,MISS T. Jones 3PT,[1630200],1610612741.0,CHI,,,,Jones,T. Jones,,,,,Left Corner 3,24+ Left,,,,,23.25,Missed,,,,,,,,,,,,,,
16,PT10M40.00S,2026-04-05T19:42:01.9Z,1,REGULAR,rebound,defensive,[],1630692,,,1610612756,0,0,2026-04-05T19:42:02Z,160000,False,,,0,,J. Goodwin REBOUND (Off:0 Def:1),[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Left Corner 3,24+ Left,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M34.00S,2026-04-05T19:42:06.9Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint']",1631109,93.64323258869908,53.18627450980392,1610612756,0,0,2026-04-05T19:43:12Z,170000,False,16.0,7.0,1,right,MISS M. Williams running alley-oop Layup,[1631109],1610612756.0,PHX,running alley-oop,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,1.75,Missed,,,,,,,,,,,,,,
18,PT10M32.00S,2026-04-05T19:42:08.9Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612756,0,0,2026-04-05T19:46:44Z,180000,False,,,0,,M. Williams REBOUND (Off:1 Def:0),[1631109],1610612756.0,PHX,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,,,17.0,1.0,0.0,1.0,,,,,,,,,,
50,PT10M32.00S,2026-04-05T19:42:12.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1631109,93.11760840998686,48.03921568627451,1610612756,0,0,2026-04-05T19:46:59Z,185000,False,-10.0,12.0,1,right,MISS M. Williams tip Layup,[1631109],1610612756.0,PHX,tip,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,,,1.56,Missed,,,,,,,,,,,,,,
51,PT10M32.00S,2026-04-05T19:42:12.3Z,1,REGULAR,rebound,defensive,[],1629012,,,1610612741,0,0,2026-04-05T19:46:59Z,187500,False,,,0,,C. Sexton REBOUND (Off:0 Def:1),[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,Restricted Area,0-8 Center,,,,,,,50.0,1.0,1.0,0.0,,,,,,,,,,
19,PT10M24.00S,2026-04-05T19:42:17.7Z,1,REGULAR,3pt,Jump Shot,[],1630171,25.57490144546649,82.35294117647058,1610612741,0,0,2026-04-05T19:42:23Z,190000,False,-162.0,188.0,1,left,MISS I. Okoro 24' 3PT,[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Above the Break 3,24+ Left Center,,,,,24.8,Missed,,,,,,,,,,,,,,
20,PT10M24.00S,2026-04-05T19:42:17.7Z,1,REGULAR,rebound,defensive,[],1630692,,,1610612756,0,0,2026-04-05T19:42:23Z,200000,False,,,0,,J. Goodwin REBOUND (Off:0 Def:2),[1630692],1610612756.0,PHX,,,,Goodwin,J. Goodwin,,,,,Above the Break 3,24+ Left Center,,,,,,,19.0,2.0,2.0,0.0,,,,,,,,,,
21,PT10M11.00S,2026-04-05T19:42:34.3Z,1,REGULAR,foul,offensive,[],1630224,,,1610612756,0,0,2026-04-05T19:42:47Z,210000,False,,,0,,J. Green charge offensive FOUL (1 PF),"[1630224, 1630171]",1610612756.0,PHX,charge,,,Green,J. Green,,,,,Restricted Area,0-8 Center,,,,101283.0,,,,,,,1.0,0.0,Okoro,1630171.0,,,,,,
23,PT10M11.00S,2026-04-05T19:42:34.3Z,1,REGULAR,turnover,offensive foul,[],1630224,,,1610612756,0,0,2026-04-05T19:42:34Z,230000,False,,,0,,J. Green offensive foul TURNOVER (2 TO),[1630224],1610612756.0,PHX,,,,Green,J. Green,,,,,Restricted Area,0-8 Center,2.0,,,101283.0,,,,,,,,,,,,,,,,
24,PT09M52.00S,2026-04-05T19:43:06.5Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1629012,27.414586070959263,75.98039215686273,1610612741,0,0,2026-04-05T19:43:11Z,240000,False,-130.0,205.0,1,left,MISS C. Sexton 24' 3PT,[1629012],1610612741.0,CHI,,,,Sexton,C. Sexton,,,,,Above the Break 3,24+ Left Center,,,,,24.29,Missed,,,,,,,,,,,,,,
25,PT09M49.00S,2026-04-05T19:43:09.5Z,1,REGULAR,rebound,defensive,[],1628415,,,1610612756,0,0,2026-04-05T19:43:11Z,250000,False,,,0,,D. Brooks REBOUND (Off:0 Def:1),[1628415],1610612756.0,PHX,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Left Center,,,,,,,24.0,1.0,1.0,0.0,,,,,,,,,,
26,PT09M38.00S,2026-04-05T19:43:20.5Z,1,REGULAR,2pt,Jump Shot,[],1626164,80.3712220762155,24.509803921568626,1610612756,0,2,2026-04-05T19:43:27Z,260000,False,-127.0,132.0,1,right,D. Booker 18' step back Jump Shot (2 PTS) (D. Brooks 1 AST),"[1626164, 1628415]",1610612756.0,PHX,step back,,,Booker,D. Booker,,,,,Mid-Range,16-24 Left Center,,,,,18.35,Made,,,,,,,,,2.0,D. Brooks,1628415.0,1.0,,
28,PT09M25.00S,2026-04-05T19:43:35.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'defensivegoaltending']",1630200,5.601182654402102,56.372549019607845,1610612741,2,2,2026-04-05T19:43:52Z,280000,False,-32.0,0.0,1,left,T. Jones driving Layup (2 PTS),[1630200],1610612741.0,CHI,driving,,,Jones,T. Jones,,,,,Restricted Area,0-8 Center,,,,,3.19,Made,,,,,,,,,2.0,,,,,
29,PT09M25.00S,2026-04-05T19:43:42.3Z,1,REGULAR,violation,defensive goaltending,[],1630224,,,1610612741,2,2,2026-04-05T19:43:52Z,290000,False,,,0,,J. Green defensive goaltending VIOLATION,[1630224],1610612756.0,PHX,,,,Green,J. Green,,,,,,,,,,101283.0,,,,,,,,,,,,,,,,
