actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,officialId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-12-04T01:10:22.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-04T01:10:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-12-04T01:10:26.2Z,1,REGULAR,jumpball,recovered,[],1641824,,,1610612741,0,0,2025-12-04T01:10:26Z,40000,False,,,0,,Jump Ball N. Vučević vs. N. Claxton: Tip to M. Buzelis,"[1641824, 202696, 1629651]",1610612741.0,CHI,startperiod,M. Buzelis,1641824.0,Buzelis,M. Buzelis,Vučević,202696.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-12-04T01:10:37.5Z,1,REGULAR,3pt,Jump Shot,[],1641763,28.86005256241787,19.11764705882353,1610612741,0,0,2025-12-04T01:10:42Z,70000,False,154.0,219.0,1,left,MISS J. Phillips 26' 3PT,[1641763],1610612741.0,CHI,,,,Phillips,J. Phillips,,,,,Above the Break 3,24+ Right Center,26.78,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-12-04T01:10:40.5Z,1,REGULAR,rebound,defensive,[],1631213,,,1610612751,0,0,2025-12-04T01:10:42Z,80000,False,,,0,,T. Martin REBOUND (Off:0 Def:1),[1631213],1610612751.0,BKN,,,,Martin,T. Martin,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M19.00S,2025-12-04T01:11:02.8Z,1,REGULAR,3pt,Jump Shot,[],1629008,71.82982917214193,80.14705882352942,1610612751,0,0,2025-12-04T01:11:07Z,90000,False,151.0,212.0,1,right,MISS M. Porter Jr. 26' step back 3PT,[1629008],1610612751.0,BKN,step back,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Right Center,26.03,Missed,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2025-12-04T01:11:05.8Z,1,REGULAR,rebound,defensive,[],202696,,,1610612741,0,0,2025-12-04T01:11:07Z,100000,False,,,0,,N. Vučević REBOUND (Off:0 Def:1),[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Right Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M11.00S,2025-12-04T01:11:11.0Z,1,REGULAR,turnover,bad pass,[],1630581,,,1610612741,0,0,2025-12-04T01:11:16Z,110000,False,,,0,,J. Giddey bad pass TURNOVER (1 TO),"[1630581, 1642856]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Dëmin,1642856.0,,,,,,,,,,,
12,PT11M11.00S,2025-12-04T01:11:11.0Z,1,REGULAR,steal,,[],1642856,,,1610612751,0,0,2025-12-04T01:11:12Z,120000,False,,,0,,E. Dëmin STEAL (1 STL),[1642856],1610612751.0,BKN,,,,Dëmin,E. Dëmin,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
13,PT11M08.00S,2025-12-04T01:11:17.7Z,1,REGULAR,2pt,Layup,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1629008,92.9862023653088,51.71568627450981,1610612751,0,0,2025-12-04T01:13:18Z,130000,False,9.0,13.0,1,right,MISS M. Porter Jr. running Layup,[1629008],1610612751.0,BKN,running,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,1.59,Missed,,,,,,,,,,,,,,,,,,
14,PT11M07.00S,2025-12-04T01:11:18.7Z,1,REGULAR,rebound,offensive,[],1629008,,,1610612751,0,0,2025-12-04T01:13:18Z,140000,False,,,0,,M. Porter Jr. REBOUND (Off:1 Def:0),[1629008],1610612751.0,BKN,,,,Porter Jr.,M. Porter Jr.,,,,,Restricted Area,0-8 Center,,,13.0,1.0,0.0,1.0,,,,,,,,,,,,,,
