actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,pointsTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-23T01:12:20.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-23T01:12:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-02-23T01:12:23.1Z,1,REGULAR,jumpball,recovered,[],1627824,,,1610612741,0,0,2026-02-23T01:12:23Z,40000,False,,,0,,Jump Ball J. Smith vs. K. Towns: Tip to G. Yabusele,"[1627824, 1630188, 1626157]",1610612741.0,CHI,startperiod,G. Yabusele,1627824.0,Yabusele,G. Yabusele,Smith,1630188.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-02-23T01:12:42.0Z,1,REGULAR,turnover,out-of-bounds,[],1641824,,,1610612741,0,0,2026-02-23T01:12:50Z,70000,False,,,0,,M. Buzelis bad pass out-of-bounds TURNOVER (1 TO),[1641824],1610612741.0,CHI,bad pass,,,Buzelis,M. Buzelis,,,,,Mid-Range,16-24 Left,2530.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2026-02-23T01:13:02.8Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628384,76.03482260183968,47.30392156862745,1610612752,0,2,2026-02-23T01:13:11Z,80000,False,-13.0,173.0,1,right,O. Anunoby 17' Jump Shot (2 PTS),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Mid-Range,16-24 Center,,,17.33,Made,2.0,,,,,,,,,,,,,,,
10,PT11M11.00S,2026-02-23T01:13:17.4Z,1,REGULAR,foul,offensive,[],1630581,,,1610612741,0,2,2026-02-23T01:13:24Z,100000,False,,,0,,J. Giddey charge offensive FOUL (1 PF),"[1630581, 1628973]",1610612741.0,CHI,charge,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,1628953.0,,,,,1.0,0.0,Brunson,1628973.0,,,,,,,,,,,
12,PT11M11.00S,2026-02-23T01:13:17.4Z,1,REGULAR,turnover,offensive foul,[],1630581,,,1610612741,0,2,2026-02-23T01:13:17Z,120000,False,,,0,,J. Giddey offensive foul TURNOVER (1 TO),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),0-8 Center,1628953.0,1.0,,,,,,,,,,,,,,,,,,
13,PT10M56.00S,2026-02-23T01:13:43.2Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628969,95.79500657030223,96.34650735294117,1610612752,0,2,2026-02-23T01:13:53Z,130000,False,232.0,-13.0,1,right,MISS M. Bridges 3PT,[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Right Corner 3,24+ Right,,,23.21,Missed,,,,,,,,,,,,,,,,
14,PT10M52.00S,2026-02-23T01:13:47.2Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612741,0,2,2026-02-23T01:13:53Z,140000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:1),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Right Corner 3,24+ Right,,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,
15,PT10M45.00S,2026-02-23T01:13:54.3Z,1,REGULAR,3pt,Jump Shot,[],1627824,20.18725361366623,91.66666666666666,1610612741,0,2,2026-02-23T01:14:08Z,150000,False,-208.0,137.0,1,left,MISS G. Yabusele 24' 3PT,[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Left Center,,,24.95,Missed,,,,,,,,,,,,,,,,
16,PT10M45.00S,2026-02-23T01:13:54.3Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612752,0,2,2026-02-23T01:14:08Z,160000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612752.0,NYK,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,
