actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-11-05T01:10:12.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-11-05T01:10:12Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-11-05T01:10:15.7Z,1,REGULAR,jumpball,recovered,[],1642845,,,1610612755,0,0,2025-11-05T01:10:15Z,40000,False,,,0,,Jump Ball J. Embiid vs. N. Vučević: Tip to V. Edgecombe,"[1642845, 203954, 202696]",1610612755.0,PHI,startperiod,V. Edgecombe,1642845.0,Edgecombe,V. Edgecombe,Embiid,203954.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-11-05T01:10:29.9Z,1,REGULAR,foul,personal,['2freethrow'],202696,,,1610612755,0,0,2025-11-05T01:10:36Z,70000,False,,,0,,N. Vučević shooting personal FOUL (1 PF) (Embiid 2 FT),"[202696, 203954]",1610612741.0,CHI,shooting,,,Vučević,N. Vučević,,,,,In The Paint (Non-RA),8-16 Center,1627524.0,1.0,0.0,Embiid,203954.0,,,,,,,,,,,,,,,
9,PT11M44.00S,2025-11-05T01:11:00.0Z,1,REGULAR,freethrow,1 of 2,[],203954,,,1610612755,0,1,2025-11-05T01:11:00Z,90000,False,,,0,,J. Embiid Free Throw 1 of 2 (1 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M44.00S,2025-11-05T01:11:21.9Z,1,REGULAR,freethrow,2 of 2,[],203954,,,1610612755,0,2,2025-11-05T01:11:21Z,100000,False,,,0,,J. Embiid Free Throw 2 of 2 (2 PTS),[203954],1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M31.00S,2025-11-05T01:11:36.7Z,1,REGULAR,turnover,bad pass,[],202696,,,1610612741,0,2,2025-11-05T01:11:40Z,110000,False,,,0,,N. Vučević bad pass TURNOVER (1 TO),"[202696, 1626162]",1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Center,,,,,,,,1.0,Oubre Jr.,1626162.0,,,,,,,,,,
12,PT11M31.00S,2025-11-05T01:11:36.7Z,1,REGULAR,steal,,[],1626162,,,1610612755,0,2,2025-11-05T01:11:38Z,120000,False,,,0,,K. Oubre Jr. STEAL (1 STL),[1626162],1610612755.0,PHI,,,,Oubre Jr.,K. Oubre Jr.,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
13,PT11M28.00S,2025-11-05T01:11:40.1Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1626162,94.30026281208936,52.20588235294118,1610612755,0,4,2025-11-05T01:11:46Z,130000,False,11.0,1.0,1,right,K. Oubre Jr. running DUNK (2 PTS),[1626162],1610612755.0,PHI,running,,,Oubre Jr.,K. Oubre Jr.,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,1.11,,,,,,,,,
14,PT11M08.00S,2025-11-05T01:11:59.3Z,1,REGULAR,3pt,Jump Shot,[],202696,29.25427069645204,77.45098039215686,1610612741,0,4,2025-11-05T01:12:06Z,140000,False,-137.0,222.0,1,left,MISS N. Vučević 26' 3PT,[202696],1610612741.0,CHI,,,,Vučević,N. Vučević,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,26.15,,,,,,,,,
15,PT11M06.00S,2025-11-05T01:12:01.3Z,1,REGULAR,rebound,offensive,[],1630581,,,1610612741,0,4,2025-11-05T01:12:06Z,150000,False,,,0,,J. Giddey REBOUND (Off:1 Def:0),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,14.0,1.0,0.0,1.0,,,,,
