actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-12-28T01:10:20.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-12-28T01:10:20Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-12-28T01:10:23.3Z,1,REGULAR,jumpball,recovered,[],1630171,,,1610612741,0,0,2025-12-28T01:10:23Z,40000,False,,,0,,Jump Ball N. Vučević vs. M. Turner: Tip to I. Okoro,"[1630171, 202696, 1626167]",1610612741.0,CHI,startperiod,I. Okoro,1630171.0,Okoro,I. Okoro,Vučević,202696.0,Turner,1626167.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M35.00S,2025-12-28T01:10:44.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641824,6.521024967148489,52.69607843137255,1610612741,0,0,2025-12-28T01:10:50Z,70000,False,-13.0,9.0,1,left,MISS M. Buzelis driving Layup - blocked,"[1641824, 203507]",1610612741.0,CHI,driving,,,Buzelis,M. Buzelis,,,,,Restricted Area,0-8 Center,1.61,Missed,Antetokounmpo,203507.0,,,,,,,,,,,,,,,,
8,PT11M35.00S,2025-12-28T01:10:44.2Z,1,REGULAR,block,,[],203507,,,1610612741,0,0,2025-12-28T01:10:46Z,80000,False,,,0,,G. Antetokounmpo BLOCK (1 BLK),[203507],1610612749.0,MIL,,,,Antetokounmpo,G. Antetokounmpo,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2025-12-28T01:10:45.2Z,1,REGULAR,rebound,defensive,[],1631260,,,1610612749,0,0,2025-12-28T01:11:29Z,90000,False,,,0,,A. Green REBOUND (Off:0 Def:1),[1631260],1610612749.0,MIL,,,,Green,A. Green,,,,,Restricted Area,0-8 Center,,,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M31.00S,2025-12-28T01:10:49.3Z,1,REGULAR,turnover,bad pass,[],1629645,,,1610612749,0,0,2025-12-28T01:10:54Z,100000,False,,,0,,K. Porter Jr. bad pass TURNOVER (1 TO),"[1629645, 1641824]",1610612749.0,MIL,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Left Center,,,,,,,,,1.0,Buzelis,1641824.0,,,,,,,,,
11,PT11M31.00S,2025-12-28T01:10:49.3Z,1,REGULAR,steal,,[],1641824,,,1610612741,0,0,2025-12-28T01:12:21Z,110000,False,,,0,,M. Buzelis STEAL (1 STL),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
12,PT11M26.00S,2025-12-28T01:10:55.2Z,1,REGULAR,3pt,Jump Shot,"['fastbreak', 'fromturnover']",1629632,13.485545335085414,94.36274509803921,1610612741,3,0,2025-12-28T01:11:10Z,120000,False,-222.0,74.0,1,left,C. White 3PT running (3 PTS) (J. Giddey 1 AST),"[1629632, 1630581]",1610612741.0,CHI,running,,,White,C. White,,,,,Left Corner 3,24+ Left,23.39,Made,,,,,,,,,,3.0,J. Giddey,1630581.0,1.0,,,,,
14,PT11M07.00S,2025-12-28T01:11:12.0Z,1,REGULAR,3pt,Jump Shot,[],1626167,73.40670170827858,81.61764705882352,1610612749,3,0,2025-12-28T01:11:17Z,140000,False,158.0,197.0,1,right,MISS M. Turner 25' 3PT,[1626167],1610612749.0,MIL,,,,Turner,M. Turner,,,,,Above the Break 3,24+ Right Center,25.3,Missed,,,,,,,,,,,,,,,,,,
15,PT11M06.00S,2025-12-28T01:11:13.0Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612741,3,0,2025-12-28T01:11:17Z,150000,False,,,0,,TEAM defensive REBOUND,[],1610612741.0,CHI,,,,,,,,,,Above the Break 3,24+ Right Center,,,,,14.0,,,,,,,,,,,,,,,
