actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2026-02-22T01:11:04.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-22T01:11:04Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-22T01:11:07.6Z,1,REGULAR,jumpball,recovered,[],202699,,,1610612765,0,0,2026-02-22T01:11:07Z,40000,False,,,0,,Jump Ball J. Duren vs. J. Smith: Tip to T. Harris,"[202699, 1631105, 1630188]",1610612765.0,DET,startperiod,T. Harris,202699.0,Harris,T. Harris,Duren,1631105.0,Smith,1630188.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2026-02-22T01:11:20.4Z,1,REGULAR,foul,personal,['2freethrow'],1630188,,,1610612765,0,0,2026-02-22T01:11:28Z,70000,False,,,0,,J. Smith shooting personal FOUL (1 PF) (Duren 2 FT),"[1630188, 1631105]",1610612741.0,CHI,shooting,,,Smith,J. Smith,,,,,Restricted Area,0-8 Center,202041.0,1.0,0.0,Duren,1631105.0,,,,,,,,,,,,,,,
9,PT11M45.00S,2026-02-22T01:11:53.1Z,1,REGULAR,freethrow,1 of 2,[],1631105,,,1610612765,0,1,2026-02-22T01:12:11Z,90000,False,,,0,,J. Duren Free Throw 1 of 2 (1 PTS),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M45.00S,2026-02-22T01:11:53.1Z,1,REGULAR,freethrow,2 of 2,[],1631105,,,1610612765,0,1,2026-02-22T01:12:11Z,100000,False,,,0,,MISS J. Duren Free Throw 2 of 2,[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
11,PT11M43.00S,2026-02-22T01:11:55.1Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612741,0,1,2026-02-22T01:12:11Z,110000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:1),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,
12,PT11M23.00S,2026-02-22T01:12:29.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627824,8.09789750328515,53.18627450980392,1610612741,0,1,2026-02-22T01:12:35Z,120000,False,-16.0,24.0,1,left,MISS G. Yabusele turnaround Hook,[1627824],1610612741.0,CHI,turnaround,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,2.85,,,,,,,,
13,PT11M21.00S,2026-02-22T01:12:31.5Z,1,REGULAR,rebound,defensive,[],1630595,,,1610612765,0,1,2026-02-22T01:12:35Z,130000,False,,,0,,C. Cunningham REBOUND (Off:0 Def:1),[1630595],1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Restricted Area,0-8 Center,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,,
14,PT11M17.00S,2026-02-22T01:12:35.9Z,1,REGULAR,3pt,Jump Shot,[],202699,67.23061760840999,46.81372549019608,1610612765,0,1,2026-02-22T01:12:41Z,140000,False,-16.0,256.0,1,right,MISS T. Harris 25' 3PT,[202699],1610612765.0,DET,,,,Harris,T. Harris,,,,,Above the Break 3,24+ Center,,,,,,Missed,,,,,,25.6,,,,,,,,
15,PT11M13.00S,2026-02-22T01:12:39.1Z,1,REGULAR,rebound,offensive,[],1631105,,,1610612765,0,1,2026-02-22T01:12:39Z,150000,False,,,0,,J. Duren REBOUND (Off:1 Def:0),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,Above the Break 3,24+ Center,,,,,,,,14.0,1.0,0.0,1.0,,,,,,,,,
16,PT11M11.00S,2026-02-22T01:12:40.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1631105,93.77463863337714,49.754901960784316,1610612765,0,3,2026-02-22T01:12:48Z,160000,False,-1.0,6.0,1,right,J. Duren reverse DUNK (3 PTS),[1631105],1610612765.0,DET,reverse,,,Duren,J. Duren,,,,,Restricted Area,0-8 Center,,,,,,Made,3.0,,,,,0.61,,,,,,,,
17,PT10M56.00S,2026-02-22T01:12:56.2Z,1,REGULAR,3pt,Jump Shot,[],1630581,28.86005256241787,19.11764705882353,1610612741,3,3,2026-02-22T01:12:59Z,170000,False,154.0,219.0,1,left,J. Giddey 26' 3PT  (3 PTS) (M. Buzelis 1 AST),"[1630581, 1641824]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Right Center,,,,,,Made,3.0,,,,,26.78,M. Buzelis,1641824.0,1.0,,,,,
19,PT10M40.00S,2026-02-22T01:13:11.6Z,1,REGULAR,3pt,Jump Shot,[],1630595,67.36202365308804,30.88235294117647,1610612765,3,6,2026-02-22T01:13:44Z,190000,False,-96.0,254.0,1,right,C. Cunningham 27' 3PT pullup (3 PTS) (A. Thompson 1 AST),"[1630595, 1641709]",1610612765.0,DET,pullup,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,,,,,27.17,A. Thompson,1641709.0,1.0,,,,,
20,PT10M14.00S,2026-02-22T01:13:40.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1627824,6.783837056504599,50.0,1610612741,5,6,2026-02-22T01:13:45Z,200000,False,0.0,11.0,1,left,G. Yabusele driving Layup (2 PTS),[1627824],1610612741.0,CHI,driving,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,,,,,1.13,,,,,,,,
21,PT10M14.00S,2026-02-22T01:13:42.8Z,1,REGULAR,foul,personal,['1freethrow'],1629130,,,1610612741,5,6,2026-02-22T01:13:50Z,210000,False,,,0,,D. Robinson shooting personal FOUL (1 PF) (Yabusele 1 FT),"[1629130, 1627824]",1610612765.0,DET,shooting,,,Robinson,D. Robinson,,,,,Restricted Area,0-8 Center,202041.0,1.0,0.0,Yabusele,1627824.0,,,,,,,,,,,,,,,
24,PT10M14.00S,2026-02-22T01:14:09.8Z,1,REGULAR,freethrow,1 of 1,[],1627824,,,1610612741,5,6,2026-02-22T01:14:12Z,230000,False,,,0,,MISS G. Yabusele Free Throw 1 of 1,[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
25,PT10M11.00S,2026-02-22T01:14:12.8Z,1,REGULAR,rebound,defensive,[],1631105,,,1610612765,5,6,2026-02-22T01:14:12Z,240000,False,,,0,,J. Duren REBOUND (Off:1 Def:1),[1631105],1610612765.0,DET,,,,Duren,J. Duren,,,,,,,,,,,,,,24.0,2.0,1.0,1.0,,,,,,,,,
26,PT09M57.00S,2026-02-22T01:14:25.8Z,1,REGULAR,3pt,Jump Shot,[],1629130,69.46452036793693,29.166666666666668,1610612765,5,6,2026-02-22T01:14:48Z,250000,False,-104.0,235.0,1,right,MISS D. Robinson 25' pullup 3PT,[1629130],1610612765.0,DET,pullup,,,Robinson,D. Robinson,,,,,Above the Break 3,24+ Left Center,,,,,,Missed,,,,,,25.66,,,,,,,,
27,PT09M53.00S,2026-02-22T01:14:29.8Z,1,REGULAR,rebound,offensive,[],1641709,,,1610612765,5,6,2026-02-22T01:14:31Z,260000,False,,,0,,A. Thompson REBOUND (Off:1 Def:0),[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Above the Break 3,24+ Left Center,,,,,,,,26.0,1.0,0.0,1.0,,,,,,,,,
28,PT09M52.00S,2026-02-22T01:14:30.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1630595,68.9388961892247,34.31372549019608,1610612765,5,9,2026-02-22T01:14:36Z,270000,False,-78.0,239.0,1,right,C. Cunningham 25' 3PT  (6 PTS) (A. Thompson 2 AST),"[1630595, 1641709]",1610612765.0,DET,,,,Cunningham,C. Cunningham,,,,,Above the Break 3,24+ Center,,,,,,Made,6.0,,,,,25.2,A. Thompson,1641709.0,2.0,,,,,
30,PT09M41.00S,2026-02-22T01:14:42.1Z,1,REGULAR,3pt,Jump Shot,[],1630581,33.196452036793694,52.69607843137255,1610612741,8,9,2026-02-22T01:14:49Z,290000,False,-13.0,260.0,1,left,J. Giddey 25' 3PT  (6 PTS) (M. Buzelis 2 AST),"[1630581, 1641824]",1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,,,,,,Made,6.0,,,,,25.99,M. Buzelis,1641824.0,2.0,,,,,
32,PT09M20.00S,2026-02-22T01:15:02.7Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641709,93.64323258869908,53.67647058823529,1610612765,8,9,2026-02-22T01:15:06Z,310000,False,18.0,7.0,1,right,MISS A. Thompson driving Layup,[1641709],1610612765.0,DET,driving,,,Thompson,A. Thompson,,,,,Restricted Area,0-8 Center,,,,,,Missed,,,,,,1.98,,,,,,,,
33,PT09M18.00S,2026-02-22T01:15:04.7Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612741,8,9,2026-02-22T01:15:06Z,320000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:2),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Restricted Area,0-8 Center,,,,,,,,32.0,2.0,2.0,0.0,,,,,,,,,
34,PT09M13.00S,2026-02-22T01:15:12.0Z,1,REGULAR,foul,offensive,[],1627824,,,1610612741,8,9,2026-02-22T01:15:33Z,330000,False,,,0,,G. Yabusele off-the-ball offensive FOUL (1 PF),"[1627824, 1629130]",1610612741.0,CHI,off-the-ball,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),0-8 Center,200833.0,1.0,0.0,Robinson,1629130.0,,,,,,,,,,,,,,,
36,PT09M13.00S,2026-02-22T01:15:12.0Z,1,REGULAR,turnover,offensive foul,[],1627824,,,1610612741,8,9,2026-02-22T01:15:12Z,350000,False,,,0,,G. Yabusele offensive foul TURNOVER (1 TO),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,In The Paint (Non-RA),0-8 Center,200833.0,,,,,,,,,,,,,,,1.0,,,,
37,PT08M59.00S,2026-02-22T01:15:43.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1641709,94.82588699080158,97.54901960784314,1610612765,8,9,2026-02-22T01:15:52Z,360000,False,238.0,-4.0,1,right,MISS A. Thompson 3PT,[1641709],1610612765.0,DET,,,,Thompson,A. Thompson,,,,,Right Corner 3,24+ Right,,,,,,Missed,,,,,,23.77,,,,,,,,
38,PT08M53.00S,2026-02-22T01:15:49.8Z,1,REGULAR,rebound,defensive,[],1627824,,,1610612741,8,9,2026-02-22T01:15:52Z,370000,False,,,0,,G. Yabusele REBOUND (Off:0 Def:3),[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Right Corner 3,24+ Right,,,,,,,,37.0,3.0,3.0,0.0,,,,,,,,,
39,PT08M50.00S,2026-02-22T01:15:53.5Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1641824,28.07161629434954,76.22549019607843,1610612741,11,9,2026-02-22T01:16:09Z,380000,False,-131.0,211.0,1,left,M. Buzelis 24' 3PT running pullup (3 PTS) (G. Yabusele 1 AST),"[1641824, 1627824]",1610612741.0,CHI,running pullup,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Left Center,,,,,,Made,3.0,,,,,24.88,G. Yabusele,1627824.0,1.0,,,,,
41,PT08M49.00S,2026-02-22T01:15:58.8Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612765,11,9,2026-02-22T01:15:58Z,400000,False,,,0,,DET Timeout,[],1610612765.0,DET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PT08M34.00S,2026-02-22T01:19:12.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630595,82.3915900131406,45.5844056372549,1610612765,11,9,2026-02-22T01:19:39Z,410000,False,-22.0,113.0,1,right,MISS C. Cunningham 11' turnaround fadeaway Shot,[1630595],1610612765.0,DET,turnaround fadeaway,,,Cunningham,C. Cunningham,,,,,In The Paint (Non-RA),8-16 Center,,,,,,Missed,,,,,,11.51,,,,,,,,
44,PT08M32.00S,2026-02-22T01:19:14.4Z,1,REGULAR,rebound,defensive,[],1630581,,,1610612741,11,9,2026-02-22T01:19:39Z,430000,False,,,0,,J. Giddey REBOUND (Off:0 Def:1),[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,42.0,1.0,1.0,0.0,,,,,,,,,
45,PT08M25.00S,2026-02-22T01:19:21.5Z,1,REGULAR,foul,personal,['2freethrow'],1629130,,,1610612741,11,9,2026-02-22T01:19:39Z,440000,False,,,0,,D. Robinson shooting personal FOUL (2 PF) (Buzelis 2 FT),"[1629130, 1641824]",1610612765.0,DET,shooting,,,Robinson,D. Robinson,,,,,In The Paint (Non-RA),0-8 Center,1628172.0,2.0,0.0,Buzelis,1641824.0,,,,,,,,,,,,,,,
47,PT08M25.00S,2026-02-22T01:19:52.8Z,1,REGULAR,freethrow,1 of 2,[],1641824,,,1610612741,12,9,2026-02-22T01:20:16Z,460000,False,,,0,,M. Buzelis Free Throw 1 of 2 (4 PTS),[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,,,,,Made,4.0,,,,,,,,,,,,,
48,PT08M25.00S,2026-02-22T01:19:52.8Z,1,REGULAR,freethrow,2 of 2,[],1641824,,,1610612741,12,9,2026-02-22T01:20:16Z,470000,False,,,0,,MISS M. Buzelis Free Throw 2 of 2,[1641824],1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,,,,,,,,Missed,,,,,,,,,,,,,,
