actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2026-02-08T01:12:14.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-02-08T01:12:14Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2026-02-08T01:12:16.9Z,1,REGULAR,jumpball,recovered,[],1630171,,,1610612741,0,0,2026-02-08T01:12:16Z,40000,False,,,0,,Jump Ball M. Buzelis vs. N. Jokić: Tip to I. Okoro,"[1630171, 1641824, 203999]",1610612741.0,CHI,startperiod,I. Okoro,1630171.0,Okoro,I. Okoro,Buzelis,1641824.0,Jokić,203999.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2026-02-08T01:12:29.0Z,1,REGULAR,3pt,Jump Shot,[],1627824,70.38436268068331,22.54901960784314,1610612741,0,0,2026-02-08T01:12:34Z,70000,False,-137.0,226.0,1,right,MISS G. Yabusele 26' 3PT,[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Left Center,26.44,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2026-02-08T01:12:32.0Z,1,REGULAR,rebound,defensive,[],1627750,,,1610612743,0,0,2026-02-08T01:12:34Z,80000,False,,,0,,J. Murray REBOUND (Off:0 Def:1),[1627750],1610612743.0,DEN,,,,Murray,J. Murray,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M30.00S,2026-02-08T01:12:43.7Z,1,REGULAR,3pt,Jump Shot,[],1629661,6.652431011826544,3.9215686274509802,1610612743,0,3,2026-02-08T01:12:48Z,90000,False,230.0,10.0,1,left,C. Johnson 3PT  (3 PTS) (J. Murray 1 AST),"[1629661, 1627750]",1610612743.0,DEN,,,,Johnson,C. Johnson,,,,,Right Corner 3,24+ Right,23.06,Made,,,,,3.0,J. Murray,1627750.0,1.0,,,,,,,,,,
11,PT11M19.00S,2026-02-08T01:12:53.6Z,1,REGULAR,3pt,Jump Shot,[],1627824,69.99014454664915,71.07843137254902,1610612741,3,3,2026-02-08T01:12:58Z,110000,False,105.0,230.0,1,right,G. Yabusele 25' 3PT  (3 PTS) (M. Buzelis 1 AST),"[1627824, 1641824]",1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Right Center,25.26,Made,,,,,3.0,M. Buzelis,1641824.0,1.0,,,,,,,,,,
13,PT10M55.00S,2026-02-08T01:13:17.6Z,1,REGULAR,3pt,Jump Shot,[],1631124,7.046649145860711,4.166666666666666,1610612743,3,6,2026-02-08T01:13:21Z,130000,False,229.0,14.0,1,left,J. Strawther 3PT  (3 PTS) (N. Jokić 1 AST),"[1631124, 203999]",1610612743.0,DEN,,,,Strawther,J. Strawther,,,,,Right Corner 3,24+ Right,22.96,Made,,,,,3.0,N. Jokić,203999.0,1.0,,,,,,,,,,
15,PT10M46.00S,2026-02-08T01:13:27.4Z,1,REGULAR,3pt,Jump Shot,[],1641824,71.17279894875165,18.627450980392158,1610612741,6,6,2026-02-08T01:13:31Z,150000,False,-157.0,218.0,1,right,M. Buzelis 26' 3PT  (3 PTS) (J. Ivey 1 AST),"[1641824, 1631093]",1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Above the Break 3,24+ Left Center,26.9,Made,,,,,3.0,J. Ivey,1631093.0,1.0,,,,,,,,,,
17,PT10M25.00S,2026-02-08T01:13:48.0Z,1,REGULAR,2pt,Jump Shot,[],203999,21.23850197109067,41.66666666666667,1610612743,6,8,2026-02-08T01:13:52Z,170000,False,42.0,147.0,1,left,N. Jokić 15' Jump Shot (2 PTS) (C. Braun 1 AST),"[203999, 1631128]",1610612743.0,DEN,,,,Jokić,N. Jokić,,,,,Mid-Range,8-16 Center,15.29,Made,,,,,2.0,C. Braun,1631128.0,1.0,,,,,,,,,,
20,PT09M58.00S,2026-02-08T01:14:29.8Z,1,REGULAR,3pt,Jump Shot,[],1627824,77.87450722733246,9.558823529411764,1610612741,6,8,2026-02-08T01:14:36Z,200000,False,-202.0,155.0,1,right,MISS G. Yabusele 25' 3PT,[1627824],1610612741.0,CHI,,,,Yabusele,G. Yabusele,,,,,Above the Break 3,24+ Left Center,25.51,Missed,,,,,,,,,,,,,,,,,,
