actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2026-01-25T01:10:32.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2026-01-25T01:10:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2026-01-25T01:10:34.9Z,1,REGULAR,jumpball,recovered,[],1630188,,,1610612741,0,0,2026-01-25T01:10:34Z,40000,False,,,0,,Jump Ball N. Vučević vs. A. Williams: Tip to J. Smith,"[1630188, 202696, 1642873]",1610612741.0,CHI,startperiod,J. Smith,1630188.0,Smith,J. Smith,Vučević,202696.0,Williams,1642873.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2026-01-25T01:10:53.0Z,1,REGULAR,3pt,Jump Shot,[],1630171,11.251642575558476,3.1862745098039214,1610612741,0,0,2026-01-25T01:10:57Z,70000,False,234.0,53.0,1,left,MISS I. Okoro 24' 3PT,[1630171],1610612741.0,CHI,,,,Okoro,I. Okoro,,,,,Right Corner 3,24+ Right,24.01,Missed,,,,,,,,,,,,,,,,,,
8,PT11M35.00S,2026-01-25T01:10:57.0Z,1,REGULAR,rebound,defensive,[],1628401,,,1610612738,0,0,2026-01-25T01:10:57Z,80000,False,,,0,,D. White REBOUND (Off:0 Def:1),[1628401],1610612738.0,BOS,,,,White,D. White,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2026-01-25T01:11:06.4Z,1,REGULAR,3pt,Jump Shot,[],1627759,75.77201051248358,10.784313725490197,1610612738,0,3,2026-01-25T01:11:10Z,90000,False,-196.0,175.0,1,right,J. Brown 26' 3PT  (3 PTS) (P. Pritchard 1 AST),"[1627759, 1630202]",1610612738.0,BOS,,,,Brown,J. Brown,,,,,Above the Break 3,24+ Left Center,26.3,Made,,,,,3.0,P. Pritchard,1630202.0,1.0,,,,,,,,,,
11,PT11M14.00S,2026-01-25T01:11:16.3Z,1,REGULAR,3pt,Jump Shot,[],1641824,5.206964520367937,97.54901960784314,1610612741,3,3,2026-01-25T01:11:19Z,110000,False,-238.0,-4.0,1,left,M. Buzelis 3PT  (3 PTS) (C. White 1 AST),"[1641824, 1629632]",1610612741.0,CHI,,,,Buzelis,M. Buzelis,,,,,Left Corner 3,24+ Left,23.77,Made,,,,,3.0,C. White,1629632.0,1.0,,,,,,,,,,
13,PT11M04.00S,2026-01-25T01:11:27.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628401,87.99277266754271,49.01960784313725,1610612738,3,3,2026-01-25T01:11:31Z,130000,False,-5.0,60.0,1,right,MISS D. White 6' driving floating Shot,[1628401],1610612738.0,BOS,driving floating,,,White,D. White,,,,,In The Paint (Non-RA),0-8 Center,6.06,Missed,,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2026-01-25T01:11:29.8Z,1,REGULAR,rebound,defensive,[],1630188,,,1610612741,3,3,2026-01-25T01:11:29Z,140000,False,,,0,,J. Smith REBOUND (Off:0 Def:1),[1630188],1610612741.0,CHI,,,,Smith,J. Smith,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT10M57.00S,2026-01-25T01:11:33.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629632,28.33442838370565,81.12745098039215,1610612741,6,3,2026-01-25T01:11:39Z,150000,False,-156.0,214.0,1,left,C. White 26' 3PT running pullup (3 PTS) (M. Buzelis 1 AST),"[1629632, 1641824]",1610612741.0,CHI,running pullup,,,White,C. White,,,,,Above the Break 3,24+ Left Center,26.44,Made,,,,,3.0,M. Buzelis,1641824.0,1.0,,,,,,,,,,
17,PT10M46.00S,2026-01-25T01:11:44.8Z,1,REGULAR,3pt,Jump Shot,[],1630573,67.88764783180025,49.01960784313725,1610612738,6,6,2026-01-25T01:11:48Z,170000,False,-5.0,249.0,1,right,S. Hauser 24' 3PT  (3 PTS) (P. Pritchard 2 AST),"[1630573, 1630202]",1610612738.0,BOS,,,,Hauser,S. Hauser,,,,,Above the Break 3,24+ Center,24.94,Made,,,,,3.0,P. Pritchard,1630202.0,2.0,,,,,,,,,,
