actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
315,PT04M52.00S,2025-01-10T01:59:31.8Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630224,10.068988173455978,39.21568627450981,1610612745,46,61,2025-01-10T04:43:15Z,3140000,False,54.0,42.0,1,left,MISS J. Green 6' driving Layup,[1630224],1610612745.0,HOU,driving,,,Green,J. Green,,,,,In The Paint (Non-RA),0-8 Center,,,,,,Missed,,6.84,,,,,,,,,,,,
316,PT04M50.00S,2025-01-10T01:59:33.8Z,2,REGULAR,rebound,defensive,[],1630217,,,1610612763,46,61,2025-01-10T02:18:00Z,3150000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,315.0,1.0,1.0,0.0,,,,,
317,PT04M49.00S,2025-01-10T01:59:46.6Z,2,REGULAR,foul,personal,[],1628415,,,1610612763,46,61,2025-01-10T02:18:36Z,3160000,False,,,0,,D. Brooks personal FOUL (1 PF),"[1628415, 1630583]",1610612745.0,HOU,,,,Brooks,D. Brooks,,,,,Above the Break 3,24+ Right Center,202058.0,1.0,1.0,Aldama,1630583.0,,,,,,,,,,,,,,,
319,PT04M49.00S,2025-01-10T01:59:53.1Z,2,REGULAR,substitution,out,[],1642377,,,1610612763,46,61,2025-01-10T01:59:59Z,3180000,False,,,0,,SUB out: J. Wells,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,,,,,,,,,,,,,,,,,,,,,,
320,PT04M49.00S,2025-01-10T01:59:53.1Z,2,REGULAR,substitution,out,[],1628988,,,1610612763,46,61,2025-01-10T01:59:59Z,3190000,False,,,0,,SUB out: A. Holiday,[1628988],1610612745.0,HOU,,,,Holiday,A. Holiday,,,,,,,,,,,,,,,,,,,,,,,,,,
321,PT04M49.00S,2025-01-10T01:59:53.1Z,2,REGULAR,substitution,in,[],1628379,,,1610612763,46,61,2025-01-10T01:59:59Z,3200000,False,,,0,,SUB in: L. Kennard,[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
322,PT04M49.00S,2025-01-10T01:59:53.1Z,2,REGULAR,substitution,in,[],1627832,,,1610612763,46,61,2025-01-10T01:59:59Z,3210000,False,,,0,,SUB in: F. VanVleet,[1627832],1610612745.0,HOU,,,,VanVleet,F. VanVleet,,,,,,,,,,,,,,,,,,,,,,,,,,
323,PT04M39.00S,2025-01-10T02:00:15.9Z,2,REGULAR,2pt,Layup,['pointsinthepaint'],1630643,90.09526938239159,50.73529411764706,1610612763,48,61,2025-01-10T02:00:20Z,3220000,False,4.0,41.0,1,right,J. Huff driving finger roll Layup (4 PTS) (L. Kennard 2 AST),"[1630643, 1628379]",1610612763.0,MEM,driving finger roll,,,Huff,J. Huff,,,,,Restricted Area,0-8 Center,,,,,,Made,4.0,4.08,L. Kennard,1628379.0,2.0,,,,,,,,,
325,PT04M34.00S,2025-01-10T02:00:24.7Z,2,REGULAR,violation,kicked ball,[],1630643,,,1610612745,48,61,2025-01-10T02:00:29Z,3240000,False,,,0,,J. Huff kicked ball VIOLATION,[1630643],1610612763.0,MEM,,,,Huff,J. Huff,,,,,,,202058.0,,,,,,,,,,,,,,,,,,,
326,PT04M34.00S,2025-01-10T02:00:46.0Z,2,REGULAR,foul,personal,['1freethrow'],1630643,,,1610612745,48,61,2025-01-10T02:01:03Z,3250000,False,,,0,,J. Huff away-from-play personal FOUL (2 PF) (Sengun 1 FT),"[1630643, 1630578]",1610612763.0,MEM,away-from-play,,,Huff,J. Huff,,,,,Mid-Range,8-16 Right,202058.0,2.0,0.0,Sengun,1630578.0,,,,,,,,,,,,,,,
