actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,blockPlayerName,blockPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
53,PT08M32.00S,2024-11-29T22:15:34.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,90.48948751642575,41.17647058823529,1610612763,12,7,2024-11-29T22:15:39Z,530000,False,-44.0,37.0,1,right,J. Jackson Jr. driving finger roll Layup (4 PTS) (D. Bane 1 AST),"[1628991, 1630217]",1610612763.0,MEM,driving finger roll,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,5.75,Made,4.0,D. Bane,1630217.0,1.0,,,,,,,,,,,,,,
54,PT08M16.00S,2024-11-29T22:15:49.2Z,1,REGULAR,3pt,Jump Shot,[],203468,28.728646517739815,75.98039215686273,1610612740,12,7,2024-11-29T22:15:54Z,540000,False,-130.0,218.0,1,left,MISS C. McCollum 25' pullup 3PT,[203468],1610612740.0,NOP,pullup,,,McCollum,C. McCollum,,,,,Above the Break 3,24+ Left Center,25.33,Missed,,,,,,,,,,,,,,,,,,
55,PT08M14.00S,2024-11-29T22:15:51.2Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,12,7,2024-11-29T22:15:54Z,550000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Left Center,,,,,,,54.0,1.0,1.0,0.0,,,,,,,,,,
56,PT08M09.00S,2024-11-29T22:15:56.2Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628991,68.80749014454665,76.9607843137255,1610612763,12,7,2024-11-29T22:16:03Z,560000,False,135.0,241.0,1,right,MISS J. Jackson Jr. 27' running 3PT,[1628991],1610612763.0,MEM,running,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Right Center,27.59,Missed,,,,,,,,,,,,,,,,,,
57,PT08M07.00S,2024-11-29T22:15:59.1Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612740,12,7,2024-11-29T22:15:59Z,570000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Right Center,,,,,,,56.0,1.0,1.0,0.0,,,,,,,,,,
58,PT07M53.00S,2024-11-29T22:16:13.7Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203468,18.2161629434954,43.38235294117647,1610612740,12,9,2024-11-29T22:16:20Z,580000,False,33.0,119.0,1,left,C. McCollum 12' fadeaway Jump Shot (4 PTS),[203468],1610612740.0,NOP,fadeaway,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),8-16 Center,12.32,Made,4.0,,,,,,,,,,,,,,,,,
59,PT07M32.00S,2024-11-29T22:16:33.7Z,1,REGULAR,3pt,Jump Shot,[],1642377,91.01511169513797,94.6078431372549,1610612763,15,9,2024-11-29T22:16:40Z,590000,False,223.0,32.0,1,right,J. Wells 3PT  (7 PTS) (D. Bane 2 AST),"[1642377, 1630217]",1610612763.0,MEM,,,,Wells,J. Wells,,,,,Right Corner 3,24+ Right,22.53,Made,7.0,D. Bane,1630217.0,2.0,,,,,,,,,,,,,,
62,PT07M15.00S,2024-11-29T22:16:57.2Z,1,REGULAR,substitution,out,[],1630217,,,1610612740,15,9,2024-11-29T22:17:00Z,620000,False,,,0,,SUB out: D. Bane,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PT07M15.00S,2024-11-29T22:16:57.2Z,1,REGULAR,substitution,in,[],1628379,,,1610612740,15,9,2024-11-29T22:17:00Z,630000,False,,,0,,SUB in: L. Kennard,[1628379],1610612763.0,MEM,,,,Kennard,L. Kennard,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PT07M06.00S,2024-11-29T22:17:38.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627749,17.821944809461236,61.51960784313726,1610612740,15,11,2024-11-29T22:17:42Z,650000,False,-58.0,115.0,1,left,D. Murray 12' Jump Shot (5 PTS),[1627749],1610612740.0,NOP,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,12.86,Made,5.0,,,,,,,,,,,,,,,,,
