actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-01-25T01:10:50.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-25T01:10:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-25T01:10:52.7Z,1,REGULAR,jumpball,recovered,[],1628379,,,1610612763,0,0,2025-01-25T01:10:52Z,40000,False,,,0,,Jump Ball Z. Edey vs. Y. Missi: Tip to L. Kennard,"[1628379, 1641744, 1642274]",1610612763.0,MEM,startperiod,L. Kennard,1628379.0,Kennard,L. Kennard,Edey,1641744.0,Missi,1642274.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-01-25T01:11:03.6Z,1,REGULAR,2pt,Jump Shot,[],1630217,73.53810775295663,62.5,1610612763,2,0,2025-01-25T01:11:08Z,70000,False,62.0,196.0,1,right,D. Bane 20' pullup Jump Shot (2 PTS) (Z. Edey 1 AST),"[1630217, 1641744]",1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Mid-Range,16-24 Center,20.59,Made,2.0,Z. Edey,1641744.0,1.0,,,,,,,,,,,,,,
9,PT11M23.00S,2025-01-25T01:11:26.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1642274,5.469776609724048,40.931372549019606,1610612740,2,0,2025-01-25T01:19:13Z,90000,False,45.0,-1.0,1,left,MISS Y. Missi Layup - blocked,"[1642274, 1641744]",1610612740.0,NOP,,,,Missi,Y. Missi,,,,,In The Paint (Non-RA),0-8 Center,4.53,Missed,,,,,Edey,1641744.0,,,,,,,,,,,,
10,PT11M23.00S,2025-01-25T01:11:26.3Z,1,REGULAR,block,,[],1641744,,,1610612740,2,0,2025-01-25T01:11:28Z,100000,False,,,0,,Z. Edey BLOCK (1 BLK),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2025-01-25T01:11:29.3Z,1,REGULAR,rebound,defensive,[],1641744,,,1610612763,2,0,2025-01-25T01:11:31Z,110000,False,,,0,,Z. Edey REBOUND (Off:0 Def:1),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,
12,PT11M09.00S,2025-01-25T01:11:40.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1641744,89.56964520367937,48.03921568627451,1610612763,4,0,2025-01-25T01:11:44Z,120000,False,-10.0,46.0,1,right,Z. Edey Hook (2 PTS) (J. Jackson Jr. 1 AST),"[1641744, 1628991]",1610612763.0,MEM,,,,Edey,Z. Edey,,,,,In The Paint (Non-RA),0-8 Center,4.65,Made,2.0,J. Jackson Jr.,1628991.0,1.0,,,,,,,,,,,,,,
14,PT10M54.00S,2025-01-25T01:11:55.2Z,1,REGULAR,2pt,Jump Shot,[],203468,25.75558475689882,45.36611519607843,1610612740,4,2,2025-01-25T01:12:07Z,140000,False,23.0,190.0,1,left,C. McCollum 19' step back Jump Shot (2 PTS) (D. Murray 1 AST),"[203468, 1627749]",1610612740.0,NOP,step back,,,McCollum,C. McCollum,,,,,Mid-Range,16-24 Center,19.1,Made,2.0,D. Murray,1627749.0,1.0,,,,,,,,,,,,,,
16,PT10M40.00S,2025-01-25T01:12:09.4Z,1,REGULAR,2pt,Hook,[],1628991,93.24901445466492,32.59803921568628,1610612763,6,2,2025-01-25T01:18:50Z,160000,False,-87.0,11.0,1,right,J. Jackson Jr. 8' driving Hook (2 PTS),[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,8-16 Left,8.77,Made,2.0,,,,,,,,,,,,,,,,,
17,PT10M19.00S,2025-01-25T01:12:30.2Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612740,6,2,2025-01-25T01:12:33Z,170000,False,,,0,,D. Murray bad pass TURNOVER (1 TO),"[1627749, 1642377]",1610612740.0,NOP,,,,Murray,D. Murray,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,1.0,Wells,1642377.0,,,,,
