actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-10-27T00:12:32.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-27T00:12:32Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2024-10-27T00:12:36.0Z,1,REGULAR,jumpball,recovered,[],1628991,,,1610612763,0,0,2024-10-27T00:12:36Z,40000,False,,,0,,Jump Ball Z. Edey vs. W. Carter Jr.: Tip to J. Jackson Jr.,"[1628991, 1641744, 1628976]",1610612763.0,MEM,startperiod,J. Jackson Jr.,1628991.0,Jackson Jr.,J. Jackson Jr.,Edey,1641744.0,Carter Jr.,1628976.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-10-27T00:12:46.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630217,11.777266754270697,50.49019607843137,1610612763,2,0,2024-10-27T00:12:52Z,70000,False,-2.0,58.0,1,left,D. Bane driving floating Jump Shot (2 PTS),[1630217],1610612763.0,MEM,driving floating,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,5.83,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M21.00S,2024-10-27T00:13:10.1Z,1,REGULAR,3pt,Jump Shot,[],203484,66.3107752956636,52.20588235294118,1610612753,2,0,2024-10-27T00:13:15Z,80000,False,11.0,264.0,1,right,MISS K. Caldwell-Pope 26' step back 3PT,[203484],1610612753.0,ORL,step back,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Center,26.44,Missed,,,,,,,,,,,,,,,,,,
9,PT11M19.00S,2024-10-27T00:13:12.1Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,2,0,2024-10-27T00:13:15Z,90000,False,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Above the Break 3,24+ Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M14.00S,2024-10-27T00:13:18.0Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1629630,30.305519053876477,67.8921568627451,1610612763,2,0,2024-10-27T00:13:25Z,100000,False,-89.0,232.0,1,left,MISS J. Morant 24' running pullup 3PT,[1629630],1610612763.0,MEM,running pullup,,,Morant,J. Morant,,,,,Above the Break 3,24+ Left Center,24.9,Missed,,,,,,,,,,,,,,,,,,
11,PT11M10.00S,2024-10-27T00:13:22.0Z,1,REGULAR,rebound,defensive,[],1630532,,,1610612753,2,0,2024-10-27T00:13:25Z,110000,False,,,0,,F. Wagner REBOUND (Off:0 Def:1),[1630532],1610612753.0,ORL,,,,Wagner,F. Wagner,,,,,Above the Break 3,24+ Left Center,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,
12,PT11M05.00S,2024-10-27T00:13:30.2Z,1,REGULAR,turnover,traveling,[],203484,,,1610612753,2,0,2024-10-27T00:13:35Z,120000,False,,,0,,K. Caldwell-Pope traveling TURNOVER (1 TO),[203484],1610612753.0,ORL,,,,Caldwell-Pope,K. Caldwell-Pope,,,,,Above the Break 3,24+ Right Center,,,,,,,,1628480.0,1.0,,,,,,,,,,,
13,PT10M55.00S,2024-10-27T00:13:47.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628991,15.325229960578188,67.64705882352942,1610612763,4,0,2024-10-27T00:14:17Z,130000,False,-88.0,92.0,1,left,J. Jackson Jr. 12' floating Jump Shot (2 PTS) (D. Bane 1 AST),"[1628991, 1630217]",1610612763.0,MEM,floating,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,8-16 Left,12.72,Made,2.0,,,,,,,D. Bane,1630217.0,1.0,,,,,,,,
15,PT10M39.00S,2024-10-27T00:14:03.3Z,1,REGULAR,2pt,Jump Shot,[],1631094,87.59855453350855,71.81372549019608,1610612753,4,0,2024-10-27T00:14:10Z,150000,False,109.0,64.0,1,right,MISS P. Banchero 12' pullup Shot,[1631094],1610612753.0,ORL,pullup,,,Banchero,P. Banchero,,,,,Mid-Range,8-16 Right,12.65,Missed,,,,,,,,,,,,,,,,,,
