actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-11-20T01:10:35.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-20T01:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-11-20T01:10:40.3Z,1,REGULAR,jumpball,recovered,[],1629634,,,1610612763,0,0,2024-11-20T01:10:40Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. D. Šarić: Tip to B. Clarke,"[1629634, 1628991, 203967]",1610612763.0,MEM,startperiod,B. Clarke,1629634.0,Clarke,B. Clarke,Jackson Jr.,1628991.0,Šarić,203967.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2024-11-20T01:10:50.3Z,1,REGULAR,3pt,Jump Shot,[],1630590,32.276609724047304,59.55882352941176,1610612763,0,0,2024-11-20T01:11:03Z,70000,False,-48.0,251.0,1,left,MISS S. Pippen Jr. 25' 3PT,[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,Above the Break 3,24+ Center,25.54,Missed,,,,,,,,,,,,,,,,,,
8,PT11M36.00S,2024-11-20T01:11:02.3Z,1,REGULAR,rebound,defensive,[],1629008,,,1610612743,0,0,2024-11-20T01:11:03Z,80000,False,,,0,,M. Porter Jr. REBOUND (Off:0 Def:1),[1629008],1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M26.00S,2024-11-20T01:11:11.3Z,1,REGULAR,3pt,Jump Shot,[],203967,66.44218134034165,55.14705882352941,1610612743,0,3,2024-11-20T01:11:18Z,90000,False,26.0,263.0,1,right,D. Šarić 26' 3PT  (3 PTS) (J. Murray 1 AST),"[203967, 1627750]",1610612743.0,DEN,,,,Šarić,D. Šarić,,,,,Above the Break 3,24+ Center,26.42,Made,,,,,3.0,J. Murray,1627750.0,1.0,,,,,,,,,,
11,PT11M13.00S,2024-11-20T01:11:24.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629634,8.492115637319317,47.30392156862745,1610612763,2,3,2024-11-20T01:11:30Z,110000,False,13.0,27.0,1,left,B. Clarke Layup (2 PTS) (S. Pippen Jr. 1 AST),"[1629634, 1630590]",1610612763.0,MEM,,,,Clarke,B. Clarke,,,,,Restricted Area,0-8 Center,3.05,Made,,,,,2.0,S. Pippen Jr.,1630590.0,1.0,,,,,,,,,,
13,PT10M51.00S,2024-11-20T01:11:47.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627750,86.28449408672799,56.86274509803921,1610612743,2,5,2024-11-20T01:11:55Z,130000,False,34.0,76.0,1,right,J. Murray 8' driving floating Jump Shot (2 PTS),[1627750],1610612743.0,DEN,driving floating,,,Murray,J. Murray,,,,,In The Paint (Non-RA),8-16 Center,8.37,Made,,,,,2.0,,,,,,,,,,,,,
14,PT10M37.00S,2024-11-20T01:12:00.2Z,1,REGULAR,turnover,lost ball,[],1628991,,,1610612763,2,5,2024-11-20T01:12:06Z,140000,False,,,0,,J. Jackson Jr. lost ball TURNOVER (1 TO),"[1628991, 1631128]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1.0,Braun,1631128.0,,,,,,,
15,PT10M37.00S,2024-11-20T01:12:00.2Z,1,REGULAR,steal,,[],1631128,,,1610612743,2,5,2024-11-20T01:18:26Z,150000,False,,,0,,C. Braun STEAL (1 STL),[1631128],1610612743.0,DEN,,,,Braun,C. Braun,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
16,PT10M34.00S,2024-11-20T01:12:05.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",203967,92.19776609724047,54.166666666666664,1610612743,2,5,2024-11-20T01:12:18Z,160000,False,21.0,21.0,1,right,MISS D. Šarić running Layup - blocked,"[203967, 1630590]",1610612743.0,DEN,running,,,Šarić,D. Šarić,,,,,Restricted Area,0-8 Center,2.94,Missed,,,,,,,,,,,,Pippen Jr.,1630590.0,,,,,
