actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-31T23:35:54.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-31T23:35:54Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-31T23:36:00.2Z,1,REGULAR,jumpball,recovered,[],0,,,1610612763,0,0,2025-03-31T23:36:00Z,40000,False,,,0,,Jump Ball Z. Edey vs. K. Porziņģis: Tip to Team (MEM),"[1641744, 204001]",1610612763.0,MEM,startperiod,Team (MEM),Edey,1641744.0,Porziņģis,204001.0,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2025-03-31T23:36:25.2Z,1,REGULAR,3pt,Jump Shot,[],1630217,26.888961892247043,14.705882352941178,1610612763,3,0,2025-03-31T23:36:29Z,80000,False,176.0,200.0,1,left,D. Bane 26' 3PT pullup (3 PTS),[1630217],1610612763.0,MEM,pullup,,,,,,Above the Break 3,24+ Right Center,26.7,Made,3.0,Bane,D. Bane,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2025-03-31T23:36:43.9Z,1,REGULAR,3pt,Jump Shot,[],1628401,73.01248357424441,16.911764705882355,1610612738,3,0,2025-03-31T23:36:49Z,90000,False,-165.0,201.0,1,right,MISS D. White 26' 3PT,[1628401],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,26.05,Missed,,White,D. White,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2025-03-31T23:36:44.9Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612738,3,0,2025-03-31T23:36:49Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Left Center,,,,,,9.0,,,,,,,,,,,,,,,,
11,PT11M22.00S,2025-03-31T23:36:48.4Z,1,REGULAR,foul,personal,[],1641744,,,1610612738,3,0,2025-03-31T23:36:57Z,110000,False,,,0,,Z. Edey loose ball personal FOUL (1 PF),"[1641744, 1630214]",1610612763.0,MEM,loose ball,,,,,,Restricted Area,0-8 Center,,,,Edey,Z. Edey,,1627526.0,1.0,0.0,Tillman,1630214.0,,,,,,,,,,,
13,PT11M20.00S,2025-03-31T23:37:06.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201950,66.44218134034165,64.70588235294117,1610612738,3,0,2025-03-31T23:37:10Z,130000,False,74.0,263.0,1,right,MISS J. Holiday 27' 3PT,[201950],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Center,27.3,Missed,,Holiday,J. Holiday,,,,,,,,,,,,,,,,,
14,PT11M16.00S,2025-03-31T23:37:10.7Z,1,REGULAR,rebound,defensive,[],1642377,,,1610612763,3,0,2025-03-31T23:37:10Z,140000,False,,,0,,J. Wells REBOUND (Off:0 Def:1),[1642377],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,,,,Wells,J. Wells,13.0,,,,,,1.0,1.0,0.0,,,,,,,,
15,PT11M08.00S,2025-03-31T23:37:17.6Z,1,REGULAR,3pt,Jump Shot,[],1642377,25.18068331143233,14.215686274509803,1610612763,3,0,2025-03-31T23:37:22Z,150000,False,179.0,184.0,1,left,MISS J. Wells 25' 3PT,[1642377],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,25.68,Missed,,Wells,J. Wells,,,,,,,,,,,,,,,,,
16,PT11M04.00S,2025-03-31T23:37:21.6Z,1,REGULAR,rebound,defensive,[],1630214,,,1610612738,3,0,2025-03-31T23:37:22Z,160000,False,,,0,,X. Tillman REBOUND (Off:0 Def:1),[1630214],1610612738.0,BOS,,,,,,,Above the Break 3,24+ Right Center,,,,Tillman,X. Tillman,15.0,,,,,,1.0,1.0,0.0,,,,,,,,
