actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-04-11T01:36:19.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-04-11T01:36:19Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,PT12M00.00S,2025-04-11T01:36:20.2Z,1,REGULAR,violation,delay-of-game,['team'],0,,,0,0,0,2025-04-11T01:36:31Z,25000,False,,,0,,TEAM delay-of-game VIOLATION,[],1610612763.0,MEM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2025-04-11T01:36:21.0Z,1,REGULAR,jumpball,recovered,[],1628991,,,1610612763,0,0,2025-04-11T01:36:21Z,40000,False,,,0,,Jump Ball Z. Edey vs. R. Gobert: Tip to J. Jackson Jr.,"[1628991, 1641744, 203497]",1610612763.0,MEM,startperiod,J. Jackson Jr.,1628991.0,Jackson Jr.,J. Jackson Jr.,Edey,1641744.0,Gobert,203497.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2025-04-11T01:36:32.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,83.26215505913272,57.59803921568627,1610612763,2,0,2025-04-11T01:36:36Z,70000,False,38.0,105.0,1,right,J. Morant 11' driving floating bank Jump Shot (2 PTS),[1629630],1610612763.0,MEM,driving floating bank,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,11.15,Made,2.0,,,,,,,,,,,,,,,,,
9,PT11M23.00S,2025-04-11T01:36:55.7Z,1,REGULAR,turnover,bad pass,[],201144,,,1610612750,2,0,2025-04-11T01:36:58Z,80000,False,,,0,,M. Conley bad pass TURNOVER (1 TO),"[201144, 1630217]",1610612750.0,MIN,,,,Conley,M. Conley,,,,,In The Paint (Non-RA),0-8 Center,,,,1.0,Bane,1630217.0,,,,,,,,,,,,,,
10,PT11M23.00S,2025-04-11T01:36:55.7Z,1,REGULAR,steal,,[],1630217,,,1610612763,2,0,2025-04-11T01:36:57Z,90000,False,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M16.00S,2025-04-11T01:37:02.0Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint', 'fromturnover']",1630217,83.52496714848883,50.98039215686274,1610612763,2,0,2025-04-11T01:37:25Z,100000,False,5.0,102.0,1,right,MISS D. Bane 10' driving floating Shot,[1630217],1610612763.0,MEM,driving floating,,,Bane,D. Bane,,,,,In The Paint (Non-RA),8-16 Center,10.25,Missed,,,,,,,,,,,,,,,,,,
12,PT11M14.00S,2025-04-11T01:37:04.0Z,1,REGULAR,rebound,defensive,[],203497,,,1610612750,2,0,2025-04-11T01:37:04Z,110000,False,,,0,,R. Gobert REBOUND (Off:0 Def:1),[203497],1610612750.0,MIN,,,,Gobert,R. Gobert,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,
13,PT11M09.00S,2025-04-11T01:37:09.4Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201144,5.601182654402102,95.58823529411765,1610612750,2,0,2025-04-11T01:37:12Z,120000,False,-228.0,0.0,1,left,MISS M. Conley running 3PT,[201144],1610612750.0,MIN,running,,,Conley,M. Conley,,,,,Left Corner 3,24+ Left,22.79,Missed,,,,,,,,,,,,,,,,,,
14,PT11M06.00S,2025-04-11T01:37:12.4Z,1,REGULAR,rebound,defensive,[],1631246,,,1610612763,2,0,2025-04-11T01:37:12Z,130000,False,,,0,,V. Williams Jr. REBOUND (Off:0 Def:1),[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Left Corner 3,24+ Left,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
