actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-23T01:11:56.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-23T01:11:56Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2025-01-23T01:12:02.2Z,1,REGULAR,jumpball,recovered,[],1628970,,,1610612766,0,0,2025-01-23T01:12:02Z,40000,False,,,0,,Jump Ball M. Williams vs. Z. Edey: Tip to M. Bridges,"[1628970, 1631109, 1641744]",1610612766.0,CHA,startperiod,M. Bridges,1628970.0,Bridges,M. Bridges,Williams,1631109.0,Edey,1641744.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M42.00S,2025-01-23T01:12:13.5Z,1,REGULAR,3pt,Jump Shot,[],1628970,71.69842312746385,74.50980392156863,1610612766,0,0,2025-01-23T01:12:17Z,70000,False,123.0,214.0,1,right,MISS M. Bridges 24' 3PT,[1628970],1610612766.0,CHA,,,,Bridges,M. Bridges,,,,,Above the Break 3,24+ Right Center,24.61,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2025-01-23T01:12:16.5Z,1,REGULAR,rebound,defensive,[],1641744,,,1610612763,0,0,2025-01-23T01:12:17Z,80000,False,,,0,,Z. Edey REBOUND (Off:0 Def:1),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M19.00S,2025-01-23T01:12:36.1Z,1,REGULAR,3pt,Jump Shot,[],1629630,33.196452036793694,48.77450980392157,1610612763,3,0,2025-01-23T01:12:40Z,90000,False,6.0,260.0,1,left,J. Morant 25' 3PT pullup (3 PTS),[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,Above the Break 3,24+ Center,25.96,Made,,,,,3.0,,,,,,,,,,,,,
10,PT11M09.00S,2025-01-23T01:12:45.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630163,93.11760840998686,52.20588235294118,1610612766,3,0,2025-01-23T01:12:48Z,100000,False,11.0,12.0,1,right,MISS L. Ball driving finger roll Layup,[1630163],1610612766.0,CHA,driving finger roll,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,1.64,Missed,,,,,,,,,,,,,,,,,,
11,PT11M07.00S,2025-01-23T01:12:47.4Z,1,REGULAR,rebound,offensive,[],1630163,,,1610612766,3,0,2025-01-23T01:12:48Z,110000,False,,,0,,L. Ball REBOUND (Off:1 Def:0),[1630163],1610612766.0,CHA,,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,,,10.0,1.0,0.0,1.0,,,,,,,,,,,,,,
12,PT11M07.00S,2025-01-23T01:12:47.9Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",1630163,94.40999984741211,50.0,1610612766,3,0,2025-01-23T01:12:51Z,120000,False,0.0,0.0,1,right,MISS L. Ball tip Layup,[1630163],1610612766.0,CHA,tip,,,Ball,L. Ball,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
13,PT11M07.00S,2025-01-23T01:12:47.9Z,1,REGULAR,rebound,offensive,[],1631109,,,1610612766,3,0,2025-01-23T01:12:51Z,130000,False,,,0,,M. Williams REBOUND (Off:1 Def:0),[1631109],1610612766.0,CHA,,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M06.00S,2025-01-23T01:12:50.4Z,1,REGULAR,2pt,DUNK,"['2ndchance', 'pointsinthepaint']",1631109,94.40999984741211,50.0,1610612766,3,0,2025-01-23T01:12:53Z,140000,False,0.0,0.0,1,right,MISS M. Williams tip DUNK,[1631109],1610612766.0,CHA,tip,,,Williams,M. Williams,,,,,Restricted Area,0-8 Center,0.0,Missed,,,,,,,,,,,,,,,,,,
