actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal
2,PT12M00.00S,2025-01-26T01:10:37.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-26T01:10:37Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-01-26T01:10:41.1Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612762,0,0,2025-01-26T01:10:41Z,40000,False,,,0,,Jump Ball W. Kessler vs. Z. Edey: Tip to L. Markkanen,"[1628374, 1631117, 1641744]",1610612762.0,UTA,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Kessler,1631117.0,Edey,1641744.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M46.00S,2025-01-26T01:10:50.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1628374,93.34756898817345,50.49019607843137,1610612762,0,2,2025-01-26T01:10:55Z,70000,False,2.0,10.0,1,right,L. Markkanen alley-oop DUNK (2 PTS) (C. Sexton 1 AST),"[1628374, 1629012]",1610612762.0,UTA,alley-oop,,,Markkanen,L. Markkanen,,,,,Restricted Area,0-8 Center,1.03,Made,2.0,C. Sexton,1629012.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2025-01-26T01:11:08.3Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1641744,6.4881734559789805,50.245098039215684,1610612763,2,2,2025-01-26T01:11:11Z,90000,False,-1.0,8.0,1,left,Z. Edey alley-oop DUNK (2 PTS) (J. Morant 1 AST),"[1641744, 1629630]",1610612763.0,MEM,alley-oop,,,Edey,Z. Edey,,,,,Restricted Area,0-8 Center,0.86,Made,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,
11,PT11M14.00S,2025-01-26T01:11:22.3Z,1,REGULAR,3pt,Jump Shot,[],1629004,71.27135348226018,76.7156862745098,1610612762,2,5,2025-01-26T01:11:26Z,110000,False,134.0,218.0,1,right,S. Mykhailiuk 25' 3PT  (3 PTS) (C. Sexton 2 AST),"[1629004, 1629012]",1610612762.0,UTA,,,,Mykhailiuk,S. Mykhailiuk,,,,,Above the Break 3,24+ Right Center,25.53,Made,3.0,C. Sexton,1629012.0,2.0,,,,,,,,,,,,,,
13,PT11M00.00S,2025-01-26T01:11:36.9Z,1,REGULAR,turnover,lost ball,[],1630217,,,1610612763,2,5,2025-01-26T01:11:40Z,130000,False,,,0,,D. Bane lost ball TURNOVER (1 TO),"[1630217, 1642268]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,1.0,Collier,1642268.0,,,,,,,,,,,
14,PT11M00.00S,2025-01-26T01:11:36.9Z,1,REGULAR,steal,,[],1642268,,,1610612762,2,5,2025-01-26T01:11:38Z,140000,False,,,0,,I. Collier STEAL (1 STL),[1642268],1610612762.0,UTA,,,,Collier,I. Collier,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M58.00S,2025-01-26T01:11:40.5Z,1,REGULAR,foul,personal,[],1629630,,,1610612762,2,5,2025-01-26T01:12:03Z,150000,False,,,0,,J. Morant personal FOUL (1 PF),"[1629630, 1642268]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,,,,,,,,,,1629178.0,1.0,0.0,Collier,1642268.0,,,,,,
17,PT10M43.00S,2025-01-26T01:12:25.0Z,1,REGULAR,turnover,lost ball,[],1628374,,,1610612762,2,5,2025-01-26T01:12:29Z,170000,False,,,0,,L. Markkanen lost ball TURNOVER (1 TO),"[1628374, 1629630]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1.0,Morant,1629630.0,,,,,,,,,,,
18,PT10M43.00S,2025-01-26T01:12:25.0Z,1,REGULAR,steal,,[],1629630,,,1610612763,2,5,2025-01-26T01:14:30Z,180000,False,,,0,,J. Morant STEAL (1 STL),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
