actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-02T01:10:42.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-02T01:10:42Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-03-02T01:10:45.8Z,1,REGULAR,jumpball,recovered,[],202687,,,1610612759,0,0,2025-03-02T01:10:45Z,40000,False,,,0,,Jump Ball B. Biyombo vs. J. Jackson Jr.: Tip to B. Biyombo,"[202687, 202687, 1628991]",1610612759.0,SAS,startperiod,B. Biyombo,202687.0,Biyombo,B. Biyombo,Biyombo,202687.0,Jackson Jr.,1628991.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2025-03-02T01:10:56.6Z,1,REGULAR,foul,offensive,[],202687,,,1610612759,0,0,2025-03-02T01:11:06Z,70000,False,,,0,,B. Biyombo offensive FOUL (1 PF),"[202687, 1642377]",1610612759.0,SAS,,,,Biyombo,B. Biyombo,,,,,Above the Break 3,24+ Right Center,204059.0,1.0,0.0,Wells,1642377.0,,,,,,,,,,,,,,,
9,PT11M47.00S,2025-03-02T01:10:56.6Z,1,REGULAR,turnover,offensive foul,[],202687,,,1610612759,0,0,2025-03-02T01:10:56Z,90000,False,,,0,,B. Biyombo offensive foul TURNOVER (1 TO),[202687],1610612759.0,SAS,,,,Biyombo,B. Biyombo,,,,,Above the Break 3,24+ Right Center,204059.0,,,,,1.0,,,,,,,,,,,,,,
10,PT11M36.00S,2025-03-02T01:11:15.0Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1628991,93.11760840998686,46.81372549019608,1610612763,0,0,2025-03-02T01:11:21Z,100000,False,-16.0,12.0,1,right,MISS J. Jackson Jr. driving Layup,[1628991],1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,,,,2.0,Missed,,,,,,,,,,,,
11,PT11M34.00S,2025-03-02T01:11:17.0Z,1,REGULAR,rebound,defensive,[],1628368,,,1610612759,0,0,2025-03-02T01:11:21Z,110000,False,,,0,,D. Fox REBOUND (Off:0 Def:1),[1628368],1610612759.0,SAS,,,,Fox,D. Fox,,,,,Restricted Area,0-8 Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT11M18.00S,2025-03-02T01:11:33.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630170,17.559132720105126,44.11764705882353,1610612759,0,2,2025-03-02T01:11:40Z,120000,False,29.0,113.0,1,left,D. Vassell 11' turnaround Jump Shot (2 PTS),[1630170],1610612759.0,SAS,turnaround,,,Vassell,D. Vassell,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,11.64,Made,,,,,2.0,,,,,,,
13,PT11M01.00S,2025-03-02T01:11:49.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,86.15308804204993,49.26470588235294,1610612763,2,2,2025-03-02T01:11:55Z,130000,False,-4.0,78.0,1,right,J. Jackson Jr. 7' turnaround Hook (2 PTS),[1628991],1610612763.0,MEM,turnaround,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,7.78,Made,,,,,2.0,,,,,,,
14,PT10M39.00S,2025-03-02T01:12:16.1Z,1,REGULAR,turnover,out-of-bounds,[],1630170,,,1610612759,2,2,2025-03-02T01:12:25Z,140000,False,,,0,,D. Vassell lost ball out-of-bounds TURNOVER (1 TO),[1630170],1610612759.0,SAS,lost ball,,,Vassell,D. Vassell,,,,,Mid-Range,8-16 Right,204059.0,,,,,1.0,,,,,,,,,,,,,,
15,PT10M30.00S,2025-03-02T01:12:31.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630583,91.14651773981603,95.58823529411765,1610612763,2,2,2025-03-02T01:12:35Z,150000,False,228.0,31.0,1,right,MISS S. Aldama 3PT,[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Right Corner 3,24+ Right,,,,,,,23.0,Missed,,,,,,,,,,,,
16,PT10M26.00S,2025-03-02T01:12:35.4Z,1,REGULAR,rebound,defensive,[],202687,,,1610612759,2,2,2025-03-02T01:12:35Z,160000,False,,,0,,B. Biyombo REBOUND (Off:0 Def:1),[202687],1610612759.0,SAS,,,,Biyombo,B. Biyombo,,,,,Right Corner 3,24+ Right,,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,
17,PT10M15.00S,2025-03-02T01:12:45.8Z,1,REGULAR,3pt,Jump Shot,[],203084,7.5722733245729295,3.6764705882352944,1610612759,2,5,2025-03-02T01:12:49Z,170000,False,232.0,19.0,1,left,H. Barnes 3PT  (3 PTS) (D. Fox 1 AST),"[203084, 1628368]",1610612759.0,SAS,,,,Barnes,H. Barnes,,,,,Right Corner 3,24+ Right,,,,,,,23.24,Made,,,,,3.0,D. Fox,1628368.0,1.0,,,,
19,PT10M05.00S,2025-03-02T01:12:55.4Z,1,REGULAR,3pt,Jump Shot,[],1628991,67.49342969776609,60.29411764705882,1610612763,5,5,2025-03-02T01:13:01Z,190000,False,51.0,253.0,1,right,J. Jackson Jr. 25' 3PT pullup (5 PTS) (S. Pippen Jr. 1 AST),"[1628991, 1630590]",1610612763.0,MEM,pullup,,,Jackson Jr.,J. Jackson Jr.,,,,,Above the Break 3,24+ Center,,,,,,,25.83,Made,,,,,5.0,S. Pippen Jr.,1630590.0,1.0,,,,
