actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2024-11-21T01:10:28.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-11-21T01:10:28Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-11-21T01:10:29.9Z,1,REGULAR,jumpball,recovered,[],1629634,,,1610612763,0,0,2024-11-21T01:10:29Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. J. Embiid: Tip to B. Clarke,"[1629634, 1628991, 203954]",1610612763.0,MEM,startperiod,B. Clarke,1629634.0,Clarke,B. Clarke,Jackson Jr.,1628991.0,Embiid,203954.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2024-11-21T01:11:04.9Z,1,REGULAR,turnover,bad pass,[],1630217,,,1610612763,0,0,2024-11-21T01:11:10Z,80000,False,,,0,,D. Bane bad pass TURNOVER (1 TO),"[1630217, 1630178]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,16-24 Left,1.0,Maxey,1630178.0,,,,,,,,,,,,,,,,,
9,PT11M38.00S,2024-11-21T01:11:04.9Z,1,REGULAR,steal,,[],1630178,,,1610612755,0,0,2024-11-21T01:11:06Z,90000,False,,,0,,T. Maxey STEAL (1 STL),[1630178],1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,16-24 Left,,,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2024-11-21T01:11:17.1Z,1,REGULAR,turnover,lost ball,[],203954,,,1610612755,0,0,2024-11-21T01:11:21Z,100000,False,,,0,,J. Embiid lost ball TURNOVER (1 TO),"[203954, 1630217]",1610612755.0,PHI,,,,Embiid,J. Embiid,,,,,In The Paint (Non-RA),8-16 Center,1.0,Bane,1630217.0,,,,,,,,,,,,,,,,,
11,PT11M26.00S,2024-11-21T01:11:17.1Z,1,REGULAR,steal,,[],1630217,,,1610612763,0,0,2024-11-21T01:15:52Z,110000,False,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M19.00S,2024-11-21T01:11:23.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628991,6.783837056504599,47.794117647058826,1610612763,0,0,2024-11-21T01:11:29Z,120000,False,11.0,11.0,1,left,MISS J. Jackson Jr. running finger roll Layup,[1628991],1610612763.0,MEM,running finger roll,,,Jackson Jr.,J. Jackson Jr.,,,,,Restricted Area,0-8 Center,,,,1.58,Missed,,,,,,,,,,,,,,,
13,PT11M19.00S,2024-11-21T01:11:23.7Z,1,REGULAR,rebound,defensive,['team'],0,,,1610612755,0,0,2024-11-21T01:11:29Z,130000,False,,,0,,TEAM defensive REBOUND,[],1610612755.0,PHI,,,,,,,,,,Restricted Area,0-8 Center,,,,,,12.0,,,,,,,,,,,,,,
15,PT11M01.00S,2024-11-21T01:11:47.4Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630178,92.19776609724047,56.127450980392155,1610612755,0,2,2024-11-21T01:11:52Z,150000,False,31.0,21.0,1,right,T. Maxey driving floating bank Jump Shot (2 PTS),[1630178],1610612755.0,PHI,driving floating bank,,,Maxey,T. Maxey,,,,,Restricted Area,0-8 Center,,,,3.7,Made,,2.0,,,,,,,,,,,,,
16,PT10M54.00S,2024-11-21T01:11:57.0Z,1,REGULAR,foul,personal,[],1630178,,,1610612763,0,2,2024-11-21T01:12:03Z,160000,False,,,0,,T. Maxey personal FOUL (1 PF),"[1630178, 1630590]",1610612755.0,PHI,,,,Maxey,T. Maxey,,,,,Mid-Range,8-16 Left,,,,,,,,1628171.0,1.0,0.0,Pippen Jr.,1630590.0,,,,,,,,
