actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-11T00:10:11.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-11T00:10:11Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-03-11T00:10:15.5Z,1,REGULAR,jumpball,recovered,[],1629630,,,1610612763,0,0,2025-03-11T00:10:15Z,40000,False,,,0,,Jump Ball J. Huff vs. B. Bol: Tip to J. Morant,"[1629630, 1630643, 1629626]",1610612763.0,MEM,startperiod,J. Morant,1629630.0,Morant,J. Morant,Huff,1630643.0,Bol,1629626.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-03-11T00:10:26.4Z,1,REGULAR,2pt,Jump Shot,[],1630643,73.01248357424441,72.30392156862744,1610612763,0,0,2025-03-11T00:12:42Z,70000,False,112.0,201.0,1,right,MISS J. Huff 23' Jump Shot,[1630643],1610612763.0,MEM,,,,Huff,J. Huff,,,,,Mid-Range,16-24 Right Center,23.0,Missed,,,,,,,,,,,,,,,,,,
8,PT11M42.00S,2025-03-11T00:10:28.4Z,1,REGULAR,rebound,defensive,[],1626164,,,1610612756,0,0,2025-03-11T00:10:30Z,80000,False,,,0,,D. Booker REBOUND (Off:0 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M25.00S,2025-03-11T00:10:46.1Z,1,REGULAR,3pt,Jump Shot,[],1629626,30.17411300919842,28.676470588235293,1610612756,0,0,2025-03-11T00:10:51Z,90000,False,107.0,231.0,1,left,MISS B. Bol 25' 3PT,[1629626],1610612756.0,PHX,,,,Bol,B. Bol,,,,,Above the Break 3,24+ Right Center,25.45,Missed,,,,,,,,,,,,,,,,,,
10,PT11M22.00S,2025-03-11T00:10:49.1Z,1,REGULAR,rebound,offensive,[],1626164,,,1610612756,0,0,2025-03-11T00:10:51Z,100000,False,,,0,,D. Booker REBOUND (Off:1 Def:1),[1626164],1610612756.0,PHX,,,,Booker,D. Booker,,,,,Above the Break 3,24+ Right Center,,,9.0,2.0,1.0,1.0,,,,,,,,,,,,,,
11,PT11M17.00S,2025-03-11T00:10:53.9Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201142,4.812746386333772,95.83333333333334,1610612756,0,3,2025-03-11T00:11:00Z,110000,False,-229.0,-7.0,1,left,K. Durant 3PT  (3 PTS) (N. Richards 1 AST),"[201142, 1630208]",1610612756.0,PHX,,,,Durant,K. Durant,,,,,Left Corner 3,24+ Left,22.93,Made,,,,,3.0,N. Richards,1630208.0,1.0,,,,,,,,,,
13,PT11M07.00S,2025-03-11T00:11:03.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,92.72339027595268,46.568627450980394,1610612763,2,3,2025-03-11T00:11:08Z,130000,False,-17.0,16.0,1,right,D. Bane cutting Layup (2 PTS) (J. Morant 1 AST),"[1630217, 1629630]",1610612763.0,MEM,cutting,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,2.34,Made,,,,,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,
15,PT10M48.00S,2025-03-11T00:11:22.7Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1630208,7.30946123521682,49.50980392156863,1610612756,2,3,2025-03-11T00:11:27Z,150000,False,2.0,16.0,1,left,MISS N. Richards DUNK - blocked,"[1630208, 1630643]",1610612756.0,PHX,,,,Richards,N. Richards,,,,,Restricted Area,0-8 Center,1.64,Missed,,,,,,,,,Huff,1630643.0,,,,,,,,
16,PT10M48.00S,2025-03-11T00:11:22.7Z,1,REGULAR,block,,[],1630643,,,1610612756,2,3,2025-03-11T00:11:24Z,160000,False,,,0,,J. Huff BLOCK (1 BLK),[1630643],1610612763.0,MEM,,,,Huff,J. Huff,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
17,PT10M46.00S,2025-03-11T00:11:24.7Z,1,REGULAR,rebound,defensive,[],1642377,,,1610612763,2,3,2025-03-11T00:11:27Z,170000,False,,,0,,J. Wells REBOUND (Off:0 Def:1),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Restricted Area,0-8 Center,,,15.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M44.00S,2025-03-11T00:11:29.6Z,1,REGULAR,turnover,out-of-bounds,[],1641713,,,1610612763,2,3,2025-03-11T00:11:38Z,180000,False,,,0,,G. Jackson step out-of-bounds TURNOVER (1 TO),[1641713],1610612763.0,MEM,step,,,Jackson,G. Jackson,,,,,Left Corner 3,24+ Left,,,,,,,,,,,,,202901.0,1.0,,,,,,
