actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,officialId,playerName,playerNameI,descriptor,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoveredName,jumpBallRecoverdPersonId,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId
2,PT12M00.00S,2024-10-31T00:11:34.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-31T00:11:34Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2024-10-31T00:11:54.4Z,1,REGULAR,violation,jumpball,[],1627732,,,0,0,0,2024-10-31T00:11:54Z,40000,False,,,0,,B. Simmons jumpball VIOLATION,[1627732],1610612751.0,BKN,101283.0,Simmons,B. Simmons,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,PT11M52.00S,2024-10-31T00:12:09.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1628991,4.944152431011826,58.57843137254902,1610612763,0,0,2024-10-31T00:12:17Z,50000,False,-43.0,-6.0,1,left,MISS J. Jackson Jr. driving Layup,[1628991],1610612763.0,MEM,,Jackson Jr.,J. Jackson Jr.,driving,In The Paint (Non-RA),0-8 Center,4.33,Missed,,,,,,,,,,,,,,,,,,,,,,,
6,PT11M50.00S,2024-10-31T00:12:11.9Z,1,REGULAR,rebound,offensive,[],1629630,,,1610612763,0,0,2024-10-31T00:12:11Z,60000,False,,,0,,J. Morant REBOUND (Off:1 Def:0),[1629630],1610612763.0,MEM,,Morant,J. Morant,,In The Paint (Non-RA),0-8 Center,,,5.0,1.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2024-10-31T00:12:16.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', '2ndchance']",1641744,4.812746386333772,50.49019607843137,1610612763,2,0,2024-10-31T00:12:20Z,70000,False,-2.0,-7.0,1,left,Z. Edey cutting DUNK (2 PTS) (J. Morant 1 AST),"[1641744, 1629630]",1610612763.0,MEM,,Edey,Z. Edey,cutting,Restricted Area,0-8 Center,0.77,Made,,,,,2.0,J. Morant,1629630.0,1.0,,,,,,,,,,,,,,,
9,PT11M30.00S,2024-10-31T00:12:31.4Z,1,REGULAR,turnover,lost ball,[],203471,,,1610612751,2,0,2024-10-31T00:12:39Z,90000,False,,,0,,D. Schröder lost ball TURNOVER (1 TO),"[203471, 1641744]",1610612751.0,BKN,,Schröder,D. Schröder,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,Edey,1641744.0,,,,,,,,,,,,
10,PT11M30.00S,2024-10-31T00:12:31.4Z,1,REGULAR,steal,,[],1641744,,,1610612763,2,0,2024-10-31T00:13:01Z,100000,False,,,0,,Z. Edey STEAL (1 STL),[1641744],1610612763.0,MEM,,Edey,Z. Edey,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,,,,,,
11,PT11M23.00S,2024-10-31T00:12:40.9Z,1,REGULAR,foul,personal,['2freethrow'],1627827,,,1610612763,2,0,2024-10-31T00:12:49Z,110000,False,,,0,,D. Finney-Smith shooting personal FOUL (1 PF) (Edey 2 FT),"[1627827, 1641744]",1610612751.0,BKN,1626302.0,Finney-Smith,D. Finney-Smith,shooting,Restricted Area,0-8 Center,,,,,,,,,,,,,,1.0,0.0,Edey,1641744.0,,,,,,,,
13,PT11M23.00S,2024-10-31T00:13:11.5Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1641744,,,1610612763,3,0,2024-10-31T00:13:11Z,130000,False,,,0,,Z. Edey Free Throw 1 of 2 (3 PTS),[1641744],1610612763.0,MEM,,Edey,Z. Edey,,,,,Made,,,,,3.0,,,,,,,,,,,,,,,,,,
14,PT11M23.00S,2024-10-31T00:13:11.5Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1641744,,,1610612763,3,0,2024-10-31T00:13:33Z,140000,False,,,0,,MISS Z. Edey Free Throw 2 of 2,[1641744],1610612763.0,MEM,,Edey,Z. Edey,,,,,Missed,,,,,,,,,,,,,,,,,,,,,,,
15,PT11M17.00S,2024-10-31T00:13:17.5Z,1,REGULAR,rebound,defensive,[],1627827,,,1610612751,3,0,2024-10-31T00:13:33Z,150000,False,,,0,,D. Finney-Smith REBOUND (Off:0 Def:1),[1627827],1610612751.0,BKN,,Finney-Smith,D. Finney-Smith,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
16,PT11M15.00S,2024-10-31T00:13:33.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627732,90.88370565045992,49.754901960784316,1610612751,3,2,2024-10-31T00:13:41Z,160000,False,-1.0,33.0,1,right,B. Simmons running reverse Layup (2 PTS),[1627732],1610612751.0,BKN,,Simmons,B. Simmons,running reverse,Restricted Area,0-8 Center,3.32,Made,,,,,2.0,,,,,,,,,,,,,,,,,,
17,PT11M04.00S,2024-10-31T00:13:46.5Z,1,REGULAR,foul,personal,['2freethrow'],1627827,,,1610612763,3,2,2024-10-31T00:14:15Z,170000,False,,,0,,D. Finney-Smith shooting personal FOUL (2 PF) (Jackson Jr. 2 FT),"[1627827, 1628991]",1610612751.0,BKN,101283.0,Finney-Smith,D. Finney-Smith,shooting,Restricted Area,0-8 Center,,,,,,,,,,,,,,2.0,0.0,Jackson Jr.,1628991.0,,,,,,,,
19,PT11M04.00S,2024-10-31T00:14:18.1Z,1,REGULAR,freethrow,1 of 2,[],1628991,,,1610612763,3,2,2024-10-31T00:14:18Z,190000,False,,,0,,MISS J. Jackson Jr. Free Throw 1 of 2,[1628991],1610612763.0,MEM,,Jackson Jr.,J. Jackson Jr.,,,,,Missed,,,,,,,,,,,,,,,,,,,,,,,
20,PT11M04.00S,2024-10-31T00:14:18.1Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612763,3,2,2024-10-31T00:14:18Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,
21,PT11M04.00S,2024-10-31T00:14:38.1Z,1,REGULAR,freethrow,2 of 2,[],1628991,,,1610612763,4,2,2024-10-31T00:14:38Z,210000,False,,,0,,J. Jackson Jr. Free Throw 2 of 2 (1 PTS),[1628991],1610612763.0,MEM,,Jackson Jr.,J. Jackson Jr.,,,,,Made,,,,,1.0,,,,,,,,,,,,,,,,,,
22,PT10M51.00S,2024-10-31T00:14:56.7Z,1,REGULAR,foul,personal,[],1630217,,,1610612751,4,2,2024-10-31T00:15:06Z,220000,False,,,0,,D. Bane personal FOUL (1 PF),"[1630217, 203471]",1610612763.0,MEM,101283.0,Bane,D. Bane,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,0.0,Schröder,203471.0,,,,,,,,
24,PT10M51.00S,2024-10-31T00:15:03.8Z,1,REGULAR,substitution,out,[],1627827,,,1610612751,4,2,2024-10-31T00:15:07Z,240000,False,,,0,,SUB out: D. Finney-Smith,[1627827],1610612751.0,BKN,,Finney-Smith,D. Finney-Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PT10M51.00S,2024-10-31T00:15:03.8Z,1,REGULAR,substitution,in,[],1641730,,,1610612751,4,2,2024-10-31T00:15:07Z,250000,False,,,0,,SUB in: N. Clowney,[1641730],1610612751.0,BKN,,Clowney,N. Clowney,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PT10M41.00S,2024-10-31T00:15:28.4Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1627732,87.07293035479631,46.07843137254902,1610612751,4,4,2024-10-31T00:15:35Z,260000,False,-20.0,69.0,1,right,B. Simmons 7' turnaround Hook (4 PTS) (C. Johnson 1 AST),"[1627732, 1629661]",1610612751.0,BKN,,Simmons,B. Simmons,turnaround,In The Paint (Non-RA),0-8 Center,7.17,Made,,,,,4.0,C. Johnson,1629661.0,1.0,,,,,,,,,,,,,,,
28,PT10M30.00S,2024-10-31T00:15:39.6Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1629630,12.302890932982917,47.549019607843135,1610612763,4,4,2024-10-31T00:15:49Z,280000,False,12.0,63.0,1,left,MISS J. Morant 6' turnaround Hook,[1629630],1610612763.0,MEM,,Morant,J. Morant,turnaround,In The Paint (Non-RA),0-8 Center,6.43,Missed,,,,,,,,,,,,,,,,,,,,,,,
29,PT10M28.00S,2024-10-31T00:15:41.6Z,1,REGULAR,rebound,defensive,[],1641730,,,1610612751,4,4,2024-10-31T00:15:49Z,290000,False,,,0,,N. Clowney REBOUND (Off:0 Def:1),[1641730],1610612751.0,BKN,,Clowney,N. Clowney,,In The Paint (Non-RA),0-8 Center,,,28.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
30,PT10M17.00S,2024-10-31T00:15:55.7Z,1,REGULAR,foul,offensive,[],1630560,,,1610612751,4,4,2024-10-31T00:16:09Z,300000,False,,,0,,C. Thomas offensive FOUL (1 PF),"[1630560, 203935]",1610612751.0,BKN,202035.0,Thomas,C. Thomas,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,0.0,Smart,203935.0,,,,,,,,
32,PT10M17.00S,2024-10-31T00:15:55.7Z,1,REGULAR,turnover,offensive foul,[],1630560,,,1610612751,4,4,2024-10-31T00:15:55Z,320000,False,,,0,,C. Thomas offensive foul TURNOVER (1 TO),[1630560],1610612751.0,BKN,202035.0,Thomas,C. Thomas,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,1.0,,,,,,,,,,,,,,
33,PT10M17.00S,2024-10-31T00:16:08.2Z,1,REGULAR,foul,technical,['1freethrow'],203759,,,1610612763,4,4,2024-10-31T00:16:23Z,330000,False,,,0,,TEAM foul technical,[203759],1610612751.0,BKN,202035.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PT10M17.00S,2024-10-31T00:16:28.3Z,1,REGULAR,freethrow,1 of 1,[],1630217,,,1610612763,5,4,2024-10-31T00:16:28Z,340000,False,,,0,,D. Bane technical Free Throw 1 of 1 (1 PTS),[1630217],1610612763.0,MEM,,Bane,D. Bane,technical,,,,Made,,,,,1.0,,,,,,,,,,,,,,,,,,
35,PT10M03.00S,2024-10-31T00:17:00.9Z,1,REGULAR,foul,personal,['2freethrow'],1627732,,,1610612763,5,4,2024-10-31T00:17:24Z,350000,False,,,0,,B. Simmons shooting personal FOUL (1 PF) (Jackson Jr. 2 FT),"[1627732, 1628991]",1610612751.0,BKN,1626302.0,Simmons,B. Simmons,shooting,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,1.0,0.0,Jackson Jr.,1628991.0,,,,,,,,
37,PT10M03.00S,2024-10-31T00:17:29.0Z,1,REGULAR,freethrow,1 of 2,['fromturnover'],1628991,,,1610612763,6,4,2024-10-31T00:17:57Z,370000,False,,,0,,J. Jackson Jr. Free Throw 1 of 2 (2 PTS),[1628991],1610612763.0,MEM,,Jackson Jr.,J. Jackson Jr.,,,,,Made,,,,,2.0,,,,,,,,,,,,,,,,,,
38,PT10M03.00S,2024-10-31T00:17:29.0Z,1,REGULAR,freethrow,2 of 2,['fromturnover'],1628991,,,1610612763,6,4,2024-10-31T00:17:57Z,380000,False,,,0,,MISS J. Jackson Jr. Free Throw 2 of 2,[1628991],1610612763.0,MEM,,Jackson Jr.,J. Jackson Jr.,,,,,Missed,,,,,,,,,,,,,,,,,,,,,,,
39,PT10M00.00S,2024-10-31T00:17:32.0Z,1,REGULAR,rebound,defensive,[],1627732,,,1610612751,6,4,2024-10-31T00:17:57Z,390000,False,,,0,,B. Simmons REBOUND (Off:0 Def:1),[1627732],1610612751.0,BKN,,Simmons,B. Simmons,,,,,,38.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,
