actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,playerName,playerNameI,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2024-12-20T01:10:47.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-20T01:10:47Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,PT12M00.00S,2024-12-20T01:10:57.7Z,1,REGULAR,jumpball,recovered,[],0,,,1610612763,0,0,2024-12-20T02:12:53Z,42500,False,,,0,,Jump Ball Z. Edey vs. K. Looney: Tip to Team (MEM),"[1641744, 1626172]",1610612763.0,MEM,startperiod,Team (MEM),Edey,1641744.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,,,,
5,PT12M00.00S,2024-12-20T01:11:08.0Z,1,REGULAR,foul,personal,[],1626172,,,1610612763,0,0,2024-12-20T02:12:53Z,50000,False,,,0,,K. Looney loose ball personal FOUL (1 PF),"[1626172, 1641744]",1610612744.0,GSW,loose ball,,,,,,Above the Break 3,24+ Center,202026.0,1.0,0.0,Looney,K. Looney,Edey,1641744.0,,,,,,,,,,,,,,,,
7,PT11M51.00S,2024-12-20T01:11:26.9Z,1,REGULAR,3pt,Jump Shot,[],1630217,69.07030223390277,67.8921568627451,1610612763,3,0,2024-12-20T01:11:30Z,70000,False,89.0,238.0,1,right,D. Bane 25' 3PT pullup (3 PTS) (Z. Edey 1 AST),"[1630217, 1641744]",1610612763.0,MEM,pullup,,,,,,Above the Break 3,24+ Right Center,,,,Bane,D. Bane,,,25.45,Made,3.0,Z. Edey,1641744.0,1.0,,,,,,,,,,
9,PT11M34.00S,2024-12-20T01:11:43.4Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,3,0,2024-12-20T01:11:46Z,90000,False,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 1628991]",1610612744.0,GSW,,,,,,,In The Paint (Non-RA),8-16 Right,,,,Green,D. Green,,,,,,,,,1.0,Jackson Jr.,1628991.0,,,,,,,
10,PT11M34.00S,2024-12-20T01:11:43.4Z,1,REGULAR,steal,,[],1628991,,,1610612763,3,0,2024-12-20T01:11:45Z,100000,False,,,0,,J. Jackson Jr. STEAL (1 STL),[1628991],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Right,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,
11,PT11M24.00S,2024-12-20T01:11:53.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642377,93.11760840998686,3.1862745098039214,1610612763,6,0,2024-12-20T01:11:56Z,110000,False,-234.0,12.0,1,right,J. Wells 3PT  (3 PTS) (D. Bane 1 AST),"[1642377, 1630217]",1610612763.0,MEM,,,,,,,Left Corner 3,24+ Left,,,,Wells,J. Wells,,,23.44,Made,3.0,D. Bane,1630217.0,1.0,,,,,,,,,,
15,PT11M08.00S,2024-12-20T01:12:22.9Z,1,REGULAR,foul,offensive,[],203110,,,1610612744,6,0,2024-12-20T01:12:37Z,150000,False,,,0,,D. Green offensive FOUL (1 PF),"[203110, 1642377]",1610612744.0,GSW,,,,,,,Mid-Range,8-16 Left,101283.0,1.0,0.0,Green,D. Green,Wells,1642377.0,,,,,,,,,,,,,,,,
17,PT11M08.00S,2024-12-20T01:12:22.9Z,1,REGULAR,turnover,offensive foul,[],203110,,,1610612744,6,0,2024-12-20T01:12:37Z,170000,False,,,0,,D. Green offensive foul TURNOVER (2 TO),[203110],1610612744.0,GSW,,,,,,,Mid-Range,8-16 Left,101283.0,,,Green,D. Green,,,,,,,,,2.0,,,,,,,,,
18,PT10M54.00S,2024-12-20T01:12:42.4Z,1,REGULAR,turnover,bad pass,[],1630217,,,1610612763,6,0,2024-12-20T01:12:45Z,180000,False,,,0,,D. Bane bad pass TURNOVER (1 TO),"[1630217, 203110]",1610612763.0,MEM,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Bane,D. Bane,,,,,,,,,1.0,Green,203110.0,,,,,,,
19,PT10M54.00S,2024-12-20T01:12:42.4Z,1,REGULAR,steal,,[],203110,,,1610612744,6,0,2024-12-20T01:12:44Z,190000,False,,,0,,D. Green STEAL (1 STL),[203110],1610612744.0,GSW,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Green,D. Green,,,,,,,,,,,,,,,,,,
20,PT10M49.00S,2024-12-20T01:12:51.5Z,1,REGULAR,foul,personal,[],1628991,,,1610612744,6,0,2024-12-20T01:12:55Z,200000,False,,,0,,J. Jackson Jr. personal FOUL (1 PF),"[1628991, 203471]",1610612763.0,MEM,,,,,,,Mid-Range,8-16 Left,101283.0,1.0,0.0,Jackson Jr.,J. Jackson Jr.,Schröder,203471.0,,,,,,,,,,,,,,,,
22,PT10M42.00S,2024-12-20T01:13:18.5Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],203952,13.222733245729303,70.34313725490196,1610612744,6,0,2024-12-20T01:13:22Z,220000,False,-102.0,72.0,1,left,MISS A. Wiggins 12' step back Shot,[203952],1610612744.0,GSW,step back,,,,,,Mid-Range,8-16 Left,,,,Wiggins,A. Wiggins,,,12.45,Missed,,,,,,,,,,,,,,
23,PT10M39.00S,2024-12-20T01:13:21.5Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,6,0,2024-12-20T01:13:22Z,230000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,,,,Mid-Range,8-16 Left,,,,Bane,D. Bane,,,,,,,,,,,,22.0,1.0,1.0,0.0,,,
24,PT10M36.00S,2024-12-20T01:13:24.5Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fastbreak']",1642377,93.51182654402102,49.754901960784316,1610612763,8,0,2024-12-20T01:13:28Z,240000,False,-1.0,8.0,1,right,J. Wells running DUNK (5 PTS) (D. Bane 2 AST),"[1642377, 1630217]",1610612763.0,MEM,running,,,,,,Restricted Area,0-8 Center,,,,Wells,J. Wells,,,0.86,Made,5.0,D. Bane,1630217.0,2.0,,,,,,,,,,
26,PT10M23.00S,2024-12-20T01:13:40.1Z,1,REGULAR,foul,personal,[],1628991,,,1610612744,8,0,2024-12-20T01:13:46Z,260000,False,,,0,,J. Jackson Jr. personal FOUL (2 PF),"[1628991, 203110]",1610612763.0,MEM,,,,,,,Mid-Range,16-24 Right Center,202035.0,2.0,0.0,Jackson Jr.,J. Jackson Jr.,Green,203110.0,,,,,,,,,,,,,,,,
28,PT10M23.00S,2024-12-20T01:13:49.6Z,1,REGULAR,substitution,out,[],1628991,,,1610612744,8,0,2024-12-20T01:13:55Z,280000,False,,,0,,SUB out: J. Jackson Jr.,[1628991],1610612763.0,MEM,,,,,,,,,,,,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,,
29,PT10M23.00S,2024-12-20T01:13:49.6Z,1,REGULAR,substitution,in,[],1630583,,,1610612744,8,0,2024-12-20T01:13:55Z,290000,False,,,0,,SUB in: S. Aldama,[1630583],1610612763.0,MEM,,,,,,,,,,,,Aldama,S. Aldama,,,,,,,,,,,,,,,,,,
30,PT10M17.00S,2024-12-20T01:14:08.3Z,1,REGULAR,2pt,Jump Shot,[],203471,13.87976346911958,69.36274509803921,1610612744,8,2,2024-12-20T01:14:14Z,300000,False,-97.0,78.0,1,left,D. Schröder 12' step back Jump Shot (2 PTS),[203471],1610612744.0,GSW,step back,,,,,,Mid-Range,8-16 Left,,,,Schröder,D. Schröder,,,12.43,Made,2.0,,,,,,,,,,,,,
31,PT10M06.00S,2024-12-20T01:14:19.0Z,1,REGULAR,3pt,Jump Shot,[],1641744,67.36202365308804,59.55882352941176,1610612763,8,2,2024-12-20T01:14:23Z,310000,False,48.0,254.0,1,right,MISS Z. Edey 25' 3PT,[1641744],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Center,,,,Edey,Z. Edey,,,25.88,Missed,,,,,,,,,,,,,,
32,PT10M02.00S,2024-12-20T01:14:23.0Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,8,2,2024-12-20T01:14:23Z,320000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Center,,,,Curry,S. Curry,,,,,,,,,,,,31.0,1.0,1.0,0.0,,,
33,PT09M45.00S,2024-12-20T01:14:40.8Z,1,REGULAR,turnover,bad pass,[],201939,,,1610612744,8,2,2024-12-20T01:14:43Z,330000,False,,,0,,S. Curry bad pass TURNOVER (1 TO),"[201939, 1630217]",1610612744.0,GSW,,,,,,,In The Paint (Non-RA),8-16 Right,,,,Curry,S. Curry,,,,,,,,,1.0,Bane,1630217.0,,,,,,,
34,PT09M45.00S,2024-12-20T01:14:40.8Z,1,REGULAR,steal,,[],1630217,,,1610612763,8,2,2024-12-20T01:14:43Z,340000,False,,,0,,D. Bane STEAL (1 STL),[1630217],1610612763.0,MEM,,,,,,,In The Paint (Non-RA),8-16 Right,,,,Bane,D. Bane,,,,,,,,,,,,,,,,,,
35,PT09M37.00S,2024-12-20T01:14:48.1Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1630217,95.0886990801577,4.6568627450980395,1610612763,11,2,2024-12-20T02:20:33Z,350000,False,-227.0,-6.0,1,right,D. Bane 3PT  (6 PTS) (J. Wells 1 AST),"[1630217, 1642377]",1610612763.0,MEM,,,,,,,Left Corner 3,24+ Left,,,,Bane,D. Bane,,,22.68,Made,6.0,J. Wells,1642377.0,1.0,,,,,,,,,,
37,PT09M21.00S,2024-12-20T01:15:03.9Z,1,REGULAR,3pt,Jump Shot,[],201939,4.155716162943495,2.941176470588235,1610612744,11,2,2024-12-20T01:15:07Z,370000,False,235.0,-13.0,1,left,MISS S. Curry 3PT,[201939],1610612744.0,GSW,,,,,,,Right Corner 3,24+ Right,,,,Curry,S. Curry,,,23.57,Missed,,,,,,,,,,,,,,
38,PT09M19.00S,2024-12-20T01:15:05.9Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,11,2,2024-12-20T01:15:07Z,380000,False,,,0,,S. Aldama REBOUND (Off:0 Def:1),[1630583],1610612763.0,MEM,,,,,,,Right Corner 3,24+ Right,,,,Aldama,S. Aldama,,,,,,,,,,,,37.0,1.0,1.0,0.0,,,
