actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,pointsTotal,shotDistance,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-30T00:11:17.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-30T00:11:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-30T00:11:20.4Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2025-03-30T00:11:20Z,40000,False,,,0,,Jump Ball J. Hayes vs. Z. Edey: Tip to L. James,"[2544, 1629637, 1641744]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Hayes,1629637.0,Edey,1641744.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2025-03-30T00:11:40.1Z,1,REGULAR,foul,personal,['2freethrow'],1628991,,,1610612747,0,0,2025-03-30T00:11:44Z,70000,False,,,0,,J. Jackson Jr. shooting personal FOUL (1 PF) (Reaves 2 FT),"[1628991, 1630559]",1610612763.0,MEM,shooting,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,1155.0,1.0,0.0,Reaves,1630559.0,,,,,,,,,,,,,,,
9,PT11M41.00S,2025-03-30T00:12:00.8Z,1,REGULAR,freethrow,1 of 2,[],1630559,,,1610612747,0,1,2025-03-30T00:12:00Z,90000,False,,,0,,A. Reaves Free Throw 1 of 2 (1 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,,
10,PT11M41.00S,2025-03-30T00:12:17.0Z,1,REGULAR,freethrow,2 of 2,[],1630559,,,1610612747,0,2,2025-03-30T00:12:17Z,100000,False,,,0,,A. Reaves Free Throw 2 of 2 (2 PTS),[1630559],1610612747.0,LAL,,,,Reaves,A. Reaves,,,,,,,,,,,,Made,2.0,,,,,,,,,,,,,
11,PT11M21.00S,2025-03-30T00:12:41.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629630,7.835085413929041,45.34313725490196,1610612763,0,2,2025-03-30T00:12:45Z,110000,False,23.0,21.0,1,left,MISS J. Morant driving floating Shot,[1629630],1610612763.0,MEM,driving floating,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,,,,,,Missed,,3.14,,,,,,,,,,,,
12,PT11M19.00S,2025-03-30T00:12:43.1Z,1,REGULAR,rebound,defensive,[],1629637,,,1610612747,0,2,2025-03-30T00:12:45Z,120000,False,,,0,,J. Hayes REBOUND (Off:0 Def:1),[1629637],1610612747.0,LAL,,,,Hayes,J. Hayes,,,,,Restricted Area,0-8 Center,,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,
13,PT11M14.00S,2025-03-30T00:12:48.9Z,1,REGULAR,3pt,Jump Shot,[],1629060,84.70762155059133,94.85294117647058,1610612747,0,2,2025-03-30T00:12:54Z,130000,False,224.0,91.0,1,right,MISS R. Hachimura 24' 3PT,[1629060],1610612747.0,LAL,,,,Hachimura,R. Hachimura,,,,,Above the Break 3,24+ Right,,,,,,Missed,,24.21,,,,,,,,,,,,
14,PT11M11.00S,2025-03-30T00:12:51.9Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,0,2,2025-03-30T00:12:54Z,140000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Above the Break 3,24+ Right,,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,
15,PT11M05.00S,2025-03-30T00:12:58.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1641744,6.1268068331143235,48.03921568627451,1610612763,2,2,2025-03-30T00:13:04Z,150000,False,10.0,5.0,1,left,Z. Edey driving Layup (2 PTS) (D. Bane 1 AST),"[1641744, 1630217]",1610612763.0,MEM,driving,,,Edey,Z. Edey,,,,,Restricted Area,0-8 Center,,,,,,Made,2.0,1.1,,,,,D. Bane,1630217.0,1.0,,,,,
18,PT10M43.00S,2025-03-30T00:13:23.7Z,1,REGULAR,2pt,Jump Shot,[],1629029,93.77463863337714,10.53921568627451,1610612747,2,4,2025-03-30T00:13:33Z,180000,False,-197.0,6.0,1,right,L. Dončić 19' fadeaway Jump Shot (2 PTS),[1629029],1610612747.0,LAL,fadeaway,,,Dončić,L. Dončić,,,,,Mid-Range,16-24 Left,,,,,,Made,2.0,19.74,,,,,,,,,,,,
19,PT10M28.00S,2025-03-30T00:13:38.9Z,1,REGULAR,turnover,bad pass,[],1628991,,,1610612763,2,4,2025-03-30T00:13:42Z,190000,False,,,0,,J. Jackson Jr. bad pass TURNOVER (1 TO),"[1628991, 2544]",1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,1.0,James,2544.0,,
20,PT10M28.00S,2025-03-30T00:13:38.9Z,1,REGULAR,steal,,[],2544,,,1610612747,2,4,2025-03-30T00:13:40Z,200000,False,,,0,,L. James STEAL (1 STL),[2544],1610612747.0,LAL,,,,James,L. James,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
21,PT10M23.00S,2025-03-30T00:13:44.2Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",2544,92.9862023653088,44.85294117647059,1610612747,2,4,2025-03-30T00:13:50Z,210000,False,-26.0,13.0,1,right,MISS L. James running Layup,[2544],1610612747.0,LAL,running,,,James,L. James,,,,,Restricted Area,0-8 Center,,,,,,Missed,,2.9,,,,,,,,,,,,
22,PT10M20.00S,2025-03-30T00:13:47.2Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,2,4,2025-03-30T00:14:15Z,220000,False,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,
