actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-03-13T00:10:22.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-13T00:10:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-13T00:10:25.0Z,1,REGULAR,jumpball,recovered,[],1628374,,,1610612762,0,0,2025-03-13T00:10:25Z,40000,False,,,0,,Jump Ball W. Kessler vs. Z. Edey: Tip to L. Markkanen,"[1628374, 1631117, 1641744]",1610612762.0,UTA,startperiod,L. Markkanen,1628374.0,Markkanen,L. Markkanen,Kessler,1631117.0,Edey,1641744.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-03-13T00:10:41.4Z,1,REGULAR,3pt,Jump Shot,[],1642268,29.911300919842315,71.07843137254902,1610612762,0,3,2025-03-13T00:10:46Z,70000,False,-105.0,229.0,1,left,I. Collier 25' 3PT pullup (3 PTS),[1642268],1610612762.0,UTA,pullup,,,Collier,I. Collier,,,,,Above the Break 3,24+ Left Center,25.18,Made,3.0,,,,,,,,,,,,,,,,,
8,PT11M24.00S,2025-03-13T00:10:57.2Z,1,REGULAR,3pt,Jump Shot,[],1642377,69.72733245729303,74.26470588235294,1610612763,0,3,2025-03-13T00:11:01Z,80000,False,121.0,232.0,1,right,MISS J. Wells 26' 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Above the Break 3,24+ Right Center,26.19,Missed,,,,,,,,,,,,,,,,,,
9,PT11M21.00S,2025-03-13T00:11:00.2Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,0,3,2025-03-13T00:11:01Z,90000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M16.00S,2025-03-13T00:11:05.6Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1628374,33.065045992115635,53.67647058823529,1610612762,0,6,2025-03-13T00:11:11Z,100000,False,-18.0,258.0,1,left,L. Markkanen 25' 3PT running (3 PTS) (C. Sexton 1 AST),"[1628374, 1629012]",1610612762.0,UTA,running,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,25.9,Made,3.0,,,,,C. Sexton,1629012.0,1.0,,,,,,,,,,
12,PT11M06.00S,2025-03-13T00:11:15.1Z,1,REGULAR,3pt,Jump Shot,[],1629630,70.12155059132719,23.284313725490197,1610612763,3,6,2025-03-13T00:11:19Z,120000,False,-134.0,228.0,1,right,J. Morant 26' 3PT pullup (3 PTS),[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,Above the Break 3,24+ Left Center,26.46,Made,3.0,,,,,,,,,,,,,,,,,
13,PT10M49.00S,2025-03-13T00:11:31.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628381,19.136005256241788,48.28431372549019,1610612762,3,8,2025-03-13T00:11:36Z,130000,False,9.0,127.0,1,left,J. Collins 12' fadeaway Jump Shot (2 PTS),[1628381],1610612762.0,UTA,fadeaway,,,Collins,J. Collins,,,,,In The Paint (Non-RA),8-16 Center,12.77,Made,2.0,,,,,,,,,,,,,,,,,
14,PT10M35.00S,2025-03-13T00:11:45.9Z,1,REGULAR,3pt,Jump Shot,[],1641713,68.80749014454665,70.58823529411765,1610612763,6,8,2025-03-13T00:11:49Z,140000,False,103.0,241.0,1,right,G. Jackson 26' 3PT step back (3 PTS) (J. Morant 1 AST),"[1641713, 1629630]",1610612763.0,MEM,step back,,,Jackson,G. Jackson,,,,,Above the Break 3,24+ Right Center,26.18,Made,3.0,,,,,J. Morant,1629630.0,1.0,,,,,,,,,,
16,PT10M13.00S,2025-03-13T00:12:10.6Z,1,REGULAR,turnover,out-of-bounds,[],1629012,,,1610612762,6,8,2025-03-13T00:12:18Z,160000,False,,,0,,C. Sexton lost ball out-of-bounds TURNOVER (1 TO),[1629012],1610612762.0,UTA,lost ball,,,Sexton,C. Sexton,,,,,Mid-Range,8-16 Right,,,,,,,,,,,1628171.0,1.0,,,,,,,,
17,PT10M05.00S,2025-03-13T00:12:25.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1629630,93.9060446780552,41.66666666666667,1610612763,8,8,2025-03-13T00:12:30Z,170000,False,-42.0,5.0,1,right,J. Morant driving floating bank Jump Shot (5 PTS),[1629630],1610612763.0,MEM,driving floating bank,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,4.2,Made,5.0,,,,,,,,,,,,,,,,,
18,PT09M40.00S,2025-03-13T00:12:50.0Z,1,REGULAR,2pt,Jump Shot,[],1628381,14.931011826544022,20.833333333333336,1610612762,8,10,2025-03-13T00:12:54Z,180000,False,146.0,88.0,1,left,J. Collins 17' pullup Jump Shot (4 PTS) (W. Kessler 1 AST),"[1628381, 1631117]",1610612762.0,UTA,pullup,,,Collins,J. Collins,,,,,Mid-Range,16-24 Right,17.02,Made,4.0,,,,,W. Kessler,1631117.0,1.0,,,,,,,,,,
19,PT09M27.00S,2025-03-13T00:13:04.7Z,1,REGULAR,foul,personal,['2freethrow'],1642268,,,1610612763,8,10,2025-03-13T00:13:24Z,190000,False,,,0,,I. Collier shooting personal FOUL (1 PF) (Morant 2 FT),"[1642268, 1629630]",1610612762.0,UTA,shooting,,,Collier,I. Collier,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,2530.0,,1.0,0.0,Morant,1629630.0,,,,
21,PT09M27.00S,2025-03-13T00:13:26.8Z,1,REGULAR,freethrow,1 of 2,[],1629630,,,1610612763,8,10,2025-03-13T00:13:26Z,210000,False,,,0,,MISS J. Morant Free Throw 1 of 2,[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
