actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-16T00:10:50.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-16T00:10:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-03-16T00:11:07.6Z,1,REGULAR,jumpball,recovered,[],0,,,1610612763,0,0,2025-03-16T00:11:07Z,40000,False,,,0,,Jump Ball Z. Edey vs. K. Ware: Tip to Team (MEM),"[1641744, 1642276]",1610612763.0,MEM,startperiod,Team (MEM),Edey,1641744.0,Ware,1642276.0,,,,,,,,,,,,,,,,,,,,,,,,
7,PT11M55.00S,2025-03-16T00:11:13.7Z,1,REGULAR,3pt,Jump Shot,[],1630217,24.78646517739816,14.950980392156863,1610612763,3,0,2025-03-16T00:11:16Z,70000,False,175.0,180.0,1,left,D. Bane 25' 3PT  (3 PTS) (L. Kennard 1 AST),"[1630217, 1628379]",1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,25.15,Made,3.0,Bane,D. Bane,L. Kennard,1628379.0,1.0,,,,,,,,,,,,,,
9,PT11M27.00S,2025-03-16T00:11:41.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,81.553876478318,57.59803921568627,1610612748,3,2,2025-03-16T00:11:46Z,90000,False,38.0,121.0,1,right,T. Herro 12' driving floating Jump Shot (2 PTS) (K. Ware 1 AST),"[1629639, 1642276]",1610612748.0,MIA,driving floating,,,,,,In The Paint (Non-RA),8-16 Center,12.67,Made,2.0,Herro,T. Herro,K. Ware,1642276.0,1.0,,,,,,,,,,,,,,
11,PT11M00.00S,2025-03-16T00:12:08.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630217,7.966491458607096,43.627450980392155,1610612763,5,2,2025-03-16T00:29:16Z,110000,False,32.0,22.0,1,left,D. Bane driving bank Hook (5 PTS),[1630217],1610612763.0,MEM,driving bank,,,,,,Restricted Area,0-8 Center,3.9,Made,5.0,Bane,D. Bane,,,,,,,,,,,,,,,,,
12,PT10M45.00S,2025-03-16T00:12:23.4Z,1,REGULAR,3pt,Jump Shot,[],1629130,78.40013140604468,91.42156862745098,1610612748,5,2,2025-03-16T00:12:27Z,120000,False,207.0,151.0,1,right,MISS D. Robinson 25' pullup 3PT,[1629130],1610612748.0,MIA,pullup,,,,,,Above the Break 3,24+ Right Center,25.6,Missed,,Robinson,D. Robinson,,,,,,,,,,,,,,,,,
13,PT10M42.00S,2025-03-16T00:12:26.4Z,1,REGULAR,rebound,defensive,[],1628991,,,1610612763,5,2,2025-03-16T00:12:27Z,130000,False,,,0,,J. Jackson Jr. REBOUND (Off:0 Def:1),[1628991],1610612763.0,MEM,,,,,,,Above the Break 3,24+ Right Center,,,,Jackson Jr.,J. Jackson Jr.,,,,12.0,1.0,1.0,0.0,,,,,,,,,,
14,PT10M39.00S,2025-03-16T00:12:32.8Z,1,REGULAR,foul,personal,['2freethrow'],1642276,,,1610612763,5,2,2025-03-16T00:12:40Z,140000,False,,,0,,K. Ware shooting personal FOUL (1 PF) (Jackson Jr. 2 FT),"[1642276, 1628991]",1610612748.0,MIA,shooting,,,,,,Restricted Area,0-8 Center,,,,Ware,K. Ware,,,,,,,,1628159.0,1.0,0.0,Jackson Jr.,1628991.0,,,,,
16,PT10M39.00S,2025-03-16T00:12:56.8Z,1,REGULAR,freethrow,1 of 2,['fastbreak'],1628991,,,1610612763,6,2,2025-03-16T00:12:56Z,160000,False,,,0,,J. Jackson Jr. Free Throw 1 of 2 (1 PTS),[1628991],1610612763.0,MEM,,,,,,,,,,Made,1.0,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
17,PT10M39.00S,2025-03-16T00:13:11.1Z,1,REGULAR,freethrow,2 of 2,['fastbreak'],1628991,,,1610612763,7,2,2025-03-16T00:13:11Z,170000,False,,,0,,J. Jackson Jr. Free Throw 2 of 2 (2 PTS),[1628991],1610612763.0,MEM,,,,,,,,,,Made,2.0,Jackson Jr.,J. Jackson Jr.,,,,,,,,,,,,,,,,,
18,PT10M27.00S,2025-03-16T00:13:25.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629639,88.38699080157687,37.00980392156863,1610612748,7,2,2025-03-16T00:13:28Z,180000,False,-65.0,57.0,1,right,MISS T. Herro 8' driving floating bank Shot,[1629639],1610612748.0,MIA,driving floating bank,,,,,,In The Paint (Non-RA),8-16 Left,8.63,Missed,,Herro,T. Herro,,,,,,,,,,,,,,,,,
