actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId,officialId,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2025-03-06T02:43:50.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-06T02:43:50Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2025-03-06T02:43:52.9Z,1,REGULAR,jumpball,recovered,[],1630217,,,1610612763,0,0,2025-03-06T02:43:53Z,40000,False,,,0,,Jump Ball Z. Edey vs. I. Hartenstein: Tip to D. Bane,"[1630217, 1641744, 1628392]",1610612763.0,MEM,startperiod,D. Bane,1630217.0,Bane,D. Bane,Edey,1641744.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2025-03-06T02:44:05.9Z,1,REGULAR,2pt,Jump Shot,[],1630217,9.543363994743759,67.40196078431373,1610612763,0,0,2025-03-06T02:44:14Z,70000,False,-87.0,37.0,1,left,MISS D. Bane 9' driving floating bank Shot,[1630217],1610612763.0,MEM,driving floating bank,,,Bane,D. Bane,,,,,Mid-Range,8-16 Left,9.46,Missed,,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2025-03-06T02:44:11.9Z,1,REGULAR,rebound,defensive,[],1641717,,,1610612760,0,0,2025-03-06T02:44:14Z,80000,False,,,0,,C. Wallace REBOUND (Off:0 Def:1),[1641717],1610612760.0,OKC,,,,Wallace,C. Wallace,,,,,Mid-Range,8-16 Left,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M38.00S,2025-03-06T02:44:12.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1641717,93.24901445466492,48.28431372549019,1610612760,0,2,2025-03-06T02:44:18Z,90000,False,-9.0,11.0,1,right,C. Wallace running reverse Layup (2 PTS),[1641717],1610612760.0,OKC,running reverse,,,Wallace,C. Wallace,,,,,Restricted Area,0-8 Center,1.4,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M25.00S,2025-03-06T02:44:25.0Z,1,REGULAR,turnover,bad pass,[],1629630,,,1610612763,0,2,2025-03-06T02:44:29Z,100000,False,,,0,,J. Morant bad pass TURNOVER (1 TO),"[1629630, 1629652]",1610612763.0,MEM,,,,Morant,J. Morant,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,1.0,Dort,1629652.0,,,,,,,,,,
11,PT11M25.00S,2025-03-06T02:44:25.0Z,1,REGULAR,steal,,[],1629652,,,1610612760,0,2,2025-03-06T02:51:06Z,110000,False,,,0,,L. Dort STEAL (1 STL),[1629652],1610612760.0,OKC,,,,Dort,L. Dort,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
12,PT11M21.00S,2025-03-06T02:44:29.4Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1631114,89.70105124835742,48.03921568627451,1610612760,0,2,2025-03-06T02:44:35Z,120000,False,-10.0,44.0,1,right,MISS J. Williams running finger roll Layup,[1631114],1610612760.0,OKC,running finger roll,,,Williams,J. Williams,,,,,In The Paint (Non-RA),0-8 Center,4.54,Missed,,,,,,,,,,,,,,,,,,
13,PT11M16.00S,2025-03-06T02:44:34.3Z,1,REGULAR,rebound,defensive,[],1641744,,,1610612763,0,2,2025-03-06T02:44:34Z,130000,False,,,0,,Z. Edey REBOUND (Off:0 Def:1),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,In The Paint (Non-RA),0-8 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M05.00S,2025-03-06T02:44:45.4Z,1,REGULAR,2pt,Jump Shot,[],1629630,11.383048620236531,68.38235294117648,1610612763,0,2,2025-03-06T03:10:32Z,140000,False,-92.0,55.0,1,left,MISS J. Morant 10' pullup Shot,[1629630],1610612763.0,MEM,pullup,,,Morant,J. Morant,,,,,Mid-Range,8-16 Left,10.68,Missed,,,,,,,,,,,,,,,,,,
15,PT11M01.00S,2025-03-06T02:44:49.4Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612760,0,2,2025-03-06T02:44:50Z,150000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,Mid-Range,8-16 Left,,,14.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M52.00S,2025-03-06T02:44:57.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628983,88.25558475689881,39.705882352941174,1610612760,0,2,2025-03-06T02:45:06Z,160000,False,-51.0,58.0,1,right,MISS S. Gilgeous-Alexander 7' floating Shot,[1628983],1610612760.0,OKC,floating,,,Gilgeous-Alexander,S. Gilgeous-Alexander,,,,,In The Paint (Non-RA),0-8 Center,7.75,Missed,,,,,,,,,,,,,,,,,,
17,PT10M49.00S,2025-03-06T02:45:00.2Z,1,REGULAR,rebound,defensive,[],1641744,,,1610612763,0,2,2025-03-06T02:45:06Z,170000,False,,,0,,Z. Edey REBOUND (Off:0 Def:2),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,In The Paint (Non-RA),0-8 Center,,,16.0,2.0,2.0,0.0,,,,,,,,,,,,,,
18,PT10M45.00S,2025-03-06T02:45:06.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1630217,9.937582128777924,35.294117647058826,1610612763,0,2,2025-03-06T02:45:13Z,180000,False,74.0,41.0,1,left,MISS D. Bane 8' driving floating Shot - blocked,"[1630217, 1631114]",1610612763.0,MEM,driving floating,,,Bane,D. Bane,,,,,In The Paint (Non-RA),8-16 Right,8.41,Missed,,,,,,,,,Williams,1631114.0,,,,,,,,
19,PT10M45.00S,2025-03-06T02:45:06.6Z,1,REGULAR,block,,[],1631114,,,1610612763,0,2,2025-03-06T02:45:09Z,190000,False,,,0,,J. Williams BLOCK (1 BLK),[1631114],1610612760.0,OKC,,,,Williams,J. Williams,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
20,PT10M45.00S,2025-03-06T02:45:06.6Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,0,2,2025-03-06T02:45:13Z,200000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,In The Paint (Non-RA),8-16 Right,,,18.0,,,,,,,,,,,,,,,,,
22,PT10M43.00S,2025-03-06T02:45:28.6Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1630217,5.995400788436268,13.970588235294118,1610612763,0,2,2025-03-06T02:45:33Z,220000,False,180.0,4.0,1,left,MISS D. Bane 18' Jump Shot,[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,16-24 Right,18.01,Missed,,,,,,,,,,,,,,,,,,
23,PT10M39.00S,2025-03-06T02:45:32.6Z,1,REGULAR,rebound,offensive,[],1642377,,,1610612763,0,2,2025-03-06T02:45:33Z,230000,False,,,0,,J. Wells REBOUND (Off:1 Def:0),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Mid-Range,16-24 Right,,,22.0,1.0,0.0,1.0,,,,,,,,,,,,,,
24,PT10M39.00S,2025-03-06T02:45:35.3Z,1,REGULAR,turnover,out-of-bounds,[],1642377,,,1610612763,0,2,2025-03-06T02:45:45Z,240000,False,,,0,,J. Wells bad pass out-of-bounds TURNOVER (1 TO),[1642377],1610612763.0,MEM,bad pass,,,Wells,J. Wells,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,1.0,,,,,2003.0,,,,,,,
25,PT10M26.00S,2025-03-06T02:45:54.6Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1628392,80.89684625492772,45.588235294117645,1610612760,0,2,2025-03-06T02:49:07Z,250000,False,-22.0,127.0,1,right,MISS I. Hartenstein 12' Jump Shot - blocked,"[1628392, 1630217]",1610612760.0,OKC,,,,Hartenstein,I. Hartenstein,,,,,In The Paint (Non-RA),8-16 Center,12.9,Missed,,,,,,,,,Bane,1630217.0,,,,,,,,
27,PT10M26.00S,2025-03-06T02:45:54.6Z,1,REGULAR,block,,[],1630217,,,1610612760,0,2,2025-03-06T02:46:05Z,255000,False,,,0,,D. Bane BLOCK (1 BLK),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
26,PT10M26.00S,2025-03-06T02:45:54.6Z,1,REGULAR,rebound,defensive,[],1631246,,,1610612763,0,2,2025-03-06T02:46:05Z,260000,False,,,0,,V. Williams Jr. REBOUND (Off:0 Def:1),[1631246],1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,25.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT10M13.00S,2025-03-06T02:46:07.8Z,1,REGULAR,3pt,Jump Shot,[],1631246,5.469776609724048,95.83333333333334,1610612763,3,2,2025-03-06T02:46:11Z,270000,False,-229.0,-1.0,1,left,V. Williams Jr. 3PT  (3 PTS) (J. Morant 1 AST),"[1631246, 1629630]",1610612763.0,MEM,,,,Williams Jr.,V. Williams Jr.,,,,,Left Corner 3,24+ Left,22.92,Made,,,,,3.0,,,,,,,J. Morant,1629630.0,1.0,,,,
