actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2024-12-14T01:11:45.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-12-14T01:11:45Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-12-14T01:11:47.2Z,1,REGULAR,jumpball,recovered,[],1629634,,,1610612763,0,0,2024-12-14T01:11:47Z,40000,False,,,0,,Jump Ball J. Jackson Jr. vs. N. Claxton: Tip to B. Clarke,"[1629634, 1628991, 1629651]",1610612763.0,MEM,startperiod,B. Clarke,1629634.0,Clarke,B. Clarke,Jackson Jr.,1628991.0,Claxton,1629651.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M41.00S,2024-12-14T01:12:04.6Z,1,REGULAR,3pt,Jump Shot,[],1630217,9.149145860709593,2.941176470588235,1610612763,0,0,2024-12-14T01:12:09Z,70000,False,235.0,34.0,1,left,MISS D. Bane pullup 3PT,[1630217],1610612763.0,MEM,pullup,,,Bane,D. Bane,,,,,Right Corner 3,24+ Right,23.77,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2024-12-14T01:12:08.6Z,1,REGULAR,rebound,defensive,[],203471,,,1610612751,0,0,2024-12-14T01:12:09Z,80000,False,,,0,,D. Schröder REBOUND (Off:0 Def:1),[203471],1610612751.0,BKN,,,,Schröder,D. Schröder,,,,,Right Corner 3,24+ Right,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M24.00S,2024-12-14T01:12:21.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630553,91.80354796320631,48.03921568627451,1610612751,0,0,2024-12-14T01:12:25Z,90000,False,-10.0,25.0,1,right,MISS K. Johnson cutting Layup - blocked,"[1630553, 1630217]",1610612751.0,BKN,cutting,,,Johnson,K. Johnson,,,,,Restricted Area,0-8 Center,2.64,Missed,,,,,Bane,1630217.0,,,,,,,,,,,,
10,PT11M24.00S,2024-12-14T01:12:21.1Z,1,REGULAR,block,,[],1630217,,,1610612751,0,0,2024-12-14T01:12:22Z,100000,False,,,0,,D. Bane BLOCK (1 BLK),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2024-12-14T01:12:24.1Z,1,REGULAR,rebound,defensive,[],1629630,,,1610612763,0,0,2024-12-14T01:12:25Z,110000,False,,,0,,J. Morant REBOUND (Off:0 Def:1),[1629630],1610612763.0,MEM,,,,Morant,J. Morant,,,,,Restricted Area,0-8 Center,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M18.00S,2024-12-14T01:12:26.1Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fastbreak']",1629630,10.5946123521682,50.73529411764706,1610612763,0,0,2024-12-14T01:12:38Z,120000,False,-4.0,47.0,1,left,MISS J. Morant running pullup Shot,[1629630],1610612763.0,MEM,running pullup,,,Morant,J. Morant,,,,,In The Paint (Non-RA),0-8 Center,4.72,Missed,,,,,,,,,,,,,,,,,,
13,PT11M14.00S,2024-12-14T01:12:30.1Z,1,REGULAR,rebound,defensive,[],1630553,,,1610612751,0,0,2024-12-14T01:12:38Z,130000,False,,,0,,K. Johnson REBOUND (Off:0 Def:1),[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,In The Paint (Non-RA),0-8 Center,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,,
14,PT11M06.00S,2024-12-14T01:12:38.2Z,1,REGULAR,3pt,Jump Shot,[],1630553,69.07030223390277,67.64705882352942,1610612751,0,0,2024-12-14T01:12:44Z,140000,False,88.0,238.0,1,right,MISS K. Johnson 25' 3PT,[1630553],1610612751.0,BKN,,,,Johnson,K. Johnson,,,,,Above the Break 3,24+ Right Center,25.4,Missed,,,,,,,,,,,,,,,,,,
