actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-03-04T01:10:17.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-04T01:10:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2025-03-04T01:10:20.1Z,1,REGULAR,jumpball,recovered,[],1629027,,,1610612737,0,0,2025-03-04T01:10:20Z,40000,False,,,0,,Jump Ball O. Okongwu vs. Z. Edey: Tip to T. Young,"[1629027, 1630168, 1641744]",1610612737.0,ATL,startperiod,T. Young,1629027.0,Young,T. Young,Okongwu,1630168.0,Edey,1641744.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2025-03-04T01:10:34.1Z,1,REGULAR,turnover,bad pass,[],1629027,,,1610612737,0,0,2025-03-04T01:10:37Z,70000,False,,,0,,T. Young bad pass TURNOVER (1 TO),"[1629027, 1642377]",1610612737.0,ATL,,,,Young,T. Young,,,,,Mid-Range,8-16 Right,1.0,Wells,1642377.0,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2025-03-04T01:10:34.1Z,1,REGULAR,steal,,[],1642377,,,1610612763,0,0,2025-03-04T01:10:35Z,80000,False,,,0,,J. Wells STEAL (1 STL),[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Mid-Range,8-16 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M34.00S,2025-03-04T01:10:42.9Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1642377,5.469776609724048,95.83333333333334,1610612763,0,0,2025-03-04T01:10:51Z,90000,False,-229.0,-1.0,1,left,MISS J. Wells 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Left Corner 3,24+ Left,,,,22.92,Missed,,,,,,,,,,,,,,,
10,PT11M31.00S,2025-03-04T01:10:50.4Z,1,REGULAR,rebound,offensive,['team'],0,,,1610612763,0,0,2025-03-04T01:10:50Z,100000,False,,,0,,TEAM offensive REBOUND,[],1610612763.0,MEM,,,,,,,,,,Left Corner 3,24+ Left,,,,,,9.0,,,,,,,,,,,,,,
11,PT11M31.00S,2025-03-04T01:10:51.0Z,1,REGULAR,foul,personal,[],1630168,,,1610612763,0,0,2025-03-04T01:11:04Z,110000,False,,,0,,O. Okongwu loose ball personal FOUL (1 PF),"[1630168, 1641744]",1610612737.0,ATL,loose ball,,,Okongwu,O. Okongwu,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1626300.0,1.0,0.0,Edey,1641744.0,,,,,,,,,
13,PT11M17.00S,2025-03-04T01:11:21.4Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",1642377,12.565703022339028,77.94117647058823,1610612763,0,0,2025-03-04T01:11:26Z,130000,False,-140.0,66.0,1,left,MISS J. Wells 15' turnaround Shot,[1642377],1610612763.0,MEM,turnaround,,,Wells,J. Wells,,,,,Mid-Range,8-16 Left,,,,15.43,Missed,,,,,,,,,,,,,,,
14,PT11M14.00S,2025-03-04T01:11:24.4Z,1,REGULAR,rebound,defensive,[],1630168,,,1610612737,0,0,2025-03-04T01:11:26Z,140000,False,,,0,,O. Okongwu REBOUND (Off:0 Def:1),[1630168],1610612737.0,ATL,,,,Okongwu,O. Okongwu,,,,,Mid-Range,8-16 Left,,,,,,13.0,,,,,,1.0,1.0,0.0,,,,,,
15,PT11M07.00S,2025-03-04T01:11:31.8Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1630700,86.67871222076215,39.950980392156865,1610612737,0,2,2025-03-04T01:11:36Z,150000,False,-50.0,73.0,1,right,D. Daniels 8' driving floating Jump Shot (2 PTS),[1630700],1610612737.0,ATL,driving floating,,,Daniels,D. Daniels,,,,,In The Paint (Non-RA),8-16 Left,,,,8.83,Made,,,,,,,,,,2.0,,,,,
