actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2024-10-29T00:10:35.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2024-10-29T00:10:35Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2024-10-29T00:10:36.9Z,1,REGULAR,jumpball,recovered,[],203935,,,1610612763,0,0,2024-10-29T00:10:36Z,40000,False,,,0,,Jump Ball Z. Edey vs. N. Vučević: Tip to M. Smart,"[203935, 1641744, 202696]",1610612763.0,MEM,startperiod,M. Smart,203935.0,Smart,M. Smart,Edey,1641744.0,Vučević,202696.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2024-10-29T00:10:50.8Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1628991,84.70762155059133,49.50980392156863,1610612763,2,0,2024-10-29T00:10:54Z,70000,False,-2.0,91.0,1,right,J. Jackson Jr. 9' driving Hook (2 PTS) (S. Aldama 1 AST),"[1628991, 1630583]",1610612763.0,MEM,driving,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),8-16 Center,9.12,Made,2.0,S. Aldama,1630583.0,1.0,,,,,,,,,,,,,,
9,PT11M19.00S,2024-10-29T00:11:14.8Z,1,REGULAR,3pt,Jump Shot,[],1630581,31.488173455978973,63.48039215686274,1610612741,2,0,2024-10-29T00:11:19Z,90000,False,-67.0,243.0,1,left,MISS J. Giddey 25' 3PT,[1630581],1610612741.0,CHI,,,,Giddey,J. Giddey,,,,,Above the Break 3,24+ Center,25.27,Missed,,,,,,,,,,,,,,,,,,
10,PT11M16.00S,2024-10-29T00:11:17.8Z,1,REGULAR,rebound,defensive,[],1630583,,,1610612763,2,0,2024-10-29T00:11:19Z,100000,False,,,0,,S. Aldama REBOUND (Off:0 Def:1),[1630583],1610612763.0,MEM,,,,Aldama,S. Aldama,,,,,Above the Break 3,24+ Center,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M13.00S,2024-10-29T00:11:21.1Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],1630217,66.5735873850197,41.17647058823529,1610612763,5,0,2024-10-29T00:11:24Z,110000,False,-44.0,262.0,1,right,D. Bane 26' 3PT running pullup (3 PTS) (S. Aldama 2 AST),"[1630217, 1630583]",1610612763.0,MEM,running pullup,,,Bane,D. Bane,,,,,Above the Break 3,24+ Center,26.54,Made,3.0,S. Aldama,1630583.0,2.0,,,,,,,,,,,,,,
13,PT10M54.00S,2024-10-29T00:11:57.2Z,1,REGULAR,3pt,Jump Shot,[],1630172,33.196452036793694,34.80392156862745,1610612741,5,0,2024-10-29T00:12:00Z,130000,False,76.0,260.0,1,left,MISS P. Williams 27' 3PT,[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Center,27.04,Missed,,,,,,,,,,,,,,,,,,
14,PT10M51.00S,2024-10-29T00:12:00.2Z,1,REGULAR,rebound,defensive,[],1641744,,,1610612763,5,0,2024-10-29T00:12:00Z,140000,False,,,0,,Z. Edey REBOUND (Off:0 Def:1),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Above the Break 3,24+ Center,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,,
15,PT10M36.00S,2024-10-29T00:12:15.1Z,1,REGULAR,3pt,Jump Shot,[],203935,67.23061760840999,27.941176470588236,1610612763,5,0,2024-10-29T00:12:18Z,150000,False,-110.0,256.0,1,right,MISS M. Smart 27' 3PT,[203935],1610612763.0,MEM,,,,Smart,M. Smart,,,,,Above the Break 3,24+ Left Center,27.83,Missed,,,,,,,,,,,,,,,,,,
16,PT10M33.00S,2024-10-29T00:12:18.1Z,1,REGULAR,rebound,defensive,[],1630172,,,1610612741,5,0,2024-10-29T00:12:18Z,160000,False,,,0,,P. Williams REBOUND (Off:0 Def:1),[1630172],1610612741.0,CHI,,,,Williams,P. Williams,,,,,Above the Break 3,24+ Left Center,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,,
17,PT10M28.00S,2024-10-29T00:12:25.0Z,1,REGULAR,foul,personal,[],1641744,,,1610612741,5,0,2024-10-29T00:12:33Z,170000,False,,,0,,Z. Edey personal FOUL (1 PF),"[1641744, 202696]",1610612763.0,MEM,,,,Edey,Z. Edey,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,201638.0,1.0,0.0,Vučević,202696.0,,,,,
20,PT10M23.00S,2024-10-29T00:12:47.1Z,1,REGULAR,3pt,Jump Shot,[],203897,29.517082785808146,73.0392156862745,1610612741,5,0,2024-10-29T00:12:50Z,190000,False,-115.0,225.0,1,left,MISS Z. LaVine 25' step back 3PT,[203897],1610612741.0,CHI,step back,,,LaVine,Z. LaVine,,,,,Above the Break 3,24+ Left Center,25.28,Missed,,,,,,,,,,,,,,,,,,
21,PT10M21.00S,2024-10-29T00:12:49.1Z,1,REGULAR,rebound,defensive,[],1641744,,,1610612763,5,0,2024-10-29T00:12:50Z,200000,False,,,0,,Z. Edey REBOUND (Off:0 Def:2),[1641744],1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Above the Break 3,24+ Left Center,,,,,,,20.0,2.0,2.0,0.0,,,,,,,,,,
