actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,assistPlayerNameInitial,assistPersonId,assistTotal
2,PT12M00.00S,2025-03-01T01:10:29.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-03-01T01:10:29Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M55.00S,2025-03-01T01:10:33.6Z,1,REGULAR,jumpball,recovered,[],1642377,,,1610612763,0,0,2025-03-01T01:10:33Z,40000,False,,,0,,Jump Ball Z. Edey vs. K. Towns: Tip to J. Wells,"[1642377, 1641744, 1626157]",1610612763.0,MEM,startperiod,J. Wells,1642377.0,Wells,J. Wells,Edey,1641744.0,Towns,1626157.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M40.00S,2025-03-01T01:10:48.4Z,1,REGULAR,turnover,bad pass,[],1630217,,,1610612763,0,0,2025-03-01T01:10:52Z,70000,False,,,0,,D. Bane bad pass TURNOVER (1 TO),"[1630217, 1628384]",1610612763.0,MEM,,,,Bane,D. Bane,,,,,In The Paint (Non-RA),8-16 Right,1.0,Anunoby,1628384.0,,,,,,,,,,,,,,,,,
8,PT11M40.00S,2025-03-01T01:10:48.4Z,1,REGULAR,steal,,[],1628384,,,1610612752,0,0,2025-03-01T01:10:50Z,80000,False,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,In The Paint (Non-RA),8-16 Right,,,,,,,,,,,,,,,,,,,,
9,PT11M21.00S,2025-03-01T01:11:07.3Z,1,REGULAR,2pt,Jump Shot,['fromturnover'],1628973,81.02825229960578,79.90196078431373,1610612752,0,0,2025-03-01T01:11:10Z,90000,False,150.0,126.0,1,right,MISS J. Brunson 19' step back Shot,[1628973],1610612752.0,NYK,step back,,,Brunson,J. Brunson,,,,,Mid-Range,16-24 Right Center,,,,19.54,Missed,,,,,,,,,,,,,,,
10,PT11M18.00S,2025-03-01T01:11:10.3Z,1,REGULAR,rebound,defensive,[],1630217,,,1610612763,0,0,2025-03-01T01:11:10Z,100000,False,,,0,,D. Bane REBOUND (Off:0 Def:1),[1630217],1610612763.0,MEM,,,,Bane,D. Bane,,,,,Mid-Range,16-24 Right Center,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,,
11,PT11M12.00S,2025-03-01T01:11:15.8Z,1,REGULAR,3pt,Jump Shot,[],1642377,12.828515111695138,3.6764705882352944,1610612763,0,0,2025-03-01T01:11:22Z,110000,False,232.0,68.0,1,left,MISS J. Wells 24' 3PT,[1642377],1610612763.0,MEM,,,,Wells,J. Wells,,,,,Right Corner 3,24+ Right,,,,24.14,Missed,,,,,,,,,,,,,,,
12,PT11M10.00S,2025-03-01T01:11:17.8Z,1,REGULAR,rebound,defensive,[],1628404,,,1610612752,0,0,2025-03-01T01:11:19Z,120000,False,,,0,,J. Hart REBOUND (Off:0 Def:1),[1628404],1610612752.0,NYK,,,,Hart,J. Hart,,,,,Right Corner 3,24+ Right,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,,,
13,PT11M04.00S,2025-03-01T01:11:24.9Z,1,REGULAR,3pt,Jump Shot,[],1626157,67.09921156373193,55.88235294117647,1610612752,0,0,2025-03-01T01:11:29Z,130000,False,29.0,257.0,1,right,MISS K. Towns 25' step back 3PT,[1626157],1610612752.0,NYK,step back,,,Towns,K. Towns,,,,,Above the Break 3,24+ Center,,,,25.85,Missed,,,,,,,,,,,,,,,
14,PT11M01.00S,2025-03-01T01:11:28.0Z,1,REGULAR,rebound,offensive,[],1628973,,,1610612752,0,0,2025-03-01T01:11:28Z,140000,False,,,0,,J. Brunson REBOUND (Off:1 Def:0),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Center,,,,,,13.0,1.0,0.0,1.0,,,,,,,,,,,
15,PT10M57.00S,2025-03-01T01:11:31.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628384,80.89684625492772,5.147058823529411,1610612752,0,0,2025-03-01T01:11:34Z,150000,False,-224.0,127.0,1,right,MISS O. Anunoby 25' 3PT,[1628384],1610612752.0,NYK,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Left Center,,,,25.78,Missed,,,,,,,,,,,,,,,
