actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2025-01-07T01:10:17.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-07T01:10:17Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-07T01:10:19.8Z,1,REGULAR,jumpball,recovered,[],1628467,,,1610612742,0,0,2025-01-07T01:10:19Z,40000,False,,,0,,Jump Ball D. Lively II vs. Z. Edey: Tip to M. Kleber,"[1628467, 1641726, 1641744]",1610612742.0,DAL,startperiod,M. Kleber,1628467.0,Kleber,M. Kleber,Lively II,1641726.0,Edey,1641744.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2025-01-07T01:10:37.5Z,1,REGULAR,2pt,Jump Shot,[],202691,78.79434954007884,24.509803921568626,1610612742,0,2,2025-01-07T01:10:47Z,70000,False,-127.0,147.0,1,right,K. Thompson 19' fadeaway Jump Shot (2 PTS),[202691],1610612742.0,DAL,fadeaway,,,Thompson,K. Thompson,,,,,Mid-Range,16-24 Left Center,19.44,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M16.00S,2025-01-07T01:11:00.8Z,1,REGULAR,turnover,bad pass,[],1630590,,,1610612763,0,2,2025-01-07T01:11:05Z,80000,False,,,0,,S. Pippen Jr. bad pass TURNOVER (1 TO),"[1630590, 1629023]",1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,1.0,Washington,1629023.0,,,,,,,,,,,,,,
9,PT11M16.00S,2025-01-07T01:11:00.8Z,1,REGULAR,steal,,[],1629023,,,1610612742,0,2,2025-01-07T01:11:03Z,90000,False,,,0,,P. Washington STEAL (1 STL),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
10,PT11M11.00S,2025-01-07T01:11:05.6Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",202691,84.83902759526939,94.6078431372549,1610612742,0,2,2025-01-07T01:11:11Z,100000,False,223.0,90.0,1,right,MISS K. Thompson 24' running 3PT,[202691],1610612742.0,DAL,running,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right,24.05,Missed,,,,,,,,,,,,,,,,,,
11,PT11M07.00S,2025-01-07T01:11:09.6Z,1,REGULAR,rebound,defensive,[],1630590,,,1610612763,0,2,2025-01-07T01:11:11Z,110000,False,,,0,,S. Pippen Jr. REBOUND (Off:0 Def:1),[1630590],1610612763.0,MEM,,,,Pippen Jr.,S. Pippen Jr.,,,,,Above the Break 3,24+ Right,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT10M59.00S,2025-01-07T01:11:17.0Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628991,9.411957950065702,36.029411764705884,1610612763,0,2,2025-01-07T01:11:22Z,120000,False,70.0,36.0,1,left,MISS J. Jackson Jr. 7' driving floating bank Shot,[1628991],1610612763.0,MEM,driving floating bank,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,7.86,Missed,,,,,,,,,,,,,,,,,,
13,PT10M54.00S,2025-01-07T01:11:21.8Z,1,REGULAR,rebound,offensive,[],1628991,,,1610612763,0,2,2025-01-07T01:11:21Z,130000,False,,,0,,J. Jackson Jr. REBOUND (Off:1 Def:0),[1628991],1610612763.0,MEM,,,,Jackson Jr.,J. Jackson Jr.,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,12.0,1.0,0.0,1.0,,,,,,,,,,
14,PT10M54.00S,2025-01-07T01:11:21.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1628991,5.590000152587891,50.0,1610612763,2,2,2025-01-07T01:11:21Z,140000,False,0.0,0.0,1,left,J. Jackson Jr. putback Layup (2 PTS),[1628991],1610612763.0,MEM,putback,,,Jackson Jr.,J. Jackson Jr.,,,,,Mid-Range,8-16 Left,0.0,Made,2.0,,,,,,,,,,,,,,,,,
15,PT10M46.00S,2025-01-07T01:11:30.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1629023,82.21090670170827,37.745098039215684,1610612742,2,2,2025-01-07T01:11:35Z,150000,False,-61.0,115.0,1,right,MISS P. Washington 13' driving floating Shot,[1629023],1610612742.0,DAL,driving floating,,,Washington,P. Washington,,,,,In The Paint (Non-RA),8-16 Center,13.01,Missed,,,,,,,,,,,,,,,,,,
16,PT10M44.00S,2025-01-07T01:11:32.6Z,1,REGULAR,rebound,offensive,[],1629023,,,1610612742,2,2,2025-01-07T01:11:32Z,160000,False,,,0,,P. Washington REBOUND (Off:1 Def:0),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,15.0,1.0,0.0,1.0,,,,,,,,,,
17,PT10M42.00S,2025-01-07T01:11:34.5Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],1628467,67.09921156373193,32.35294117647059,1610612742,2,2,2025-01-07T01:11:40Z,170000,False,-88.0,257.0,1,right,MISS M. Kleber 27' 3PT,[1628467],1610612742.0,DAL,,,,Kleber,M. Kleber,,,,,Above the Break 3,24+ Left Center,27.15,Missed,,,,,,,,,,,,,,,,,,
18,PT10M36.00S,2025-01-07T01:11:40.5Z,1,REGULAR,rebound,defensive,[],1629723,,,1610612763,2,2,2025-01-07T01:11:40Z,180000,False,,,0,,J. Konchar REBOUND (Off:0 Def:1),[1629723],1610612763.0,MEM,,,,Konchar,J. Konchar,,,,,Above the Break 3,24+ Left Center,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,,
19,PT10M29.00S,2025-01-07T01:11:48.4Z,1,REGULAR,turnover,bad pass,[],1641744,,,1610612763,2,2,2025-01-07T01:11:54Z,190000,False,,,0,,Z. Edey bad pass TURNOVER (1 TO),"[1641744, 1629023]",1610612763.0,MEM,,,,Edey,Z. Edey,,,,,Right Corner 3,24+ Right,,,,1.0,Washington,1629023.0,,,,,,,,,,,,,,
20,PT10M29.00S,2025-01-07T01:11:48.4Z,1,REGULAR,steal,,[],1629023,,,1610612742,2,2,2025-01-07T01:11:52Z,200000,False,,,0,,P. Washington STEAL (2 STL),[1629023],1610612742.0,DAL,,,,Washington,P. Washington,,,,,Right Corner 3,24+ Right,,,,,,,,,,,,,,,,,,,,
