actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2025-01-31T02:35:55.9Z,1,REGULAR,period,start,[],0,,,0,0,0,2025-01-31T02:35:55Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2025-01-31T02:35:57.9Z,1,REGULAR,jumpball,recovered,[],1630224,,,1610612745,0,0,2025-01-31T02:35:57Z,40000,False,,,0,,Jump Ball S. Adams vs. Z. Edey: Tip to J. Green,"[1630224, 203500, 1641744]",1610612745.0,HOU,startperiod,J. Green,1630224.0,Green,J. Green,Adams,203500.0,Edey,1641744.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2025-01-31T02:36:09.9Z,1,REGULAR,3pt,Jump Shot,[],1630224,29.6484888304862,71.07843137254902,1610612745,0,0,2025-01-31T02:36:16Z,70000,False,-105.0,226.0,1,left,MISS J. Green 24' pullup 3PT,[1630224],1610612745.0,HOU,pullup,,,Green,J. Green,,,,,Above the Break 3,24+ Left Center,24.96,Missed,,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2025-01-31T02:36:15.9Z,1,REGULAR,rebound,offensive,[],203500,,,1610612745,0,0,2025-01-31T02:36:16Z,80000,False,,,0,,S. Adams REBOUND (Off:1 Def:0),[203500],1610612745.0,HOU,,,,Adams,S. Adams,,,,,Above the Break 3,24+ Left Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2025-01-31T02:36:15.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",203500,5.590000152587891,50.0,1610612745,0,2,2025-01-31T02:36:15Z,90000,False,0.0,0.0,1,left,S. Adams tip Layup (2 PTS),[203500],1610612745.0,HOU,tip,,,Adams,S. Adams,,,,,Mid-Range,8-16 Left,0.0,Made,,,,,2.0,,,,,,,,,,,,,
10,PT11M31.00S,2025-01-31T02:36:24.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,93.11760840998686,53.18627450980392,1610612763,2,2,2025-01-31T02:36:28Z,100000,False,16.0,12.0,1,right,D. Bane driving finger roll Layup (2 PTS) (J. Wells 1 AST),"[1630217, 1642377]",1610612763.0,MEM,driving finger roll,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,2.0,Made,,,,,2.0,J. Wells,1642377.0,1.0,,,,,,,,,,
12,PT11M15.00S,2025-01-31T02:36:39.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628415,18.478975032851512,37.00980392156863,1610612745,2,4,2025-01-31T02:36:45Z,120000,False,65.0,121.0,1,left,D. Brooks 13' fadeaway Jump Shot (2 PTS) (S. Adams 1 AST),"[1628415, 203500]",1610612745.0,HOU,fadeaway,,,Brooks,D. Brooks,,,,,In The Paint (Non-RA),8-16 Center,13.75,Made,,,,,2.0,S. Adams,203500.0,1.0,,,,,,,,,,
14,PT10M56.00S,2025-01-31T02:36:58.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1641744,85.89027595269383,43.627450980392155,1610612763,4,4,2025-01-31T02:37:01Z,140000,False,-32.0,80.0,1,right,Z. Edey 8' turnaround Hook (2 PTS) (J. Jackson Jr. 1 AST),"[1641744, 1628991]",1610612763.0,MEM,turnaround,,,Edey,Z. Edey,,,,,In The Paint (Non-RA),8-16 Center,8.62,Made,,,,,2.0,J. Jackson Jr.,1628991.0,1.0,,,,,,,,,,
15,PT10M42.00S,2025-01-31T02:37:12.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203500,6.389618922470433,50.73529411764706,1610612745,4,6,2025-01-31T02:37:18Z,150000,False,-4.0,8.0,1,left,S. Adams reverse Layup (4 PTS) (A. Thompson 1 AST),"[203500, 1641708]",1610612745.0,HOU,reverse,,,Adams,S. Adams,,,,,Restricted Area,0-8 Center,0.85,Made,,,,,4.0,A. Thompson,1641708.0,1.0,,,,,,,,,,
17,PT10M32.00S,2025-01-31T02:37:23.2Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630217,92.85479632063075,52.20588235294118,1610612763,4,6,2025-01-31T02:37:27Z,170000,False,11.0,15.0,1,right,MISS D. Bane driving finger roll Layup,[1630217],1610612763.0,MEM,driving finger roll,,,Bane,D. Bane,,,,,Restricted Area,0-8 Center,1.84,Missed,,,,,,,,,,,,,,,,,,
