actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-24T00:40:35.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-24T00:40:35Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-10-24T00:40:37.8Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2022-10-24T00:40:37Z,40000,,,0,,Jump Ball K. Looney vs. D. Sabonis: Tip to D. Green,"[203110, 1626172, 1627734]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M47.00S,2022-10-24T00:40:47.3Z,1,REGULAR,2pt,Jump Shot,[],203952,82.7365308804205,75.73529411764706,1610612744,2,0,2022-10-24T00:40:53Z,70000,129.0,110.0,1,right,A. Wiggins 16' pullup Jump Shot (2 PTS),[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,Mid-Range,16-24 Right Center,16.92,Made,2.0,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2022-10-24T00:41:11.1Z,1,REGULAR,3pt,Jump Shot,[],1629644,29.911300919842315,76.22549019607843,1610612758,2,0,2022-10-24T00:41:16Z,80000,-131.0,229.0,1,left,MISS K. Okpala 26' 3PT,[1629644],1610612758.0,SAC,,,,Okpala,K. Okpala,,,,,Above the Break 3,24+ Left Center,26.36,Missed,,,,,,,,,,,,,,,,,,
9,PT11M20.00S,2022-10-24T00:41:14.1Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,2,0,2022-10-24T00:41:16Z,90000,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Left Center,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,
10,PT11M16.00S,2022-10-24T00:41:18.9Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203952,91.5407358738502,48.28431372549019,1610612744,4,0,2022-10-24T00:41:26Z,100000,-9.0,27.0,1,right,A. Wiggins running Layup (4 PTS) (D. Green 1 AST),"[203952, 203110]",1610612744.0,GSW,running,,,Wiggins,A. Wiggins,,,,,Restricted Area,0-8 Center,2.83,Made,4.0,,,,,D. Green,203110.0,1.0,,,,,,,,,,
12,PT10M56.00S,2022-10-24T00:41:38.3Z,1,REGULAR,3pt,Jump Shot,[],1628368,30.305519053876477,29.166666666666668,1610612758,4,0,2022-10-24T00:41:42Z,120000,104.0,232.0,1,left,MISS D. Fox 25' pullup 3PT,[1628368],1610612758.0,SAC,pullup,,,Fox,D. Fox,,,,,Above the Break 3,24+ Right Center,25.47,Missed,,,,,,,,,,,,,,,,,,
13,PT10M54.00S,2022-10-24T00:41:40.3Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,4,0,2022-10-24T00:41:42Z,130000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,,
14,PT10M48.00S,2022-10-24T00:41:46.9Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],202691,76.69185282522996,10.294117647058822,1610612744,7,0,2022-10-24T00:45:28Z,140000,-199.0,167.0,1,right,K. Thompson 25' 3PT  (3 PTS) (D. Green 2 AST),"[202691, 203110]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,25.91,Made,3.0,,,,,D. Green,203110.0,2.0,,,,,,,,,,
16,PT10M39.00S,2022-10-24T00:41:58.6Z,1,REGULAR,foul,personal,[],203110,,,1610612758,7,0,2022-10-24T00:42:15Z,160000,,,0,,D. Green personal FOUL (1 PF),"[203110, 203084]",1610612744.0,GSW,,,,Green,D. Green,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,201246.0,1.0,0.0,Barnes,203084.0,,,,,
