actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-11-19T03:15:22.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-19T03:15:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-19T03:15:25.0Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2022-11-19T03:15:25Z,40000,False,,,0,,Jump Ball K. Looney vs. I. Hartenstein: Tip to D. Green,"[203110, 1626172, 1628392]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Hartenstein,1628392.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2022-11-19T03:15:37.5Z,1,REGULAR,3pt,Jump Shot,[],201939,71.82982917214193,81.12745098039215,1610612744,0,0,2022-11-19T03:15:42Z,70000,False,156.0,212.0,1,right,MISS S. Curry 26' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,26.32,Missed,,,,,,,,,,,,,,,,,,
8,PT11M41.00S,2022-11-19T03:15:40.5Z,1,REGULAR,rebound,defensive,[],1628392,,,1610612752,0,0,2022-11-19T03:15:42Z,80000,False,,,0,,I. Hartenstein REBOUND (Off:0 Def:1),[1628392],1610612752.0,NYK,,,,Hartenstein,I. Hartenstein,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M35.00S,2022-11-19T03:15:49.2Z,1,REGULAR,foul,personal,['2freethrow'],203110,,,1610612752,0,0,2022-11-19T03:16:02Z,90000,False,,,0,,D. Green shooting personal FOUL (1 PF) (Brunson 2 FT),"[203110, 1628973]",1610612744.0,GSW,shooting,,,Green,D. Green,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,201638.0,1.0,0.0,Brunson,1628973.0,,,,,,,,,
11,PT11M35.00S,2022-11-19T03:16:18.4Z,1,REGULAR,freethrow,1 of 2,[],1628973,,,1610612752,0,1,2022-11-19T03:16:18Z,110000,False,,,0,,J. Brunson Free Throw 1 of 2 (1 PTS),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Made,,,,,,,,,,1.0,,,,,,,,
12,PT11M35.00S,2022-11-19T03:16:36.1Z,1,REGULAR,freethrow,2 of 2,[],1628973,,,1610612752,0,2,2022-11-19T03:16:36Z,120000,False,,,0,,J. Brunson Free Throw 2 of 2 (2 PTS),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,,,,Made,,,,,,,,,,2.0,,,,,,,,
13,PT11M26.00S,2022-11-19T03:16:46.3Z,1,REGULAR,3pt,Jump Shot,[],202691,69.07030223390277,75.24509803921569,1610612744,0,2,2022-11-19T03:16:51Z,130000,False,126.0,238.0,1,right,MISS K. Thompson 26' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,26.96,Missed,,,,,,,,,,,,,,,,,,
14,PT11M22.00S,2022-11-19T03:16:50.3Z,1,REGULAR,rebound,defensive,[],1628973,,,1610612752,0,2,2022-11-19T03:16:51Z,140000,False,,,0,,J. Brunson REBOUND (Off:0 Def:1),[1628973],1610612752.0,NYK,,,,Brunson,J. Brunson,,,,,Above the Break 3,24+ Right Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
15,PT11M17.00S,2022-11-19T03:16:55.3Z,1,REGULAR,3pt,Jump Shot,[],203944,33.459264126149804,46.32352941176471,1610612752,0,2,2022-11-19T03:17:04Z,150000,False,18.0,262.0,1,left,MISS J. Randle 26' 3PT,[203944],1610612752.0,NYK,,,,Randle,J. Randle,,,,,Above the Break 3,24+ Center,26.26,Missed,,,,,,,,,,,,,,,,,,
