actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotResult,shotActionNumber,pointsTotal,shotDistance,assistPlayerNameInitial,assistPersonId,assistTotal,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-11-08T03:00:42.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-11-08T03:00:42Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2022-11-08T03:00:45.4Z,1,REGULAR,jumpball,recovered,[],202691,,,1610612744,0,0,2022-11-08T03:00:45Z,40000,,,0,,Jump Ball K. Looney vs. D. Sabonis: Tip to K. Thompson,"[202691, 1626172, 1627734]",1610612744.0,GSW,startperiod,K. Thompson,202691.0,Thompson,K. Thompson,Looney,1626172.0,Sabonis,1627734.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-11-08T03:01:02.3Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,0,0,2022-11-08T03:01:07Z,70000,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 1631099]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Left Center,1.0,Murray,1631099.0,,,,,,,,,,,,,,,,,
8,PT11M39.00S,2022-11-08T03:01:02.3Z,1,REGULAR,steal,,[],1631099,,,1610612758,0,0,2022-11-08T03:01:04Z,80000,,,0,,K. Murray STEAL (1 STL),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M37.00S,2022-11-08T03:01:07.4Z,1,REGULAR,foul,personal,['2freethrow'],202691,,,1610612758,0,0,2022-11-08T03:01:19Z,90000,,,0,,K. Thompson shooting personal FOUL (1 PF) (Murray 2 FT),"[202691, 1631099]",1610612744.0,GSW,shooting,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),0-8 Center,,,,2003.0,1.0,0.0,Murray,1631099.0,,,,,,,,,,,,
11,PT11M37.00S,2022-11-08T03:01:32.5Z,1,REGULAR,freethrow,1 of 2,"['fromturnover', 'fastbreak']",1631099,,,1610612758,0,0,2022-11-08T03:01:32Z,110000,,,0,,MISS K. Murray Free Throw 1 of 2,[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,Missed,,,,,,,,,,,
12,PT11M37.00S,2022-11-08T03:01:32.5Z,1,REGULAR,rebound,offensive,"['deadball', 'team']",0,,,1610612758,0,0,2022-11-08T03:01:32Z,120000,,,0,,TEAM offensive REBOUND,[],1610612758.0,SAC,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,
13,PT11M37.00S,2022-11-08T03:01:44.1Z,1,REGULAR,freethrow,2 of 2,"['fastbreak', 'fromturnover']",1631099,,,1610612758,0,1,2022-11-08T03:01:44Z,130000,,,0,,K. Murray Free Throw 2 of 2 (1 PTS),[1631099],1610612758.0,SAC,,,,Murray,K. Murray,,,,,,,,,,,,,,,Made,,1.0,,,,,,,,,
14,PT11M25.00S,2022-11-08T03:01:56.8Z,1,REGULAR,3pt,Jump Shot,[],201939,65.65374507227332,55.63725490196079,1610612744,3,1,2022-11-08T03:02:02Z,140000,28.0,270.0,1,right,S. Curry 27' 3PT pullup (3 PTS) (K. Looney 1 AST),"[201939, 1626172]",1610612744.0,GSW,pullup,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,,,,,,,,,Made,,3.0,27.19,K. Looney,1626172.0,1.0,,,,,
16,PT11M07.00S,2022-11-08T03:02:14.1Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1631099,11.514454664914586,46.07843137254902,1610612758,3,1,2022-11-08T03:02:22Z,160000,20.0,56.0,1,left,MISS K. Murray turnaround Hook,[1631099],1610612758.0,SAC,turnaround,,,Murray,K. Murray,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,Missed,,,5.9,,,,,,,,
