actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,blockPlayerName,blockPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId
2,PT12M00.00S,2023-03-29T02:02:49.3Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-29T02:02:49Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-03-29T02:02:50.8Z,1,REGULAR,jumpball,recovered,[],1627742,,,1610612740,0,0,2023-03-29T02:02:50Z,40000,False,,,0,,Jump Ball J. Valanciunas vs. J. Kuminga: Tip to B. Ingram,"[1627742, 202685, 1630228]",1610612740.0,NOP,startperiod,B. Ingram,1627742.0,Ingram,B. Ingram,Valanciunas,202685.0,Kuminga,1630228.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M44.00S,2023-03-29T02:03:04.2Z,1,REGULAR,turnover,bad pass,[],202685,,,1610612740,0,0,2023-03-29T02:03:08Z,70000,False,,,0,,J. Valanciunas bad pass TURNOVER (1 TO),"[202685, 1628978]",1610612740.0,NOP,,,,Valanciunas,J. Valanciunas,,,,,Above the Break 3,24+ Left Center,1.0,DiVincenzo,1628978.0,,,,,,,,,,,,,,,,,
8,PT11M44.00S,2023-03-29T02:03:04.2Z,1,REGULAR,steal,,[],1628978,,,1610612744,0,0,2023-03-29T02:03:05Z,80000,False,,,0,,D. DiVincenzo STEAL (1 STL),[1628978],1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
9,PT11M42.00S,2023-03-29T02:03:06.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1628978,5.863994743758213,41.17647058823529,1610612744,2,0,2023-03-29T02:03:13Z,90000,False,44.0,3.0,1,left,D. DiVincenzo running Layup (2 PTS),[1628978],1610612744.0,GSW,running,,,DiVincenzo,D. DiVincenzo,,,,,In The Paint (Non-RA),0-8 Center,,,,4.42,Made,2.0,,,,,,,,,,,,,,
10,PT11M23.00S,2023-03-29T02:03:25.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203468,90.3580814717477,59.068627450980394,1610612740,2,0,2023-03-29T02:03:29Z,100000,False,45.0,38.0,1,right,MISS C. McCollum driving Layup - blocked,"[203468, 1630228]",1610612740.0,NOP,driving,,,McCollum,C. McCollum,,,,,In The Paint (Non-RA),0-8 Center,,,,5.92,Missed,,Kuminga,1630228.0,,,,,,,,,,,,
60,PT11M23.00S,2023-03-29T02:03:25.5Z,1,REGULAR,block,,[],1630228,,,1610612740,2,0,2023-03-29T02:10:41Z,105000,False,,,0,,J. Kuminga BLOCK (1 BLK),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
11,PT11M20.00S,2023-03-29T02:03:28.5Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,2,0,2023-03-29T02:11:13Z,110000,False,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT11M05.00S,2023-03-29T02:03:42.9Z,1,REGULAR,3pt,Jump Shot,[],201939,26.888961892247043,14.950980392156863,1610612744,5,0,2023-03-29T02:04:07Z,120000,False,175.0,200.0,1,left,S. Curry 26' 3PT  (3 PTS) (D. Green 1 AST),"[201939, 203110]",1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,,,,26.61,Made,3.0,,,,,,,D. Green,203110.0,1.0,,,,,
16,PT10M48.00S,2023-03-29T02:03:59.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1627742,84.57621550591328,51.9607843137255,1610612740,5,2,2023-03-29T02:05:17Z,140000,False,10.0,92.0,1,right,B. Ingram 9' pullup Jump Shot (2 PTS) (H. Jones 1 AST),"[1627742, 1630529]",1610612740.0,NOP,pullup,,,Ingram,B. Ingram,,,,,In The Paint (Non-RA),8-16 Center,,,,9.3,Made,2.0,,,,,,,H. Jones,1630529.0,1.0,,,,,
