actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,officialId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-28T03:10:53.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-28T03:10:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-01-28T03:10:55.3Z,1,REGULAR,jumpball,recovered,[],201939,,,1610612744,0,0,2023-01-28T03:10:55Z,40000,False,,,0,,Jump Ball K. Looney vs. S. Barnes: Tip to S. Curry,"[201939, 1626172, 1630567]",1610612744.0,GSW,startperiod,S. Curry,201939.0,Curry,S. Curry,Looney,1626172.0,Barnes,1630567.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M48.00S,2023-01-28T03:11:04.4Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612744,0,0,2023-01-28T03:11:07Z,70000,False,,,0,,J. Poole bad pass TURNOVER (1 TO),"[1629673, 1628384]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Center,1.0,Anunoby,1628384.0,,,,,,,,,,,,,,,,,
8,PT11M48.00S,2023-01-28T03:11:04.4Z,1,REGULAR,steal,,[],1628384,,,1610612761,0,0,2023-01-28T03:17:18Z,80000,False,,,0,,O. Anunoby STEAL (1 STL),[1628384],1610612761.0,TOR,,,,Anunoby,O. Anunoby,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2023-01-28T03:11:08.8Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630567,7.966491458607096,44.85294117647059,1610612761,0,2,2023-01-28T03:11:15Z,90000,False,26.0,22.0,1,left,S. Barnes running DUNK (2 PTS),[1630567],1610612761.0,TOR,running,,,Barnes,S. Barnes,,,,,Restricted Area,0-8 Center,,,,3.41,Made,2.0,,,,,,,,,,,,,,
10,PT11M28.00S,2023-01-28T03:11:25.7Z,1,REGULAR,turnover,out-of-bounds,[],203110,,,1610612744,0,2,2023-01-28T03:11:31Z,100000,False,,,0,,D. Green lost ball out-of-bounds TURNOVER (1 TO),[203110],1610612744.0,GSW,lost ball,,,Green,D. Green,,,,,Mid-Range,16-24 Right Center,1.0,,,,,,201638.0,,,,,,,,,,,,,
11,PT11M14.00S,2023-01-28T03:11:44.2Z,1,REGULAR,2pt,Jump Shot,"['pointsinthepaint', 'fromturnover']",1630567,18.478975032851512,47.549019607843135,1610612761,0,2,2023-01-28T03:11:49Z,110000,False,12.0,121.0,1,left,MISS S. Barnes 12' bank Shot,[1630567],1610612761.0,TOR,bank,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),8-16 Center,,,,12.18,Missed,,,,,,,,,,,,,,,
12,PT11M11.00S,2023-01-28T03:11:47.2Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,0,2,2023-01-28T03:11:49Z,120000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,11.0,1.0,1.0,0.0,,,,,,,,,
13,PT10M59.00S,2023-01-28T03:11:58.8Z,1,REGULAR,2pt,Jump Shot,[],1629673,90.88370565045992,77.69607843137256,1610612744,0,2,2023-01-28T03:12:02Z,130000,False,138.0,33.0,1,right,MISS J. Poole 14' pullup Shot,[1629673],1610612744.0,GSW,pullup,,,Poole,J. Poole,,,,,Mid-Range,8-16 Right,,,,14.24,Missed,,,,,,,,,,,,,,,
14,PT10M56.00S,2023-01-28T03:12:01.8Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,0,2,2023-01-28T03:12:02Z,140000,False,,,0,,S. Barnes REBOUND (Off:0 Def:1),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Mid-Range,8-16 Right,,,,,,,,13.0,1.0,1.0,0.0,,,,,,,,,
15,PT10M52.00S,2023-01-28T03:12:06.6Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",1627783,5.863994743758213,56.86274509803921,1610612761,0,2,2023-01-28T03:12:13Z,150000,False,-34.0,3.0,1,left,MISS P. Siakam running Layup,[1627783],1610612761.0,TOR,running,,,Siakam,P. Siakam,,,,,Restricted Area,0-8 Center,,,,3.44,Missed,,,,,,,,,,,,,,,
16,PT10M50.00S,2023-01-28T03:12:08.6Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,0,2,2023-01-28T03:12:13Z,160000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,,,,,,,,15.0,1.0,1.0,0.0,,,,,,,,,
17,PT10M45.00S,2023-01-28T03:12:13.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",202691,93.11760840998686,57.107843137254896,1610612744,0,2,2023-01-28T03:12:19Z,170000,False,36.0,12.0,1,right,MISS K. Thompson running reverse Layup,[202691],1610612744.0,GSW,running reverse,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,,,,3.75,Missed,,,,,,,,,,,,,,,
18,PT10M43.00S,2023-01-28T03:12:15.1Z,1,REGULAR,rebound,defensive,[],1627832,,,1610612761,0,2,2023-01-28T03:12:19Z,180000,False,,,0,,F. VanVleet REBOUND (Off:0 Def:1),[1627832],1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Restricted Area,0-8 Center,,,,,,,,17.0,1.0,1.0,0.0,,,,,,,,,
19,PT10M39.00S,2023-01-28T03:12:19.9Z,1,REGULAR,2pt,Jump Shot,"['fastbreak', 'pointsinthepaint']",1629018,14.931011826544022,45.588235294117645,1610612761,0,4,2023-01-28T03:12:43Z,190000,False,22.0,88.0,1,left,G. Trent Jr. 9' driving floating Jump Shot (2 PTS),[1629018],1610612761.0,TOR,driving floating,,,Trent Jr.,G. Trent Jr.,,,,,In The Paint (Non-RA),8-16 Center,,,,9.06,Made,2.0,,,,,,,,,,,,,,
20,PT10M24.00S,2023-01-28T03:12:33.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202691,80.76544021024968,50.245098039215684,1610612744,2,4,2023-01-28T03:12:41Z,200000,False,1.0,128.0,1,right,K. Thompson 12' step back Jump Shot (2 PTS),[202691],1610612744.0,GSW,step back,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),8-16 Center,,,,12.83,Made,2.0,,,,,,,,,,,,,,
21,PT10M09.00S,2023-01-28T03:12:48.9Z,1,REGULAR,2pt,Jump Shot,[],1627783,11.383048620236531,29.65686274509804,1610612761,2,4,2023-01-28T03:14:04Z,210000,False,102.0,55.0,1,left,MISS P. Siakam 11' driving floating bank Shot,[1627783],1610612761.0,TOR,driving floating bank,,,Siakam,P. Siakam,,,,,Mid-Range,8-16 Right,,,,11.54,Missed,,,,,,,,,,,,,,,
22,PT10M07.00S,2023-01-28T03:12:50.9Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,2,4,2023-01-28T03:12:58Z,220000,False,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Mid-Range,8-16 Right,,,,,,,,21.0,1.0,1.0,0.0,,,,,,,,,
23,PT09M58.00S,2023-01-28T03:13:00.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,90.3580814717477,55.88235294117647,1610612744,4,4,2023-01-28T03:13:04Z,230000,False,29.0,38.0,1,right,S. Curry cutting Layup (2 PTS) (D. Green 1 AST),"[201939, 203110]",1610612744.0,GSW,cutting,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,4.81,Made,2.0,,,,,,D. Green,203110.0,1.0,,,,,,
25,PT09M41.00S,2023-01-28T03:13:16.9Z,1,REGULAR,3pt,Jump Shot,[],1627832,32.802233902759525,48.03921568627451,1610612761,4,7,2023-01-28T03:13:21Z,250000,False,10.0,256.0,1,left,F. VanVleet 25' 3PT  (3 PTS) (S. Barnes 1 AST),"[1627832, 1630567]",1610612761.0,TOR,,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Center,,,,25.6,Made,3.0,,,,,,S. Barnes,1630567.0,1.0,,,,,,
27,PT09M22.00S,2023-01-28T03:13:35.8Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],202691,91.5407358738502,53.92156862745098,1610612744,6,7,2023-01-28T03:13:39Z,270000,False,20.0,27.0,1,right,K. Thompson cutting DUNK (4 PTS) (K. Looney 1 AST),"[202691, 1626172]",1610612744.0,GSW,cutting,,,Thompson,K. Thompson,,,,,Restricted Area,0-8 Center,,,,3.34,Made,4.0,,,,,,K. Looney,1626172.0,1.0,,,,,,
29,PT09M14.00S,2023-01-28T03:13:43.4Z,1,REGULAR,3pt,Jump Shot,[],1627783,27.020367936925098,12.009803921568627,1610612761,6,10,2023-01-28T03:15:04Z,290000,False,190.0,201.0,1,left,P. Siakam 27' 3PT pullup (3 PTS) (S. Barnes 2 AST),"[1627783, 1630567]",1610612761.0,TOR,pullup,,,Siakam,P. Siakam,,,,,Above the Break 3,24+ Right Center,,,,27.7,Made,3.0,,,,,,S. Barnes,1630567.0,2.0,,,,,,
31,PT08M53.00S,2023-01-28T03:14:05.5Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],201939,91.93495400788436,59.068627450980394,1610612744,8,10,2023-01-28T03:14:10Z,310000,False,45.0,23.0,1,right,S. Curry cutting Layup (4 PTS) (D. Green 2 AST),"[201939, 203110]",1610612744.0,GSW,cutting,,,Curry,S. Curry,,,,,In The Paint (Non-RA),0-8 Center,,,,5.09,Made,4.0,,,,,,D. Green,203110.0,2.0,,,,,,
33,PT08M45.00S,2023-01-28T03:14:14.8Z,1,REGULAR,foul,personal,[],1629673,,,1610612761,8,10,2023-01-28T03:14:21Z,330000,False,,,0,,J. Poole personal FOUL (1 PF),"[1629673, 1628384]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,Mid-Range,8-16 Left,,,,,,,202041.0,,,,,,,,1.0,0.0,Anunoby,1628384.0,,
35,PT08M39.00S,2023-01-28T03:14:38.9Z,1,REGULAR,3pt,Jump Shot,[],1627832,30.56833114323259,71.81372549019608,1610612761,8,13,2023-01-28T03:14:43Z,350000,False,-109.0,235.0,1,left,F. VanVleet 25' 3PT pullup (6 PTS),[1627832],1610612761.0,TOR,pullup,,,VanVleet,F. VanVleet,,,,,Above the Break 3,24+ Left Center,,,,25.89,Made,6.0,,,,,,,,,,,,,,
36,PT08M16.00S,2023-01-28T03:15:03.9Z,1,REGULAR,foul,personal,[],1630567,,,1610612744,8,13,2023-01-28T03:15:09Z,360000,False,,,0,,S. Barnes personal FOUL (1 PF),"[1630567, 203110]",1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Left Center,,,,,,,1628480.0,,,,,,,,1.0,0.0,Green,203110.0,,
38,PT08M09.00S,2023-01-28T03:15:29.9Z,1,REGULAR,3pt,Jump Shot,[],201939,65.39093298291722,43.13725490196079,1610612744,8,13,2023-01-28T03:15:35Z,380000,False,-34.0,273.0,1,right,MISS S. Curry 27' 3PT,[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Center,,,,27.49,Missed,,,,,,,,,,,,,,,
39,PT08M07.00S,2023-01-28T03:15:31.9Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,8,13,2023-01-28T03:15:53Z,390000,False,,,0,,S. Barnes REBOUND (Off:0 Def:2),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Center,,,,,,,,38.0,2.0,2.0,0.0,,,,,,,,,
40,PT08M00.00S,2023-01-28T03:15:40.4Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630567,9.017739816031538,56.127450980392155,1610612761,8,15,2023-01-28T03:15:45Z,400000,False,-31.0,32.0,1,left,S. Barnes driving Layup (4 PTS),[1630567],1610612761.0,TOR,driving,,,Barnes,S. Barnes,,,,,In The Paint (Non-RA),0-8 Center,,,,4.45,Made,4.0,,,,,,,,,,,,,,
41,PT08M00.00S,2023-01-28T03:15:43.1Z,1,REGULAR,foul,personal,['1freethrow'],1626172,,,1610612761,8,15,2023-01-28T03:15:48Z,410000,False,,,0,,K. Looney shooting personal FOUL (1 PF) (Barnes 1 FT),"[1626172, 1630567]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,,,,,,,202041.0,,,,,,,,1.0,0.0,Barnes,1630567.0,,
43,PT08M00.00S,2023-01-28T03:15:55.3Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612761,8,15,2023-01-28T03:15:55Z,430000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PT08M00.00S,2023-01-28T03:19:03.8Z,1,REGULAR,freethrow,1 of 1,[],1630567,,,1610612761,8,16,2023-01-28T03:19:03Z,440000,False,,,0,,S. Barnes Free Throw 1 of 1 (5 PTS),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,,,,,,,Made,5.0,,,,,,,,,,,,,,
45,PT07M43.00S,2023-01-28T03:19:23.9Z,1,REGULAR,3pt,Jump Shot,[],202691,79.188567674113,92.15686274509804,1610612744,8,16,2023-01-28T03:19:30Z,450000,False,211.0,143.0,1,right,MISS K. Thompson 25' fadeaway 3PT,[202691],1610612744.0,GSW,fadeaway,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,,,,25.48,Missed,,,,,,,,,,,,,,,
46,PT07M40.00S,2023-01-28T03:19:26.9Z,1,REGULAR,rebound,defensive,[],1630567,,,1610612761,8,16,2023-01-28T03:19:30Z,460000,False,,,0,,S. Barnes REBOUND (Off:0 Def:3),[1630567],1610612761.0,TOR,,,,Barnes,S. Barnes,,,,,Above the Break 3,24+ Right Center,,,,,,,,45.0,3.0,3.0,0.0,,,,,,,,,
