actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,turnoverTotal,stealPlayerName,stealPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-19T02:40:29.2Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-19T02:40:29Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M54.00S,2022-10-19T02:40:34.2Z,1,REGULAR,jumpball,recovered,[],2544,,,1610612747,0,0,2022-10-19T02:40:34Z,40000,,,0,,Jump Ball A. Davis vs. K. Looney: Tip to L. James,"[2544, 203076, 1626172]",1610612747.0,LAL,startperiod,L. James,2544.0,James,L. James,Davis,203076.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-10-19T02:40:46.8Z,1,REGULAR,foul,personal,[],1626172,,,1610612747,0,0,2022-10-19T02:40:54Z,70000,,,0,,K. Looney personal FOUL (1 PF),"[1626172, 203076]",1610612744.0,GSW,,,,Looney,K. Looney,,,,,Mid-Range,16-24 Left,1146.0,1.0,0.0,Davis,203076.0,,,,,,,,,,,,,,,
9,PT11M37.00S,2022-10-19T02:41:04.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203076,94.56307490144546,43.872549019607845,1610612747,0,2,2022-10-19T02:41:11Z,90000,-31.0,-1.0,1,right,A. Davis driving Layup (2 PTS),[203076],1610612747.0,LAL,driving,,,Davis,A. Davis,,,,,Restricted Area,0-8 Center,,,,,,3.06,Made,2.0,,,,,,,,,,,,
10,PT11M21.00S,2022-10-19T02:41:20.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,14.14257555847569,41.66666666666667,1610612744,0,2,2022-10-19T02:41:26Z,100000,42.0,80.0,1,left,MISS A. Wiggins 9' floating Shot,[203952],1610612744.0,GSW,floating,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,,,,,,9.06,Missed,,,,,,,,,,,,,
11,PT11M17.00S,2022-10-19T02:41:24.5Z,1,REGULAR,rebound,defensive,[],201566,,,1610612747,0,2,2022-10-19T02:41:26Z,110000,,,0,,R. Westbrook REBOUND (Off:0 Def:1),[201566],1610612747.0,LAL,,,,Westbrook,R. Westbrook,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,
12,PT11M13.00S,2022-10-19T02:41:28.8Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],201976,92.72339027595268,96.81372549019608,1610612747,0,2,2022-10-19T02:41:34Z,120000,234.0,16.0,1,right,MISS P. Beverley 3PT,[201976],1610612747.0,LAL,,,,Beverley,P. Beverley,,,,,Right Corner 3,24+ Right,,,,,,23.46,Missed,,,,,,,,,,,,,
13,PT11M09.00S,2022-10-19T02:41:32.8Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,0,2,2022-10-19T02:41:34Z,130000,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Right Corner 3,24+ Right,,,,,,,,,12.0,1.0,1.0,0.0,,,,,,,,
16,PT10M59.00S,2022-10-19T02:41:56.0Z,1,REGULAR,foul,personal,['3freethrow'],201976,,,1610612744,0,2,2022-10-19T02:42:05Z,150000,,,0,,P. Beverley shooting personal FOUL (1 PF) (Thompson 3 FT),"[201976, 202691]",1610612747.0,LAL,shooting,,,Beverley,P. Beverley,,,,,Above the Break 3,24+ Left Center,202053.0,1.0,0.0,Thompson,202691.0,,,,,,,,,,,,,,,
18,PT10M59.00S,2022-10-19T02:42:25.3Z,1,REGULAR,freethrow,1 of 3,[],202691,,,1610612744,1,2,2022-10-19T02:43:03Z,170000,,,0,,K. Thompson Free Throw 1 of 3 (1 PTS),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,,,,,,,,,Made,1.0,,,,,,,,,,,,
