actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-22T02:10:41.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-22T02:10:41Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-22T02:10:44.2Z,1,REGULAR,jumpball,recovered,[],203932,,,1610612743,0,0,2022-10-22T02:10:44Z,40000,,,0,,Jump Ball N. Jokic vs. K. Looney: Tip to A. Gordon,"[203932, 203999, 1626172]",1610612743.0,DEN,startperiod,A. Gordon,203932.0,Gordon,A. Gordon,Jokic,203999.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M43.00S,2022-10-22T02:10:56.6Z,1,REGULAR,3pt,Jump Shot,[],1629008,32.276609724047304,57.84313725490197,1610612743,0,3,2022-10-22T02:11:01Z,70000,-39.0,251.0,1,left,M. Porter Jr. 25' 3PT  (3 PTS) (B. Brown 1 AST),"[1629008, 1628971]",1610612743.0,DEN,,,,Porter Jr.,M. Porter Jr.,,,,,Above the Break 3,24+ Center,25.39,Made,3.0,B. Brown,1628971.0,1.0,,,,,,,,,,,,,,
9,PT11M29.00S,2022-10-22T02:11:11.1Z,1,REGULAR,3pt,Jump Shot,[],203952,95.22010512483574,4.411764705882353,1610612744,0,3,2022-10-22T02:11:16Z,90000,-228.0,-8.0,1,right,MISS A. Wiggins 3PT,[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Left Corner 3,24+ Left,22.8,Missed,,,,,,,,,,,,,,,,,,
10,PT11M26.00S,2022-10-22T02:11:14.1Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,3,2022-10-22T02:11:16Z,100000,,,0,,N. Jokic REBOUND (Off:0 Def:1),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Left Corner 3,24+ Left,,,,,,,9.0,1.0,1.0,0.0,,,,,,,,,,
11,PT11M19.00S,2022-10-22T02:11:20.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203999,10.068988173455978,40.931372549019606,1610612743,0,5,2022-10-22T02:11:25Z,110000,45.0,42.0,1,left,N. Jokic 6' Jump Shot (2 PTS),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,In The Paint (Non-RA),0-8 Center,6.18,Made,2.0,,,,,,,,,,,,,,,,,
12,PT10M59.00S,2022-10-22T02:11:40.3Z,1,REGULAR,3pt,Jump Shot,[],202691,75.77201051248358,10.784313725490197,1610612744,0,5,2022-10-22T02:11:44Z,120000,-196.0,175.0,1,right,MISS K. Thompson 26' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,26.3,Missed,,,,,,,,,,,,,,,,,,
13,PT10M57.00S,2022-10-22T02:11:42.3Z,1,REGULAR,rebound,defensive,[],203999,,,1610612743,0,5,2022-10-22T02:11:44Z,130000,,,0,,N. Jokic REBOUND (Off:0 Def:2),[203999],1610612743.0,DEN,,,,Jokic,N. Jokic,,,,,Above the Break 3,24+ Left Center,,,,,,,12.0,2.0,2.0,0.0,,,,,,,,,,
14,PT10M52.00S,2022-10-22T02:11:50.2Z,1,REGULAR,turnover,out-of-bounds,[],1628971,,,1610612743,0,5,2022-10-22T02:12:01Z,140000,,,0,,B. Brown lost ball out-of-bounds TURNOVER (1 TO),[1628971],1610612743.0,DEN,lost ball,,,Brown,B. Brown,,,,,Left Corner 3,24+ Left,,,,,,,,,,,1627961.0,1.0,,,,,,,,
15,PT10M40.00S,2022-10-22T02:12:08.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",203952,89.83245729303549,56.61764705882353,1610612744,2,5,2022-10-22T02:12:16Z,150000,33.0,43.0,1,right,A. Wiggins driving Layup (2 PTS) (K. Looney 1 AST),"[203952, 1626172]",1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,5.43,Made,2.0,K. Looney,1626172.0,1.0,,,,,,,,,,,,,,
