actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,blockPlayerName,blockPersonId,turnoverTotal,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-04T01:40:22.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-04T01:40:22Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M59.00S,2022-12-04T01:40:23.5Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2022-12-04T01:40:23Z,40000,False,,,0,,Jump Ball K. Looney vs. A. Sengun: Tip to D. Green,"[203110, 1626172, 1630578]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Sengun,1630578.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2022-12-04T01:40:44.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1626172,91.5407358738502,55.88235294117647,1610612744,2,0,2022-12-04T01:41:04Z,70000,False,29.0,27.0,1,right,K. Looney cutting Layup (2 PTS) (J. Poole 1 AST),"[1626172, 1629673]",1610612744.0,GSW,cutting,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,3.99,Made,2.0,J. Poole,1629673.0,1.0,,,,,,,,,,,,,,
9,PT11M39.00S,2022-12-04T01:40:47.9Z,1,REGULAR,foul,personal,['1freethrow'],1630578,,,1610612744,2,0,2022-12-04T01:41:07Z,90000,False,,,0,,A. Sengun shooting personal FOUL (1 PF) (Looney 1 FT),"[1630578, 1626172]",1610612745.0,HOU,shooting,,,Sengun,A. Sengun,,,,,Restricted Area,0-8 Center,,,,,,,201638.0,1.0,0.0,Looney,1626172.0,,,,,,,,,
11,PT11M39.00S,2022-12-04T01:41:08.3Z,1,REGULAR,freethrow,1 of 1,[],1626172,,,1610612744,2,0,2022-12-04T01:41:11Z,110000,False,,,0,,MISS K. Looney Free Throw 1 of 1,[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
12,PT11M36.00S,2022-12-04T01:41:11.3Z,1,REGULAR,rebound,defensive,[],1631095,,,1610612745,2,0,2022-12-04T01:41:11Z,120000,False,,,0,,J. Smith Jr. REBOUND (Off:0 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,,,,,,,,,,,,,,11.0,1.0,1.0,0.0,,,,,
13,PT11M19.00S,2022-12-04T01:41:27.3Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],1630578,12.171484888304862,51.225490196078425,1610612745,2,2,2022-12-04T01:41:33Z,130000,False,-6.0,62.0,1,left,A. Sengun 6' turnaround Hook (2 PTS),[1630578],1610612745.0,HOU,turnaround,,,Sengun,A. Sengun,,,,,In The Paint (Non-RA),0-8 Center,6.22,Made,2.0,,,,,,,,,,,,,,,,,
14,PT11M01.00S,2022-12-04T01:41:44.9Z,1,REGULAR,3pt,Jump Shot,[],203110,87.46714848883047,95.58823529411765,1610612744,5,2,2022-12-04T01:41:49Z,140000,False,228.0,65.0,1,right,D. Green 3PT  (3 PTS) (J. Poole 2 AST),"[203110, 1629673]",1610612744.0,GSW,,,,Green,D. Green,,,,,Right Corner 3,24+ Right,23.71,Made,3.0,J. Poole,1629673.0,2.0,,,,,,,,,,,,,,
16,PT10M48.00S,2022-12-04T01:41:57.6Z,1,REGULAR,3pt,Jump Shot,[],1629645,25.443495400788436,8.823529411764707,1610612745,5,2,2022-12-04T01:42:03Z,160000,False,206.0,187.0,1,left,MISS K. Porter Jr. 27' 3PT,[1629645],1610612745.0,HOU,,,,Porter Jr.,K. Porter Jr.,,,,,Above the Break 3,24+ Right Center,27.79,Missed,,,,,,,,,,,,,,,,,,
17,PT10M43.00S,2022-12-04T01:42:02.6Z,1,REGULAR,rebound,defensive,[],201939,,,1610612744,5,2,2022-12-04T01:42:03Z,170000,False,,,0,,S. Curry REBOUND (Off:0 Def:1),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Above the Break 3,24+ Right Center,,,,,,,,,,,,16.0,1.0,1.0,0.0,,,,,
18,PT10M40.00S,2022-12-04T01:42:05.1Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fastbreak']",203952,91.80354796320631,41.17647058823529,1610612744,7,2,2022-12-04T01:42:10Z,180000,False,-44.0,25.0,1,right,A. Wiggins running Layup (2 PTS) (S. Curry 1 AST),"[203952, 201939]",1610612744.0,GSW,running,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,5.04,Made,2.0,S. Curry,201939.0,1.0,,,,,,,,,,,,,,
20,PT10M21.00S,2022-12-04T01:42:27.9Z,1,REGULAR,foul,personal,[],1629673,,,1610612745,7,2,2022-12-04T01:42:33Z,200000,False,,,0,,J. Poole personal FOUL (1 PF),"[1629673, 1629645]",1610612744.0,GSW,,,,Poole,J. Poole,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,201638.0,1.0,0.0,Porter Jr.,1629645.0,,,,,,,,,
22,PT10M09.00S,2022-12-04T01:43:06.0Z,1,REGULAR,2pt,Jump Shot,[],1630224,5.732588699080158,70.09803921568627,1610612745,7,2,2022-12-04T01:43:11Z,220000,False,-100.0,1.0,1,left,MISS J. Green 10' fadeaway Shot,[1630224],1610612745.0,HOU,fadeaway,,,Green,J. Green,,,,,Mid-Range,8-16 Left,10.05,Missed,,,,,,,,,,,,,,,,,,
23,PT10M05.00S,2022-12-04T01:43:10.0Z,1,REGULAR,rebound,offensive,[],1631095,,,1610612745,7,2,2022-12-04T01:43:11Z,230000,False,,,0,,J. Smith Jr. REBOUND (Off:1 Def:1),[1631095],1610612745.0,HOU,,,,Smith Jr.,J. Smith Jr.,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,22.0,2.0,1.0,1.0,,,,,
24,PT09M55.00S,2022-12-04T01:43:18.7Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', '2ndchance']",1630231,6.258212877792378,56.86274509803921,1610612745,7,2,2022-12-04T01:43:23Z,240000,False,-34.0,6.0,1,left,MISS K. Martin Jr. driving Layup - blocked,"[1630231, 203110]",1610612745.0,HOU,driving,,,Martin Jr.,K. Martin Jr.,,,,,Restricted Area,0-8 Center,3.49,Missed,,,,,,,,,,,,,,Green,203110.0,,,
