actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,turnoverTotal,stealPlayerName,stealPersonId,shotDistance,shotResult,pointsTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-02-27T00:45:33.4Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-27T00:45:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M57.00S,2023-02-27T00:45:35.4Z,1,REGULAR,jumpball,recovered,[],202691,,,1610612744,0,0,2023-02-27T00:45:35Z,40000,False,,,0,,Jump Ball K. Looney vs. N. Reid: Tip to K. Thompson,"[202691, 1626172, 1629675]",1610612744.0,GSW,startperiod,K. Thompson,202691.0,Thompson,K. Thompson,Looney,1626172.0,Reid,1629675.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M38.00S,2023-02-27T00:45:54.2Z,1,REGULAR,turnover,bad pass,[],1630228,,,1610612744,0,0,2023-02-27T00:45:58Z,70000,False,,,0,,J. Kuminga bad pass TURNOVER (1 TO),"[1630228, 1630183]",1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),8-16 Center,1.0,McDaniels,1630183.0,,,,,,,,,,,,,,,,,
8,PT11M38.00S,2023-02-27T00:45:54.2Z,1,REGULAR,steal,,[],1630183,,,1610612750,0,0,2023-02-27T00:45:56Z,80000,False,,,0,,J. McDaniels STEAL (1 STL),[1630183],1610612750.0,MIN,,,,McDaniels,J. McDaniels,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
9,PT11M35.00S,2023-02-27T00:45:57.6Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1630183,8.09789750328515,48.28431372549019,1610612750,0,2,2023-02-27T00:46:03Z,90000,False,9.0,24.0,1,left,J. McDaniels running DUNK (2 PTS),[1630183],1610612750.0,MIN,running,,,McDaniels,J. McDaniels,,,,,Restricted Area,0-8 Center,,,,2.51,Made,2.0,,,,,,,,,,,,,,
10,PT11M14.00S,2023-02-27T00:46:18.3Z,1,REGULAR,2pt,Jump Shot,[],202691,94.03745072273325,68.62745098039215,1610612744,0,2,2023-02-27T00:46:24Z,100000,False,93.0,4.0,1,right,MISS K. Thompson 9' floating Shot,[202691],1610612744.0,GSW,floating,,,Thompson,K. Thompson,,,,,Mid-Range,8-16 Right,,,,9.32,Missed,,,,,,,,,,,,,,,
11,PT11M12.00S,2023-02-27T00:46:20.3Z,1,REGULAR,rebound,defensive,[],1629675,,,1610612750,0,2,2023-02-27T00:46:24Z,110000,False,,,0,,N. Reid REBOUND (Off:0 Def:1),[1629675],1610612750.0,MIN,,,,Reid,N. Reid,,,,,Mid-Range,8-16 Right,,,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,
12,PT11M12.00S,2023-02-27T00:46:23.5Z,1,REGULAR,foul,personal,[],202691,,,1610612750,0,2,2023-02-27T00:46:30Z,120000,False,,,0,,K. Thompson personal FOUL (1 PF),"[202691, 1629675]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),8-16 Left,,,,,,,,,,,1146.0,1.0,0.0,Reid,1629675.0,,,,,
14,PT10M53.00S,2023-02-27T00:47:01.4Z,1,REGULAR,3pt,Jump Shot,[],203937,33.196452036793694,38.48039215686275,1610612750,0,2,2023-02-27T00:47:05Z,140000,False,58.0,260.0,1,left,MISS K. Anderson 26' 3PT,[203937],1610612750.0,MIN,,,,Anderson,K. Anderson,,,,,Above the Break 3,24+ Center,,,,26.58,Missed,,,,,,,,,,,,,,,
15,PT10M50.00S,2023-02-27T00:47:04.4Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,0,2,2023-02-27T00:47:05Z,150000,False,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,Kuminga,J. Kuminga,,,,,Above the Break 3,24+ Center,,,,,,,14.0,1.0,1.0,0.0,,,,,,,,,,
