actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,playerName,playerNameI,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,turnoverTotal,stealPlayerName,stealPersonId,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,jumpBallRecoverdPersonId
2,PT12M00.00S,2023-03-04T03:10:25.8Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-03-04T03:10:25Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-03-04T03:10:30.9Z,1,REGULAR,jumpball,recovered,[],0,,,1610612740,0,0,2023-03-04T03:10:31Z,40000,False,,,0,,Jump Ball W. Hernangomez vs. K. Looney: Tip to Team (NOP),"[1626195, 1626172]",1610612740.0,NOP,startperiod,Team (NOP),Hernangomez,1626195.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,,,,
8,PT11M47.00S,2023-03-04T03:10:53.8Z,1,REGULAR,2pt,Jump Shot,[],1627742,82.86793692509855,20.833333333333336,1610612740,0,2,2023-03-04T03:10:57Z,80000,False,-146.0,109.0,1,right,B. Ingram 18' turnaround Jump Shot (2 PTS) (T. Murphy III 1 AST),"[1627742, 1630530]",1610612740.0,NOP,turnaround,,,,,,Mid-Range,16-24 Left Center,18.17,Made,2.0,Ingram,B. Ingram,T. Murphy III,1630530.0,1.0,,,,,,,,,,,,,,,
10,PT11M20.00S,2023-03-04T03:11:21.7Z,1,REGULAR,turnover,out-of-bounds,[],1628978,,,1610612744,0,2,2023-03-04T03:11:28Z,100000,False,,,0,,D. DiVincenzo bad pass out-of-bounds TURNOVER (1 TO),[1628978],1610612744.0,GSW,bad pass,,,,,,Restricted Area,0-8 Center,,,,DiVincenzo,D. DiVincenzo,,,,2882.0,1.0,,,,,,,,,,,,,
11,PT11M06.00S,2023-03-04T03:11:41.8Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1630530,93.9060446780552,41.42156862745098,1610612740,0,4,2023-03-04T03:11:47Z,110000,False,-43.0,5.0,1,right,T. Murphy III driving Layup (2 PTS) (W. Hernangomez 1 AST),"[1630530, 1626195]",1610612740.0,NOP,driving,,,,,,Restricted Area,0-8 Center,4.32,Made,2.0,Murphy III,T. Murphy III,W. Hernangomez,1626195.0,1.0,,,,,,,,,,,,,,,
13,PT10M49.00S,2023-03-04T03:11:58.0Z,1,REGULAR,turnover,bad pass,[],1629673,,,1610612744,0,4,2023-03-04T03:12:02Z,130000,False,,,0,,J. Poole bad pass TURNOVER (1 TO),"[1629673, 1626195]",1610612744.0,GSW,,,,,,,Above the Break 3,24+ Right Center,,,,Poole,J. Poole,,,,,1.0,Hernangomez,1626195.0,,,,,,,,,,,
14,PT10M49.00S,2023-03-04T03:11:58.0Z,1,REGULAR,steal,,[],1626195,,,1610612740,0,4,2023-03-04T03:11:59Z,140000,False,,,0,,W. Hernangomez STEAL (1 STL),[1626195],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,
15,PT10M45.00S,2023-03-04T03:12:02.3Z,1,REGULAR,3pt,Jump Shot,"['fromturnover', 'fastbreak']",1630530,72.88107752956637,80.14705882352942,1610612740,0,4,2023-03-04T03:12:09Z,150000,False,151.0,202.0,1,right,MISS T. Murphy III 25' 3PT,[1630530],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,25.23,Missed,,Murphy III,T. Murphy III,,,,,,,,,,,,,,,,,,
16,PT10M42.00S,2023-03-04T03:12:06.7Z,1,REGULAR,rebound,offensive,[],1630530,,,1610612740,0,4,2023-03-04T03:12:06Z,160000,False,,,0,,T. Murphy III REBOUND (Off:1 Def:0),[1630530],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,,Murphy III,T. Murphy III,,,,,,,,15.0,1.0,0.0,1.0,,,,,,,
17,PT10M42.00S,2023-03-04T03:12:09.6Z,1,REGULAR,foul,personal,[],203110,,,1610612740,0,4,2023-03-04T03:12:27Z,170000,False,,,0,,D. Green personal FOUL (1 PF),"[203110, 1630530]",1610612744.0,GSW,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Green,D. Green,,,,1193.0,,,,,,,,1.0,0.0,Murphy III,1630530.0,,,
19,PT10M38.00S,2023-03-04T03:12:27.5Z,1,REGULAR,2pt,Jump Shot,"['fromturnover', '2ndchance']",203468,75.90341655716163,50.0,1610612740,0,4,2023-03-04T03:12:49Z,190000,False,0.0,174.0,1,right,MISS C. McCollum 17' pullup Shot,[203468],1610612740.0,NOP,pullup,,,,,,Mid-Range,16-24 Center,17.4,Missed,,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,
20,PT10M36.00S,2023-03-04T03:12:29.5Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,4,2023-03-04T03:17:36Z,200000,False,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,,,,Mid-Range,16-24 Center,,,,Looney,K. Looney,,,,,,,,19.0,1.0,1.0,0.0,,,,,,,
21,PT10M29.00S,2023-03-04T03:12:38.6Z,1,REGULAR,foul,personal,[],1630530,,,1610612744,0,4,2023-03-04T03:12:41Z,210000,False,,,0,,T. Murphy III personal FOUL (1 PF),"[1630530, 203110]",1610612740.0,NOP,,,,,,,In The Paint (Non-RA),0-8 Center,,,,Murphy III,T. Murphy III,,,,1193.0,,,,,,,,1.0,0.0,Green,203110.0,,,
23,PT10M20.00S,2023-03-04T03:13:02.9Z,1,REGULAR,2pt,DUNK,['pointsinthepaint'],1626172,7.30946123521682,50.245098039215684,1610612744,2,4,2023-03-04T03:13:07Z,230000,False,-1.0,16.0,1,left,K. Looney cutting DUNK (2 PTS) (K. Thompson 1 AST),"[1626172, 202691]",1610612744.0,GSW,cutting,,,,,,Restricted Area,0-8 Center,1.62,Made,2.0,Looney,K. Looney,K. Thompson,202691.0,1.0,,,,,,,,,,,,,,,
25,PT10M10.00S,2023-03-04T03:13:13.5Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612740,2,4,2023-03-04T03:13:21Z,250000,False,,,0,,K. Looney shooting personal FOUL (1 PF) (Hernangomez 2 FT),"[1626172, 1626195]",1610612744.0,GSW,shooting,,,,,,In The Paint (Non-RA),0-8 Center,,,,Looney,K. Looney,,,,2882.0,,,,,,,,1.0,0.0,Hernangomez,1626195.0,,,
27,PT10M10.00S,2023-03-04T03:13:39.4Z,1,REGULAR,freethrow,1 of 2,[],1626195,,,1610612740,2,5,2023-03-04T03:13:39Z,270000,False,,,0,,W. Hernangomez Free Throw 1 of 2 (1 PTS),[1626195],1610612740.0,NOP,,,,,,,,,,Made,1.0,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,
28,PT10M10.00S,2023-03-04T03:13:57.8Z,1,REGULAR,freethrow,2 of 2,[],1626195,,,1610612740,2,6,2023-03-04T03:13:57Z,280000,False,,,0,,W. Hernangomez Free Throw 2 of 2 (2 PTS),[1626195],1610612740.0,NOP,,,,,,,,,,Made,2.0,Hernangomez,W. Hernangomez,,,,,,,,,,,,,,,,,,
29,PT09M50.00S,2023-03-04T03:14:19.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202691,17.296320630749015,39.46078431372549,1610612744,2,6,2023-03-04T03:14:24Z,290000,False,53.0,110.0,1,left,MISS K. Thompson 12' pullup Shot,[202691],1610612744.0,GSW,pullup,,,,,,In The Paint (Non-RA),8-16 Center,12.21,Missed,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,
30,PT09M47.00S,2023-03-04T03:14:22.5Z,1,REGULAR,rebound,defensive,[],1626195,,,1610612740,2,6,2023-03-04T03:14:24Z,300000,False,,,0,,W. Hernangomez REBOUND (Off:0 Def:1),[1626195],1610612740.0,NOP,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Hernangomez,W. Hernangomez,,,,,,,,29.0,1.0,1.0,0.0,,,,,,,
31,PT09M42.00S,2023-03-04T03:14:27.3Z,1,REGULAR,3pt,Jump Shot,['fastbreak'],203468,65.25952693823915,44.36274509803921,1610612740,2,9,2023-03-04T03:14:37Z,310000,False,-28.0,274.0,1,right,C. McCollum 27' 3PT pullup (3 PTS),[203468],1610612740.0,NOP,pullup,,,,,,Above the Break 3,24+ Center,27.55,Made,3.0,McCollum,C. McCollum,,,,,,,,,,,,,,,,,,
32,PT09M28.00S,2023-03-04T03:14:43.5Z,1,REGULAR,foul,personal,[],203468,,,1610612744,2,9,2023-03-04T03:14:49Z,320000,False,,,0,,C. McCollum personal FOUL (1 PF),"[203468, 1629673]",1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,,McCollum,C. McCollum,,,,202901.0,,,,,,,,1.0,0.0,Poole,1629673.0,,,
34,PT09M21.00S,2023-03-04T03:15:09.6Z,1,REGULAR,3pt,Jump Shot,[],1628978,30.831143232588698,19.362745098039216,1610612744,2,9,2023-03-04T03:15:15Z,340000,False,153.0,237.0,1,left,MISS D. DiVincenzo 28' 3PT,[1628978],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Right Center,28.25,Missed,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,
35,PT09M18.00S,2023-03-04T03:15:12.6Z,1,REGULAR,rebound,defensive,[],1627742,,,1610612740,2,9,2023-03-04T03:15:15Z,350000,False,,,0,,B. Ingram REBOUND (Off:0 Def:1),[1627742],1610612740.0,NOP,,,,,,,Above the Break 3,24+ Right Center,,,,Ingram,B. Ingram,,,,,,,,34.0,1.0,1.0,0.0,,,,,,,
36,PT09M10.00S,2023-03-04T03:15:20.5Z,1,REGULAR,turnover,lost ball,[],1627742,,,1610612740,2,9,2023-03-04T03:15:26Z,360000,False,,,0,,B. Ingram lost ball TURNOVER (1 TO),"[1627742, 202691]",1610612740.0,NOP,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Ingram,B. Ingram,,,,,1.0,Thompson,202691.0,,,,,,,,,,,
37,PT09M10.00S,2023-03-04T03:15:20.5Z,1,REGULAR,steal,,[],202691,,,1610612744,2,9,2023-03-04T03:15:21Z,370000,False,,,0,,K. Thompson STEAL (1 STL),[202691],1610612744.0,GSW,,,,,,,In The Paint (Non-RA),8-16 Center,,,,Thompson,K. Thompson,,,,,,,,,,,,,,,,,,
38,PT09M05.00S,2023-03-04T03:15:25.2Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629673,7.440867279894875,47.794117647058826,1610612744,4,9,2023-03-04T03:15:39Z,380000,False,11.0,17.0,1,left,J. Poole running DUNK (2 PTS) (D. DiVincenzo 1 AST),"[1629673, 1628978]",1610612744.0,GSW,running,,,,,,Restricted Area,0-8 Center,2.06,Made,2.0,Poole,J. Poole,D. DiVincenzo,1628978.0,1.0,,,,,,,,,,,,,,,
39,PT08M59.00S,2023-03-04T03:15:33.9Z,1,REGULAR,foul,personal,[],203110,,,1610612740,4,9,2023-03-04T03:15:43Z,390000,False,,,0,,D. Green personal FOUL (2 PF),"[203110, 1626195]",1610612744.0,GSW,,,,,,,Mid-Range,16-24 Right Center,,,,Green,D. Green,,,,202901.0,,,,,,,,2.0,0.0,Hernangomez,1626195.0,,,
42,PT08M43.00S,2023-03-04T03:16:21.6Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630529,93.51182654402102,45.588235294117645,1610612740,4,11,2023-03-04T03:16:35Z,410000,False,-22.0,8.0,1,right,H. Jones reverse Layup (2 PTS) (B. Ingram 1 AST),"[1630529, 1627742]",1610612740.0,NOP,reverse,,,,,,Restricted Area,0-8 Center,2.37,Made,2.0,Jones,H. Jones,B. Ingram,1627742.0,1.0,,,,,,,,,,,,,,,
44,PT08M29.00S,2023-03-04T03:16:36.1Z,1,REGULAR,2pt,Jump Shot,[],1629673,26.10052562417871,45.34313725490196,1610612744,4,11,2023-03-04T03:16:40Z,430000,False,23.0,193.0,1,left,MISS J. Poole 19' pullup Shot,[1629673],1610612744.0,GSW,pullup,,,,,,Mid-Range,16-24 Center,19.42,Missed,,Poole,J. Poole,,,,,,,,,,,,,,,,,,
45,PT08M27.00S,2023-03-04T03:16:38.1Z,1,REGULAR,rebound,defensive,[],1626195,,,1610612740,4,11,2023-03-04T03:17:27Z,440000,False,,,0,,W. Hernangomez REBOUND (Off:0 Def:2),[1626195],1610612740.0,NOP,,,,,,,Mid-Range,16-24 Center,,,,Hernangomez,W. Hernangomez,,,,,,,,44.0,2.0,2.0,0.0,,,,,,,
46,PT08M19.00S,2023-03-04T03:16:46.2Z,1,REGULAR,2pt,Jump Shot,[],1627742,74.32654402102497,35.049019607843135,1610612740,4,13,2023-03-04T03:16:51Z,450000,False,-75.0,189.0,1,right,B. Ingram 20' pullup Jump Shot (4 PTS),[1627742],1610612740.0,NOP,pullup,,,,,,Mid-Range,16-24 Left Center,20.31,Made,4.0,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,
47,PT08M18.00S,2023-03-04T03:16:50.4Z,1,REGULAR,timeout,full,"['team', 'mandatory']",0,,,1610612744,4,13,2023-03-04T03:16:50Z,460000,False,,,0,,GSW Timeout,[],1610612744.0,GSW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PT08M18.00S,2023-03-04T03:19:27.3Z,1,REGULAR,substitution,out,[],203110,,,1610612744,4,13,2023-03-04T03:19:39Z,470000,False,,,0,,SUB out: D. Green,[203110],1610612744.0,GSW,,,,,,,,,,,,Green,D. Green,,,,,,,,,,,,,,,,,,
49,PT08M18.00S,2023-03-04T03:19:27.3Z,1,REGULAR,substitution,in,[],1630228,,,1610612744,4,13,2023-03-04T03:19:39Z,480000,False,,,0,,SUB in: J. Kuminga,[1630228],1610612744.0,GSW,,,,,,,,,,,,Kuminga,J. Kuminga,,,,,,,,,,,,,,,,,,
50,PT07M58.00S,2023-03-04T03:20:14.4Z,1,REGULAR,2pt,Jump Shot,[],202691,19.267411300919843,23.03921568627451,1610612744,6,13,2023-03-04T03:20:19Z,490000,False,135.0,129.0,1,left,K. Thompson 18' pullup Jump Shot (2 PTS) (J. Poole 1 AST),"[202691, 1629673]",1610612744.0,GSW,pullup,,,,,,Mid-Range,16-24 Right Center,18.63,Made,2.0,Thompson,K. Thompson,J. Poole,1629673.0,1.0,,,,,,,,,,,,,,,
52,PT07M31.00S,2023-03-04T03:20:40.6Z,1,REGULAR,2pt,Jump Shot,[],1627742,91.5407358738502,19.362745098039216,1610612740,6,13,2023-03-04T03:20:45Z,510000,False,-153.0,27.0,1,right,MISS B. Ingram 15' turnaround Shot,[1627742],1610612740.0,NOP,turnaround,,,,,,Mid-Range,8-16 Left,15.56,Missed,,Ingram,B. Ingram,,,,,,,,,,,,,,,,,,
53,PT07M28.00S,2023-03-04T03:20:43.6Z,1,REGULAR,rebound,defensive,[],1630228,,,1610612744,6,13,2023-03-04T03:20:45Z,520000,False,,,0,,J. Kuminga REBOUND (Off:0 Def:1),[1630228],1610612744.0,GSW,,,,,,,Mid-Range,8-16 Left,,,,Kuminga,J. Kuminga,,,,,,,,52.0,1.0,1.0,0.0,,,,,,,
54,PT07M20.00S,2023-03-04T03:20:51.3Z,1,REGULAR,3pt,Jump Shot,[],1628978,24.392247043363994,8.088235294117647,1610612744,6,13,2023-03-04T03:20:55Z,530000,False,210.0,177.0,1,left,MISS D. DiVincenzo 27' 3PT,[1628978],1610612744.0,GSW,,,,,,,Above the Break 3,24+ Right Center,27.42,Missed,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,
