actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,turnoverTotal,stealPlayerName,stealPersonId,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2022-10-28T02:10:57.7Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-10-28T02:10:57Z,20000,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2022-10-28T02:11:00.6Z,1,REGULAR,jumpball,recovered,[],200768,,,1610612748,0,0,2022-10-28T02:11:00Z,40000,,,0,,Jump Ball B. Adebayo vs. K. Looney: Tip to K. Lowry,"[200768, 1628389, 1626172]",1610612748.0,MIA,startperiod,K. Lowry,200768.0,Lowry,K. Lowry,Adebayo,1628389.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M45.00S,2022-10-28T02:11:11.4Z,1,REGULAR,3pt,Jump Shot,[],200768,30.305519053876477,25.0,1610612748,0,0,2022-10-28T02:11:32Z,70000,125.0,232.0,1,left,MISS K. Lowry 26' pullup 3PT,[200768],1610612748.0,MIA,pullup,,,Lowry,K. Lowry,,,,,Above the Break 3,24+ Right Center,26.39,Missed,,,,,,,,,,,,,,,,,,
8,PT11M43.00S,2022-10-28T02:11:13.4Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,0,2022-10-28T02:11:18Z,80000,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Above the Break 3,24+ Right Center,,,7.0,1.0,1.0,0.0,,,,,,,,,,,,,,
9,PT11M32.00S,2022-10-28T02:11:25.4Z,1,REGULAR,3pt,Jump Shot,[],202691,74.45795006570303,85.7843137254902,1610612744,3,0,2022-10-28T02:11:30Z,90000,179.0,188.0,1,right,K. Thompson 25' 3PT  (3 PTS) (K. Looney 1 AST),"[202691, 1626172]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,25.92,Made,,,,,3.0,K. Looney,1626172.0,1.0,,,,,,,,,,
11,PT11M14.00S,2022-10-28T02:11:41.9Z,1,REGULAR,2pt,Jump Shot,[],1628389,6.521024967148489,27.696078431372552,1610612748,3,0,2022-10-28T02:11:46Z,110000,112.0,9.0,1,left,MISS B. Adebayo 11' turnaround Shot,[1628389],1610612748.0,MIA,turnaround,,,Adebayo,B. Adebayo,,,,,Mid-Range,8-16 Right,11.18,Missed,,,,,,,,,,,,,,,,,,
12,PT11M12.00S,2022-10-28T02:11:43.9Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,3,0,2022-10-28T02:11:46Z,120000,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Mid-Range,8-16 Right,,,11.0,2.0,2.0,0.0,,,,,,,,,,,,,,
13,PT11M03.00S,2022-10-28T02:11:53.8Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],202691,91.40932982917214,43.13725490196079,1610612744,5,0,2022-10-28T02:12:00Z,130000,-34.0,28.0,1,right,K. Thompson cutting Layup (5 PTS) (D. Green 1 AST),"[202691, 203110]",1610612744.0,GSW,cutting,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),0-8 Center,4.45,Made,,,,,5.0,D. Green,203110.0,1.0,,,,,,,,,,
15,PT10M44.00S,2022-10-28T02:12:12.8Z,1,REGULAR,2pt,Jump Shot,[],202710,9.017739816031538,73.2843137254902,1610612748,5,2,2022-10-28T02:12:17Z,150000,-116.0,32.0,1,left,J. Butler 12' fadeaway Jump Shot (2 PTS),[202710],1610612748.0,MIA,fadeaway,,,Butler,J. Butler,,,,,Mid-Range,8-16 Left,12.08,Made,,,,,2.0,,,,,,,,,,,,,
16,PT10M38.00S,2022-10-28T02:12:19.7Z,1,REGULAR,3pt,Jump Shot,[],203952,73.80091984231275,13.23529411764706,1610612744,8,2,2022-10-28T02:12:24Z,160000,-184.0,194.0,1,right,A. Wiggins 26' 3PT  (3 PTS) (S. Curry 1 AST),"[203952, 201939]",1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Left Center,26.71,Made,,,,,3.0,S. Curry,201939.0,1.0,,,,,,,,,,
18,PT10M14.00S,2022-10-28T02:12:42.6Z,1,REGULAR,3pt,Jump Shot,[],202710,6.652431011826544,1.715686274509804,1610612748,8,2,2022-10-28T02:12:55Z,180000,241.0,10.0,1,left,MISS J. Butler 24' 3PT,[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Right Corner 3,24+ Right,24.16,Missed,,,,,,,,,,,,,,,,,,
19,PT10M11.00S,2022-10-28T02:12:45.6Z,1,REGULAR,rebound,offensive,[],1628389,,,1610612748,8,2,2022-10-28T02:12:55Z,190000,,,0,,B. Adebayo REBOUND (Off:1 Def:0),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,Right Corner 3,24+ Right,,,18.0,1.0,0.0,1.0,,,,,,,,,,,,,,
20,PT10M06.00S,2022-10-28T02:12:51.3Z,1,REGULAR,2pt,Jump Shot,['2ndchance'],1628997,9.411957950065702,73.2843137254902,1610612748,8,4,2022-10-28T02:13:00Z,200000,-116.0,36.0,1,left,C. Martin 12' turnaround Jump Shot (2 PTS) (J. Butler 1 AST),"[1628997, 202710]",1610612748.0,MIA,turnaround,,,Martin,C. Martin,,,,,Mid-Range,8-16 Left,12.18,Made,,,,,2.0,J. Butler,202710.0,1.0,,,,,,,,,,
22,PT09M58.00S,2022-10-28T02:12:58.2Z,1,REGULAR,turnover,bad pass,[],203110,,,1610612744,8,4,2022-10-28T02:13:02Z,220000,,,0,,D. Green bad pass TURNOVER (1 TO),"[203110, 1628997]",1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Center,,,,,,,,,,,1.0,Martin,1628997.0,,,,,,,
23,PT09M58.00S,2022-10-28T02:12:58.2Z,1,REGULAR,steal,,[],1628997,,,1610612748,8,4,2022-10-28T02:40:50Z,230000,,,0,,C. Martin STEAL (1 STL),[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Above the Break 3,24+ Center,,,,,,,,,,,,,,,,,,,,
24,PT09M43.00S,2022-10-28T02:13:13.4Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628997,7.046649145860711,94.36274509803921,1610612748,8,4,2022-10-28T02:13:18Z,240000,-222.0,14.0,1,left,MISS C. Martin 3PT,[1628997],1610612748.0,MIA,,,,Martin,C. Martin,,,,,Left Corner 3,24+ Left,22.22,Missed,,,,,,,,,,,,,,,,,,
25,PT09M40.00S,2022-10-28T02:13:16.4Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,8,4,2022-10-28T02:13:18Z,250000,,,0,,K. Looney REBOUND (Off:0 Def:3),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Left Corner 3,24+ Left,,,24.0,3.0,3.0,0.0,,,,,,,,,,,,,,
27,PT09M34.00S,2022-10-28T02:13:39.6Z,1,REGULAR,3pt,Jump Shot,[],202691,93.11760840998686,4.901960784313726,1610612744,8,4,2022-10-28T02:13:44Z,270000,-225.0,12.0,1,right,MISS K. Thompson 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Left Corner 3,24+ Left,22.58,Missed,,,,,,,,,,,,,,,,,,
28,PT09M30.00S,2022-10-28T02:13:43.8Z,1,REGULAR,rebound,offensive,[],201939,,,1610612744,8,4,2022-10-28T02:13:43Z,280000,,,0,,S. Curry REBOUND (Off:1 Def:0),[201939],1610612744.0,GSW,,,,Curry,S. Curry,,,,,Left Corner 3,24+ Left,,,27.0,1.0,0.0,1.0,,,,,,,,,,,,,,
29,PT09M30.00S,2022-10-28T02:13:43.8Z,1,REGULAR,2pt,Layup,"['2ndchance', 'pointsinthepaint']",201939,94.40999984741211,50.0,1610612744,10,4,2022-10-28T02:16:03Z,290000,0.0,0.0,1,right,S. Curry tip Layup (2 PTS),[201939],1610612744.0,GSW,tip,,,Curry,S. Curry,,,,,Restricted Area,0-8 Center,0.0,Made,,,,,2.0,,,,,,,,,,,,,
30,PT09M23.00S,2022-10-28T02:13:50.7Z,1,REGULAR,3pt,Jump Shot,[],1629639,27.151773981603156,11.519607843137255,1610612748,10,7,2022-10-28T02:13:57Z,300000,192.0,203.0,1,left,T. Herro 27' 3PT pullup (3 PTS),[1629639],1610612748.0,MIA,pullup,,,Herro,T. Herro,,,,,Above the Break 3,24+ Right Center,27.95,Made,,,,,3.0,,,,,,,,,,,,,
31,PT09M09.00S,2022-10-28T02:14:05.1Z,1,REGULAR,turnover,bad pass,[],202691,,,1610612744,10,7,2022-10-28T02:14:09Z,310000,,,0,,K. Thompson bad pass TURNOVER (1 TO),"[202691, 202710]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,1.0,Butler,202710.0,,,,,,,
32,PT09M09.00S,2022-10-28T02:14:05.1Z,1,REGULAR,steal,,[],202710,,,1610612748,10,7,2022-10-28T02:14:06Z,320000,,,0,,J. Butler STEAL (1 STL),[202710],1610612748.0,MIA,,,,Butler,J. Butler,,,,,Above the Break 3,24+ Left Center,,,,,,,,,,,,,,,,,,,,
33,PT09M05.00S,2022-10-28T02:14:08.3Z,1,REGULAR,2pt,DUNK,"['pointsinthepaint', 'fromturnover', 'fastbreak']",202710,9.280551905387648,48.03921568627451,1610612748,10,9,2022-10-28T02:14:14Z,330000,10.0,35.0,1,left,J. Butler running DUNK (4 PTS),[202710],1610612748.0,MIA,running,,,Butler,J. Butler,,,,,Restricted Area,0-8 Center,3.61,Made,,,,,4.0,,,,,,,,,,,,,
34,PT08M51.00S,2022-10-28T02:14:23.1Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203110,91.80354796320631,43.872549019607845,1610612744,12,9,2022-10-28T02:14:28Z,340000,-31.0,25.0,1,right,D. Green cutting Layup (2 PTS) (K. Looney 2 AST),"[203110, 1626172]",1610612744.0,GSW,cutting,,,Green,D. Green,,,,,Restricted Area,0-8 Center,3.92,Made,,,,,2.0,K. Looney,1626172.0,2.0,,,,,,,,,,
36,PT08M34.00S,2022-10-28T02:14:40.4Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612748,12,9,2022-10-28T02:14:48Z,360000,,,0,,K. Looney shooting personal FOUL (1 PF) (Adebayo 2 FT),"[1626172, 1628389]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,203593.0,1.0,0.0,Adebayo,1628389.0,,
38,PT08M34.00S,2022-10-28T02:15:13.9Z,1,REGULAR,freethrow,1 of 2,[],1628389,,,1610612748,12,10,2022-10-28T02:15:13Z,380000,,,0,,B. Adebayo Free Throw 1 of 2 (1 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,,,,,1.0,,,,,,,,,,,,,
39,PT08M34.00S,2022-10-28T02:15:35.1Z,1,REGULAR,freethrow,2 of 2,[],1628389,,,1610612748,12,11,2022-10-28T02:15:35Z,390000,,,0,,B. Adebayo Free Throw 2 of 2 (2 PTS),[1628389],1610612748.0,MIA,,,,Adebayo,B. Adebayo,,,,,,,,Made,,,,,2.0,,,,,,,,,,,,,
