actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,officialId,turnoverTotal,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,stealPlayerName,stealPersonId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId
2,PT12M00.00S,2023-01-03T03:10:53.1Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-03T03:10:53Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2023-01-03T03:10:54.6Z,1,REGULAR,jumpball,recovered,[],203110,,,1610612744,0,0,2023-01-03T03:10:54Z,40000,False,,,0,,Jump Ball K. Looney vs. O. Okongwu: Tip to D. Green,"[203110, 1626172, 1630168]",1610612744.0,GSW,startperiod,D. Green,203110.0,Green,D. Green,Looney,1626172.0,Okongwu,1630168.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M37.00S,2023-01-03T03:11:17.1Z,1,REGULAR,turnover,out-of-bounds,[],1628978,,,1610612744,0,0,2023-01-03T03:11:18Z,70000,False,,,0,,D. DiVincenzo bad pass out-of-bounds TURNOVER (1 TO),[1628978],1610612744.0,GSW,bad pass,,,DiVincenzo,D. DiVincenzo,,,,,Mid-Range,8-16 Left,2534.0,1.0,,,,,,,,,,,,,,,,,,
8,PT11M23.00S,2023-01-03T03:11:46.8Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628381,7.440867279894875,2.696078431372549,1610612737,0,0,2023-01-03T03:11:49Z,80000,False,237.0,17.0,1,left,MISS J. Collins 3PT,[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Right Corner 3,24+ Right,,,23.71,Missed,,,,,,,,,,,,,,,,
9,PT11M21.00S,2023-01-03T03:11:48.8Z,1,REGULAR,rebound,defensive,[],1629673,,,1610612744,0,0,2023-01-03T03:13:53Z,90000,False,,,0,,J. Poole REBOUND (Off:0 Def:1),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,Right Corner 3,24+ Right,,,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,
10,PT11M15.00S,2023-01-03T03:11:54.1Z,1,REGULAR,2pt,Jump Shot,['fastbreak'],1629673,80.89684625492772,27.450980392156865,1610612744,0,0,2023-01-03T03:12:18Z,100000,False,-113.0,127.0,1,right,MISS J. Poole 16' pullup Shot,[1629673],1610612744.0,GSW,pullup,,,Poole,J. Poole,,,,,Mid-Range,16-24 Left Center,,,16.99,Missed,,,,,,,,,,,,,,,,
11,PT11M13.00S,2023-01-03T03:11:56.1Z,1,REGULAR,rebound,defensive,[],1628381,,,1610612737,0,0,2023-01-03T03:13:21Z,110000,False,,,0,,J. Collins REBOUND (Off:0 Def:1),[1628381],1610612737.0,ATL,,,,Collins,J. Collins,,,,,Mid-Range,16-24 Left Center,,,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,
12,PT11M02.00S,2023-01-03T03:12:07.7Z,1,REGULAR,2pt,Jump Shot,[],1629631,8.754927726675426,74.01960784313727,1610612737,0,0,2023-01-03T03:12:10Z,120000,False,-120.0,30.0,1,left,MISS D. Hunter 12' Jump Shot,[1629631],1610612737.0,ATL,,,,Hunter,D. Hunter,,,,,Mid-Range,8-16 Left,,,12.37,Missed,,,,,,,,,,,,,,,,
13,PT11M00.00S,2023-01-03T03:12:09.7Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,0,0,2023-01-03T03:13:15Z,130000,False,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Mid-Range,8-16 Left,,,,,12.0,1.0,1.0,0.0,,,,,,,,,,,,
14,PT10M43.00S,2023-01-03T03:12:26.1Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202691,83.39356110381078,58.57843137254902,1610612744,2,0,2023-01-03T03:12:28Z,140000,False,43.0,104.0,1,right,K. Thompson 11' pullup Jump Shot (2 PTS) (D. Green 1 AST),"[202691, 203110]",1610612744.0,GSW,pullup,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),8-16 Center,,,11.21,Made,,,,,2.0,D. Green,203110.0,1.0,,,,,,,,
16,PT10M34.00S,2023-01-03T03:12:34.8Z,1,REGULAR,turnover,bad pass,[],1627749,,,1610612737,2,0,2023-01-03T03:12:36Z,160000,False,,,0,,D. Murray bad pass TURNOVER (1 TO),"[1627749, 1629673]",1610612737.0,ATL,,,,Murray,D. Murray,,,,,In The Paint (Non-RA),8-16 Center,,1.0,,,,,,,,,,,Poole,1629673.0,,,,,,
17,PT10M34.00S,2023-01-03T03:12:34.8Z,1,REGULAR,steal,,[],1629673,,,1610612744,2,0,2023-01-03T03:12:36Z,170000,False,,,0,,J. Poole STEAL (1 STL),[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,In The Paint (Non-RA),8-16 Center,,,,,,,,,,,,,,,,,,,,
18,PT10M20.00S,2023-01-03T03:12:49.3Z,1,REGULAR,3pt,Jump Shot,['fromturnover'],1628978,63.55124835742444,51.71568627450981,1610612744,2,0,2023-01-03T03:12:52Z,180000,False,9.0,290.0,1,right,MISS D. DiVincenzo 29' pullup 3PT,[1628978],1610612744.0,GSW,pullup,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Center,,,29.02,Missed,,,,,,,,,,,,,,,,
19,PT10M17.00S,2023-01-03T03:12:52.3Z,1,REGULAR,rebound,defensive,[],1627749,,,1610612737,2,0,2023-01-03T03:13:11Z,190000,False,,,0,,D. Murray REBOUND (Off:0 Def:1),[1627749],1610612737.0,ATL,,,,Murray,D. Murray,,,,,Above the Break 3,24+ Center,,,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,
