actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,stealPlayerName,stealPersonId,blockPlayerName,blockPersonId
582,PT08M49.00S,2022-11-15T04:56:59.4Z,4,REGULAR,foul,personal,['2freethrow'],1628978,,,1610612759,111,72,2022-11-15T04:59:51Z,5700000,False,,,0,,D. DiVincenzo flagrant-type-2 personal FOUL (3 PF) (Richardson 2 FT),"[1628978, 1626196]",1610612744.0,GSW,flagrant-type-2,,,DiVincenzo,D. DiVincenzo,,,,,Restricted Area,0-8 Center,,,,,,,2715.0,3.0,0.0,Richardson,1626196.0,,,,,,,,,
585,PT08M49.00S,2022-11-15T04:58:59.1Z,4,REGULAR,substitution,out,[],1628978,,,1610612759,111,72,2022-11-15T04:59:02Z,5730000,False,,,0,,SUB out: D. DiVincenzo,[1628978],1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,,,,,,,,,,,,,,,,,,,,,,
586,PT08M49.00S,2022-11-15T04:58:59.1Z,4,REGULAR,substitution,in,[],1630541,,,1610612759,111,72,2022-11-15T04:59:02Z,5740000,False,,,0,,SUB in: M. Moody,[1630541],1610612744.0,GSW,,,,Moody,M. Moody,,,,,,,,,,,,,,,,,,,,,,,,,,
587,PT08M49.00S,2022-11-15T04:59:21.2Z,4,REGULAR,freethrow,1 of 2,['fromturnover'],1626196,,,1610612759,111,72,2022-11-15T04:59:45Z,5750000,False,,,0,,MISS J. Richardson flagrant Free Throw 1 of 2,[1626196],1610612759.0,SAS,flagrant,,,Richardson,J. Richardson,,,,,,,,Missed,,,,,,,,,,,,,,,,,,
588,PT08M49.00S,2022-11-15T04:59:21.2Z,4,REGULAR,rebound,offensive,"['team', 'deadball']",0,,,1610612759,111,72,2022-11-15T04:59:45Z,5760000,False,,,0,,TEAM offensive REBOUND,[],1610612759.0,SAS,,,,,,,,,,,,,,,,,,,,,,,,587.0,,,,,,,
589,PT08M49.00S,2022-11-15T04:59:21.2Z,4,REGULAR,freethrow,2 of 2,['fromturnover'],1626196,,,1610612759,111,73,2022-11-15T04:59:45Z,5770000,False,,,0,,J. Richardson flagrant Free Throw 2 of 2 (10 PTS),[1626196],1610612759.0,SAS,flagrant,,,Richardson,J. Richardson,,,,,,,,Made,10.0,,,,,,,,,,,,,,,,,
590,PT08M39.00S,2022-11-15T05:00:03.4Z,4,REGULAR,3pt,Jump Shot,['fromturnover'],1628966,89.83245729303549,4.6568627450980395,1610612759,111,76,2022-11-15T05:00:09Z,5780000,False,-227.0,43.0,1,right,K. Bates-Diop 3PT  (12 PTS) (J. Hall 2 AST),"[1628966, 1631160]",1610612759.0,SAS,,,,Bates-Diop,K. Bates-Diop,,,,,Left Corner 3,24+ Left,23.08,Made,12.0,J. Hall,1631160.0,2.0,,,,,,,,,,,,,,
592,PT08M12.00S,2022-11-15T05:00:29.3Z,4,REGULAR,2pt,Jump Shot,[],1630164,12.434296977660972,72.54901960784314,1610612744,111,76,2022-11-15T05:00:36Z,5800000,False,-113.0,64.0,1,left,MISS J. Wiseman 12' Jump Shot,[1630164],1610612744.0,GSW,,,,Wiseman,J. Wiseman,,,,,Mid-Range,8-16 Left,12.98,Missed,,,,,,,,,,,,,,,,,,
593,PT08M08.00S,2022-11-15T05:00:33.3Z,4,REGULAR,rebound,defensive,[],1629676,,,1610612759,111,76,2022-11-15T05:00:36Z,5810000,False,,,0,,I. Roby REBOUND (Off:0 Def:3),[1629676],1610612759.0,SAS,,,,Roby,I. Roby,,,,,Mid-Range,8-16 Left,,,,,,,,,,,,,592.0,3.0,3.0,0.0,,,,
594,PT08M04.00S,2022-11-15T05:00:38.7Z,4,REGULAR,2pt,Layup,['pointsinthepaint'],1629676,90.3580814717477,44.6078431372549,1610612759,111,76,2022-11-15T05:23:12Z,5820000,False,-27.0,38.0,1,right,MISS I. Roby driving Layup,[1629676],1610612759.0,SAS,driving,,,Roby,I. Roby,,,,,In The Paint (Non-RA),0-8 Center,4.67,Missed,,,,,,,,,,,,,,,,,,
596,PT08M04.00S,2022-11-15T05:00:38.7Z,4,REGULAR,rebound,offensive,[],203476,,,1610612759,111,76,2022-11-15T05:01:39Z,5840000,False,,,0,,G. Dieng REBOUND (Off:1 Def:0),[203476],1610612759.0,SAS,,,,Dieng,G. Dieng,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,594.0,1.0,0.0,1.0,,,,
597,PT08M04.00S,2022-11-15T05:00:51.1Z,4,REGULAR,foul,personal,['2freethrow'],1630228,,,1610612759,111,76,2022-11-15T05:01:17Z,5850000,False,,,0,,J. Kuminga shooting personal FOUL (2 PF) (Dieng 2 FT),"[1630228, 203476]",1610612744.0,GSW,shooting,,,Kuminga,J. Kuminga,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627962.0,2.0,0.0,Dieng,203476.0,,,,,,,,,
599,PT08M04.00S,2022-11-15T05:01:19.4Z,4,REGULAR,freethrow,1 of 2,['2ndchance'],203476,,,1610612759,111,77,2022-11-15T05:01:19Z,5870000,False,,,0,,G. Dieng Free Throw 1 of 2 (1 PTS),[203476],1610612759.0,SAS,,,,Dieng,G. Dieng,,,,,,,,Made,1.0,,,,,,,,,,,,,,,,,
600,PT08M04.00S,2022-11-15T05:01:21.4Z,4,REGULAR,substitution,out,[],1629673,,,1610612759,111,77,2022-11-15T05:01:29Z,5880000,False,,,0,,SUB out: J. Poole,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,,,,,,,,,,,,,,,,,,,,,,
601,PT08M04.00S,2022-11-15T05:01:21.4Z,4,REGULAR,substitution,in,[],1631157,,,1610612759,111,77,2022-11-15T05:01:29Z,5890000,False,,,0,,SUB in: R. Rollins,[1631157],1610612744.0,GSW,,,,Rollins,R. Rollins,,,,,,,,,,,,,,,,,,,,,,,,,,
602,PT08M04.00S,2022-11-15T05:01:35.3Z,4,REGULAR,freethrow,2 of 2,['2ndchance'],203476,,,1610612759,111,78,2022-11-15T05:01:35Z,5900000,False,,,0,,G. Dieng Free Throw 2 of 2 (2 PTS),[203476],1610612759.0,SAS,,,,Dieng,G. Dieng,,,,,,,,Made,2.0,,,,,,,,,,,,,,,,,
603,PT07M47.00S,2022-11-15T05:01:53.7Z,4,REGULAR,turnover,bad pass,[],1631157,,,1610612744,111,78,2022-11-15T05:01:57Z,5910000,False,,,0,,R. Rollins bad pass TURNOVER (1 TO),"[1631157, 1631160]",1610612744.0,GSW,,,,Rollins,R. Rollins,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,1.0,,,,,Hall,1631160.0,,
604,PT07M47.00S,2022-11-15T05:01:53.7Z,4,REGULAR,steal,,[],1631160,,,1610612759,111,78,2022-11-15T05:01:55Z,5920000,False,,,0,,J. Hall STEAL (1 STL),[1631160],1610612759.0,SAS,,,,Hall,J. Hall,,,,,Mid-Range,16-24 Left Center,,,,,,,,,,,,,,,,,,,,
605,PT07M42.00S,2022-11-15T05:01:58.5Z,4,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover', 'fastbreak']",1629676,92.72339027595268,50.49019607843137,1610612759,111,80,2022-11-15T05:24:13Z,5930000,False,2.0,16.0,1,right,I. Roby running Layup (6 PTS) (J. Hall 3 AST),"[1629676, 1631160]",1610612759.0,SAS,running,,,Roby,I. Roby,,,,,Restricted Area,0-8 Center,1.61,Made,6.0,J. Hall,1631160.0,3.0,,,,,,,,,,,,,,
