actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,officialId,turnoverTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-01-11T03:09:18.5Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-01-11T03:09:18Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M56.00S,2023-01-11T03:09:21.8Z,1,REGULAR,jumpball,recovered,[],202691,,,1610612744,0,0,2023-01-11T03:09:21Z,40000,False,,,0,,Jump Ball K. Looney vs. B. Biyombo: Tip to K. Thompson,"[202691, 1626172, 202687]",1610612744.0,GSW,startperiod,K. Thompson,202691.0,Thompson,K. Thompson,Looney,1626172.0,Biyombo,202687.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M39.00S,2023-01-11T03:09:39.2Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],202691,12.302890932982917,61.029411764705884,1610612744,0,0,2023-01-11T03:09:46Z,70000,False,-55.0,63.0,1,left,MISS K. Thompson 8' driving floating bank Shot,[202691],1610612744.0,GSW,driving floating bank,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),8-16 Left,8.38,Missed,,,,,,,,,,,,,,,,,,
8,PT11M37.00S,2023-01-11T03:09:41.2Z,1,REGULAR,rebound,offensive,[],202691,,,1610612744,0,0,2023-01-11T03:09:56Z,80000,False,,,0,,K. Thompson REBOUND (Off:1 Def:0),[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,In The Paint (Non-RA),8-16 Left,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M30.00S,2023-01-11T03:09:48.1Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202691,22.158344283837057,9.558823529411764,1610612744,3,0,2023-01-11T03:09:53Z,90000,False,202.0,156.0,1,left,K. Thompson 25' 3PT  (3 PTS) (A. Wiggins 1 AST),"[202691, 203952]",1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Above the Break 3,24+ Right Center,25.53,Made,,,,,3.0,A. Wiggins,203952.0,1.0,,,,,,,,,,
11,PT11M13.00S,2023-01-11T03:10:04.9Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628969,81.02825229960578,47.30392156862745,1610612756,3,2,2023-01-11T03:10:09Z,110000,False,-13.0,126.0,1,right,M. Bridges 12' Jump Shot (2 PTS) (D. Washington Jr. 1 AST),"[1628969, 1630613]",1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),8-16 Center,12.65,Made,,,,,2.0,D. Washington Jr.,1630613.0,1.0,,,,,,,,,,
13,PT11M01.00S,2023-01-11T03:10:17.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],203952,10.726018396846255,41.42156862745098,1610612744,3,2,2023-01-11T03:10:23Z,130000,False,43.0,48.0,1,left,MISS A. Wiggins 6' driving Layup - blocked,"[203952, 202687]",1610612744.0,GSW,driving,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),0-8 Center,6.46,Missed,,,,,,,,,Biyombo,202687.0,,,,,,,,
14,PT11M01.00S,2023-01-11T03:10:17.0Z,1,REGULAR,block,,[],202687,,,1610612744,3,2,2023-01-11T03:10:19Z,140000,False,,,0,,B. Biyombo BLOCK (1 BLK),[202687],1610612756.0,PHX,,,,Biyombo,B. Biyombo,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,,,,,,,,,,,,,,
15,PT10M58.00S,2023-01-11T03:10:20.0Z,1,REGULAR,rebound,defensive,[],1628969,,,1610612756,3,2,2023-01-11T03:10:23Z,150000,False,,,0,,M. Bridges REBOUND (Off:0 Def:1),[1628969],1610612756.0,PHX,,,,Bridges,M. Bridges,,,,,In The Paint (Non-RA),0-8 Center,,,13.0,1.0,1.0,0.0,,,,,,,,,,,,,,
16,PT10M51.00S,2023-01-11T03:10:27.5Z,1,REGULAR,2pt,Hook,['pointsinthepaint'],202687,88.51839684625493,47.794117647058826,1610612756,3,4,2023-01-11T03:10:31Z,160000,False,-11.0,55.0,1,right,B. Biyombo turnaround Hook (2 PTS) (D. Washington Jr. 2 AST),"[202687, 1630613]",1610612756.0,PHX,turnaround,,,Biyombo,B. Biyombo,,,,,In The Paint (Non-RA),0-8 Center,5.65,Made,,,,,2.0,D. Washington Jr.,1630613.0,2.0,,,,,,,,,,
