actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2023-02-12T01:40:39.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2023-02-12T01:40:39Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT12M00.00S,2023-02-12T01:40:40.3Z,1,REGULAR,jumpball,recovered,[],202691,,,1610612744,0,0,2023-02-12T01:40:40Z,40000,False,,,0,,Jump Ball K. Looney vs. A. Davis: Tip to K. Thompson,"[202691, 1626172, 203076]",1610612744.0,GSW,startperiod,K. Thompson,202691.0,Thompson,K. Thompson,Looney,1626172.0,Davis,203076.0,,,,,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2023-02-12T01:41:49.5Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203110,11.251642575558476,56.61764705882353,1610612744,0,0,2023-02-12T01:41:54Z,80000,False,-33.0,53.0,1,left,MISS D. Green 6' floating Shot,[203110],1610612744.0,GSW,floating,,,Green,D. Green,,,,,In The Paint (Non-RA),0-8 Center,6.27,Missed,,,,,,,,,,,,,,,,,,
9,PT11M44.00S,2023-02-12T01:41:51.5Z,1,REGULAR,rebound,defensive,[],203076,,,1610612747,0,0,2023-02-12T01:42:19Z,90000,False,,,0,,A. Davis REBOUND (Off:0 Def:1),[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,In The Paint (Non-RA),0-8 Center,,,8.0,1.0,1.0,0.0,,,,,,,,,,,,,,
10,PT11M24.00S,2023-02-12T01:42:10.7Z,1,REGULAR,3pt,Jump Shot,[],203076,63.15703022339028,46.32352941176471,1610612747,0,0,2023-02-12T01:42:15Z,100000,False,-18.0,294.0,1,right,MISS A. Davis 29' 3PT,[203076],1610612747.0,LAL,,,,Davis,A. Davis,,,,,Above the Break 3,24+ Center,29.44,Missed,,,,,,,,,,,,,,,,,,
11,PT11M21.00S,2023-02-12T01:42:13.7Z,1,REGULAR,rebound,defensive,[],203952,,,1610612744,0,0,2023-02-12T01:42:15Z,110000,False,,,0,,A. Wiggins REBOUND (Off:0 Def:1),[203952],1610612744.0,GSW,,,,Wiggins,A. Wiggins,,,,,Above the Break 3,24+ Center,,,10.0,1.0,1.0,0.0,,,,,,,,,,,,,,
12,PT11M13.00S,2023-02-12T01:42:22.3Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],203952,19.185282522996058,56.85891544117647,1610612744,0,0,2023-02-12T01:43:10Z,120000,False,-34.0,128.0,1,left,MISS A. Wiggins 13' pullup Shot,[203952],1610612744.0,GSW,pullup,,,Wiggins,A. Wiggins,,,,,In The Paint (Non-RA),8-16 Center,13.23,Missed,,,,,,,,,,,,,,,,,,
13,PT11M10.00S,2023-02-12T01:42:25.3Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,0,0,2023-02-12T01:42:28Z,130000,False,,,0,,K. Looney REBOUND (Off:1 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),8-16 Center,,,12.0,1.0,0.0,1.0,,,,,,,,,,,,,,
14,PT11M06.00S,2023-02-12T01:42:29.2Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],202691,10.463206307490145,2.450980392156863,1610612744,0,0,2023-02-12T01:42:33Z,140000,False,238.0,46.0,1,left,MISS K. Thompson 24' 3PT,[202691],1610612744.0,GSW,,,,Thompson,K. Thompson,,,,,Right Corner 3,24+ Right,24.21,Missed,,,,,,,,,,,,,,,,,,
15,PT11M03.00S,2023-02-12T01:42:32.2Z,1,REGULAR,rebound,offensive,[],1626172,,,1610612744,0,0,2023-02-12T01:42:33Z,150000,False,,,0,,K. Looney REBOUND (Off:2 Def:0),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Right Corner 3,24+ Right,,,14.0,2.0,0.0,2.0,,,,,,,,,,,,,,
