actionNumber,clock,timeActual,period,periodType,actionType,subType,qualifiers,personId,x,y,possession,scoreHome,scoreAway,edited,orderNumber,isTargetScoreLastPeriod,xLegacy,yLegacy,isFieldGoal,side,description,personIdsFilter,teamId,teamTricode,descriptor,jumpBallRecoveredName,jumpBallRecoverdPersonId,playerName,playerNameI,jumpBallWonPlayerName,jumpBallWonPersonId,jumpBallLostPlayerName,jumpBallLostPersonId,area,areaDetail,shotDistance,shotResult,shotActionNumber,reboundTotal,reboundDefensiveTotal,reboundOffensiveTotal,officialId,turnoverTotal,pointsTotal,assistPlayerNameInitial,assistPersonId,assistTotal,foulPersonalTotal,foulTechnicalTotal,foulDrawnPlayerName,foulDrawnPersonId,blockPlayerName,blockPersonId,stealPlayerName,stealPersonId
2,PT12M00.00S,2022-12-29T03:10:33.0Z,1,REGULAR,period,start,[],0,,,0,0,0,2022-12-29T03:10:33Z,20000,False,,,0,,Period Start,[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,PT11M58.00S,2022-12-29T03:10:35.0Z,1,REGULAR,jumpball,recovered,[],203903,,,1610612762,0,0,2022-12-29T03:10:35Z,40000,False,,,0,,Jump Ball K. Olynyk vs. K. Looney: Tip to J. Clarkson,"[203903, 203482, 1626172]",1610612762.0,UTA,startperiod,J. Clarkson,203903.0,Clarkson,J. Clarkson,Olynyk,203482.0,Looney,1626172.0,,,,,,,,,,,,,,,,,,,,,,
7,PT11M49.00S,2022-12-29T03:10:43.9Z,1,REGULAR,3pt,Jump Shot,[],1628374,67.23061760840999,55.392156862745104,1610612762,0,0,2022-12-29T03:10:47Z,70000,False,27.0,256.0,1,right,MISS L. Markkanen 25' 3PT,[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Center,25.69,Missed,,,,,,,,,,,,,,,,,,
8,PT11M46.00S,2022-12-29T03:10:46.8Z,1,REGULAR,rebound,offensive,[],1629020,,,1610612762,0,0,2022-12-29T03:10:46Z,80000,False,,,0,,J. Vanderbilt REBOUND (Off:1 Def:0),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Above the Break 3,24+ Center,,,7.0,1.0,0.0,1.0,,,,,,,,,,,,,,
9,PT11M38.00S,2022-12-29T03:10:54.7Z,1,REGULAR,3pt,Jump Shot,['2ndchance'],201144,94.82588699080158,95.83333333333334,1610612762,0,0,2022-12-29T03:10:59Z,90000,False,229.0,-4.0,1,right,MISS M. Conley 3PT,[201144],1610612762.0,UTA,,,,Conley,M. Conley,,,,,Right Corner 3,24+ Right,22.92,Missed,,,,,,,,,,,,,,,,,,
10,PT11M35.00S,2022-12-29T03:10:57.7Z,1,REGULAR,rebound,defensive,[],1628978,,,1610612744,0,0,2022-12-29T03:10:59Z,100000,False,,,0,,D. DiVincenzo REBOUND (Off:0 Def:1),[1628978],1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,Right Corner 3,24+ Right,,,9.0,1.0,1.0,0.0,,,,,,,,,,,,,,
11,PT11M21.00S,2022-12-29T03:11:11.8Z,1,REGULAR,3pt,Jump Shot,[],1630237,27.151773981603156,14.950980392156863,1610612744,0,0,2022-12-29T03:11:16Z,110000,False,175.0,203.0,1,left,MISS A. Lamb 26' 3PT,[1630237],1610612744.0,GSW,,,,Lamb,A. Lamb,,,,,Above the Break 3,24+ Right Center,26.79,Missed,,,,,,,,,,,,,,,,,,
12,PT11M16.00S,2022-12-29T03:11:16.8Z,1,REGULAR,rebound,defensive,[],203903,,,1610612762,0,0,2022-12-29T03:11:16Z,120000,False,,,0,,J. Clarkson REBOUND (Off:0 Def:1),[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Right Center,,,11.0,1.0,1.0,0.0,,,,,,,,,,,,,,
13,PT11M06.00S,2022-12-29T03:11:27.5Z,1,REGULAR,turnover,out-of-bounds,[],1628374,,,1610612762,0,0,2022-12-29T03:11:37Z,130000,False,,,0,,L. Markkanen lost ball out-of-bounds TURNOVER (1 TO),[1628374],1610612762.0,UTA,lost ball,,,Markkanen,L. Markkanen,,,,,Mid-Range,8-16 Right,,,,,,,202053.0,1.0,,,,,,,,,,,,
14,PT10M42.00S,2022-12-29T03:11:58.3Z,1,REGULAR,2pt,Layup,"['pointsinthepaint', 'fromturnover']",1626172,5.863994743758213,53.18627450980392,1610612744,2,0,2022-12-29T03:12:04Z,140000,False,-16.0,3.0,1,left,K. Looney reverse Layup (2 PTS) (D. DiVincenzo 1 AST),"[1626172, 1628978]",1610612744.0,GSW,reverse,,,Looney,K. Looney,,,,,Restricted Area,0-8 Center,1.61,Made,,,,,,,2.0,D. DiVincenzo,1628978.0,1.0,,,,,,,,
16,PT10M31.00S,2022-12-29T03:12:08.3Z,1,REGULAR,3pt,Jump Shot,[],203903,75.77201051248358,10.049019607843137,1610612762,2,0,2022-12-29T03:12:12Z,160000,False,-200.0,175.0,1,right,MISS J. Clarkson 26' 3PT,[203903],1610612762.0,UTA,,,,Clarkson,J. Clarkson,,,,,Above the Break 3,24+ Left Center,26.57,Missed,,,,,,,,,,,,,,,,,,
17,PT10M29.00S,2022-12-29T03:12:10.3Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,2,0,2022-12-29T03:12:12Z,170000,False,,,0,,K. Looney REBOUND (Off:0 Def:1),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,Above the Break 3,24+ Left Center,,,16.0,1.0,1.0,0.0,,,,,,,,,,,,,,
18,PT10M19.00S,2022-12-29T03:12:20.7Z,1,REGULAR,3pt,Jump Shot,[],203110,31.35676741130092,29.166666666666668,1610612744,2,0,2022-12-29T03:12:25Z,180000,False,104.0,242.0,1,left,MISS D. Green 26' 3PT,[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Above the Break 3,24+ Right Center,26.38,Missed,,,,,,,,,,,,,,,,,,
19,PT10M16.00S,2022-12-29T03:12:23.7Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,2,0,2022-12-29T03:12:25Z,190000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:1),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,,,18.0,1.0,1.0,0.0,,,,,,,,,,,,,,
20,PT10M08.00S,2022-12-29T03:12:33.8Z,1,REGULAR,foul,personal,['2freethrow'],1626172,,,1610612762,2,0,2022-12-29T03:12:51Z,200000,False,,,0,,K. Looney shooting personal FOUL (1 PF) (Vanderbilt 2 FT),"[1626172, 1629020]",1610612744.0,GSW,shooting,,,Looney,K. Looney,,,,,In The Paint (Non-RA),0-8 Center,,,,,,,1627526.0,,,,,,1.0,0.0,Vanderbilt,1629020.0,,,,
22,PT10M08.00S,2022-12-29T03:13:00.2Z,1,REGULAR,freethrow,1 of 2,[],1629020,,,1610612762,2,1,2022-12-29T03:13:00Z,220000,False,,,0,,J. Vanderbilt Free Throw 1 of 2 (1 PTS),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,,,,Made,,,,,,,1.0,,,,,,,,,,,
23,PT10M08.00S,2022-12-29T03:13:13.8Z,1,REGULAR,freethrow,2 of 2,[],1629020,,,1610612762,2,2,2022-12-29T03:13:13Z,230000,False,,,0,,J. Vanderbilt Free Throw 2 of 2 (2 PTS),[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,,,,Made,,,,,,,2.0,,,,,,,,,,,
24,PT09M58.00S,2022-12-29T03:13:27.2Z,1,REGULAR,3pt,Jump Shot,[],1629673,23.73521681997372,10.53921568627451,1610612744,2,2,2022-12-29T03:13:32Z,240000,False,197.0,171.0,1,left,MISS J. Poole 26' 3PT,[1629673],1610612744.0,GSW,,,,Poole,J. Poole,,,,,Above the Break 3,24+ Right Center,26.08,Missed,,,,,,,,,,,,,,,,,,
25,PT09M53.00S,2022-12-29T03:13:32.2Z,1,REGULAR,rebound,defensive,[],1628374,,,1610612762,2,2,2022-12-29T03:13:32Z,250000,False,,,0,,L. Markkanen REBOUND (Off:0 Def:2),[1628374],1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,,,24.0,2.0,2.0,0.0,,,,,,,,,,,,,,
26,PT09M46.00S,2022-12-29T03:13:38.1Z,1,REGULAR,3pt,Jump Shot,[],1629020,94.08672798948751,97.57199754901961,1610612762,2,2,2022-12-29T03:13:45Z,260000,False,238.0,3.0,1,right,MISS J. Vanderbilt 3PT,[1629020],1610612762.0,UTA,,,,Vanderbilt,J. Vanderbilt,,,,,Right Corner 3,24+ Right,23.79,Missed,,,,,,,,,,,,,,,,,,
27,PT09M42.00S,2022-12-29T03:13:42.1Z,1,REGULAR,rebound,defensive,[],203110,,,1610612744,2,2,2022-12-29T03:13:45Z,270000,False,,,0,,D. Green REBOUND (Off:0 Def:1),[203110],1610612744.0,GSW,,,,Green,D. Green,,,,,Right Corner 3,24+ Right,,,26.0,1.0,1.0,0.0,,,,,,,,,,,,,,
28,PT09M34.00S,2022-12-29T03:13:50.3Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1629673,7.966491458607096,54.65686274509803,1610612744,4,2,2022-12-29T03:13:56Z,280000,False,-23.0,22.0,1,left,J. Poole driving finger roll Layup (2 PTS),[1629673],1610612744.0,GSW,driving finger roll,,,Poole,J. Poole,,,,,Restricted Area,0-8 Center,3.23,Made,,,,,,,2.0,,,,,,,,,,,
29,PT09M21.00S,2022-12-29T03:14:03.6Z,1,REGULAR,2pt,Jump Shot,['pointsinthepaint'],1628374,85.23324572930355,50.49019607843137,1610612762,4,2,2022-12-29T03:14:48Z,290000,False,2.0,86.0,1,right,MISS L. Markkanen 8' turnaround fadeaway Shot,[1628374],1610612762.0,UTA,turnaround fadeaway,,,Markkanen,L. Markkanen,,,,,In The Paint (Non-RA),8-16 Center,8.63,Missed,,,,,,,,,,,,,,,,,,
30,PT09M18.00S,2022-12-29T03:14:06.6Z,1,REGULAR,rebound,defensive,[],1626172,,,1610612744,4,2,2022-12-29T03:14:07Z,300000,False,,,0,,K. Looney REBOUND (Off:0 Def:2),[1626172],1610612744.0,GSW,,,,Looney,K. Looney,,,,,In The Paint (Non-RA),8-16 Center,,,29.0,2.0,2.0,0.0,,,,,,,,,,,,,,
31,PT09M08.00S,2022-12-29T03:14:17.0Z,1,REGULAR,2pt,Layup,['pointsinthepaint'],1630237,9.411957950065702,48.529411764705884,1610612744,4,2,2022-12-29T03:14:23Z,310000,False,7.0,36.0,1,left,MISS A. Lamb cutting Layup - blocked,"[1630237, 203482]",1610612744.0,GSW,cutting,,,Lamb,A. Lamb,,,,,Restricted Area,0-8 Center,3.68,Missed,,,,,,,,,,,,,,,Olynyk,203482.0,,
32,PT09M08.00S,2022-12-29T03:14:17.0Z,1,REGULAR,block,,[],203482,,,1610612744,4,2,2022-12-29T03:14:19Z,320000,False,,,0,,K. Olynyk BLOCK (1 BLK),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,,,,,,,,,,,,,,,,,,
33,PT09M04.00S,2022-12-29T03:14:21.0Z,1,REGULAR,rebound,defensive,[],203482,,,1610612762,4,2,2022-12-29T03:14:23Z,330000,False,,,0,,K. Olynyk REBOUND (Off:0 Def:1),[203482],1610612762.0,UTA,,,,Olynyk,K. Olynyk,,,,,Restricted Area,0-8 Center,,,31.0,1.0,1.0,0.0,,,,,,,,,,,,,,
34,PT08M58.00S,2022-12-29T03:14:27.0Z,1,REGULAR,3pt,Jump Shot,[],1628374,80.81471747700394,93.89552696078431,1610612762,4,5,2022-12-29T03:14:35Z,340000,False,219.0,128.0,1,right,L. Markkanen 25' 3PT  (3 PTS) (M. Conley 1 AST),"[1628374, 201144]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Above the Break 3,24+ Right Center,25.4,Made,,,,,,,3.0,M. Conley,201144.0,1.0,,,,,,,,
36,PT08M33.00S,2022-12-29T03:14:51.6Z,1,REGULAR,3pt,Jump Shot,[],1628978,29.6484888304862,15.441176470588236,1610612744,7,5,2022-12-29T03:14:55Z,360000,False,173.0,226.0,1,left,D. DiVincenzo 28' 3PT  (3 PTS) (D. Green 1 AST),"[1628978, 203110]",1610612744.0,GSW,,,,DiVincenzo,D. DiVincenzo,,,,,Above the Break 3,24+ Right Center,28.47,Made,,,,,,,3.0,D. Green,203110.0,1.0,,,,,,,,
38,PT08M22.00S,2022-12-29T03:15:02.5Z,1,REGULAR,3pt,Jump Shot,[],1628374,95.3515111695138,4.166666666666666,1610612762,7,8,2022-12-29T03:17:48Z,380000,False,-229.0,-9.0,1,right,L. Markkanen 3PT  (6 PTS) (K. Olynyk 1 AST),"[1628374, 203482]",1610612762.0,UTA,,,,Markkanen,L. Markkanen,,,,,Left Corner 3,24+ Left,22.94,Made,,,,,,,6.0,K. Olynyk,203482.0,1.0,,,,,,,,
